Year,UNIT_MEASURE,Пол,Старост,Value
2013,Број,Оба пола,T,2219220
2013,Број,Оба пола,0,21718
2013,Број,Оба пола,1,22690
2013,Број,Оба пола,2,22691
2013,Број,Оба пола,3,23664
2013,Број,Оба пола,4,24080
2013,Број,Оба пола,5,23892
2013,Број,Оба пола,6,22901
2013,Број,Оба пола,7,22965
2013,Број,Оба пола,8,23147
2013,Број,Оба пола,9,23147
2013,Број,Оба пола,10,23884
2013,Број,Оба пола,11,24043
2013,Број,Оба пола,12,24989
2013,Број,Оба пола,13,25785
2013,Број,Оба пола,14,27352
2013,Број,Оба пола,15,30464
2013,Број,Оба пола,16,35091
2013,Број,Оба пола,17,35286
2013,Број,Оба пола,18,33903
2013,Број,Оба пола,19,27137
2013,Број,Оба пола,20,25325
2013,Број,Оба пола,21,29600
2013,Број,Оба пола,22,32119
2013,Број,Оба пола,23,31990
2013,Број,Оба пола,24,31868
2013,Број,Оба пола,25,32919
2013,Број,Оба пола,26,32539
2013,Број,Оба пола,27,32484
2013,Број,Оба пола,28,32610
2013,Број,Оба пола,29,33651
2013,Број,Оба пола,30,32390
2013,Број,Оба пола,31,32319
2013,Број,Оба пола,32,32749
2013,Број,Оба пола,33,31974
2013,Број,Оба пола,34,31556
2013,Број,Оба пола,35,31528
2013,Број,Оба пола,36,31538
2013,Број,Оба пола,37,32341
2013,Број,Оба пола,38,31321
2013,Број,Оба пола,39,30987
2013,Број,Оба пола,40,30584
2013,Број,Оба пола,41,31771
2013,Број,Оба пола,42,31017
2013,Број,Оба пола,43,29652
2013,Број,Оба пола,44,31806
2013,Број,Оба пола,45,32017
2013,Број,Оба пола,46,33018
2013,Број,Оба пола,47,33813
2013,Број,Оба пола,48,34178
2013,Број,Оба пола,49,34083
2013,Број,Оба пола,50,34340
2013,Број,Оба пола,51,35525
2013,Број,Оба пола,52,35006
2013,Број,Оба пола,53,34518
2013,Број,Оба пола,54,34607
2013,Број,Оба пола,55,32581
2013,Број,Оба пола,56,30906
2013,Број,Оба пола,57,31264
2013,Број,Оба пола,58,31461
2013,Број,Оба пола,59,29877
2013,Број,Оба пола,60,29631
2013,Број,Оба пола,61,26762
2013,Број,Оба пола,62,24438
2013,Број,Оба пола,63,24535
2013,Број,Оба пола,64,23247
2013,Број,Оба пола,65,20490
