Year,UNIT_MEASURE,Старосна доб,Пол,Административно подручје,Value
2013,Број,Укупно,Оба пола,Федерација Босне и Херцеговине,2219220
2013,Број,0-4,Оба пола,Федерација Босне и Херцеговине,114843
2013,Број, 5-9,Оба пола,Федерација Босне и Херцеговине,116052
2013,Број, 10-14,Оба пола,Федерација Босне и Херцеговине,126053
2013,Број, 15-19,Оба пола,Федерација Босне и Херцеговине,161881
2013,Број, 20-24,Оба пола,Федерација Босне и Херцеговине,150902
2013,Број, 25-29,Оба пола,Федерација Босне и Херцеговине,164203
2013,Број, 30-34,Оба пола,Федерација Босне и Херцеговине,160988
2013,Број, 35-39,Оба пола,Федерација Босне и Херцеговине,157715
2013,Број,40-44,Оба пола,Федерација Босне и Херцеговине,154830
2013,Број, 45-49,Оба пола,Федерација Босне и Херцеговине,167109
2013,Број, 50-54,Оба пола,Федерација Босне и Херцеговине,173996
2013,Број, 55-59,Оба пола,Федерација Босне и Херцеговине,156089
2013,Број, 60-64,Оба пола,Федерација Босне и Херцеговине,128613
2013,Број, 65-69,Оба пола,Федерација Босне и Херцеговине,88391
2013,Број, 70-74,Оба пола,Федерација Босне и Херцеговине,81023
2013,Број, 75-79,Оба пола,Федерација Босне и Херцеговине,65613
2013,Број, 80-84,Оба пола,Федерација Босне и Херцеговине,35227
2013,Број,85+,Оба пола,Федерација Босне и Херцеговине,15692
2013,Број,Укупно,Оба пола,Унско-сански кантон,273261
2013,Број,0-4,Оба пола,Унско-сански кантон,14805
2013,Број, 5-9,Оба пола,Унско-сански кантон,15777
2013,Број, 10-14,Оба пола,Унско-сански кантон,17450
2013,Број, 15-19,Оба пола,Унско-сански кантон,21328
2013,Број, 20-24,Оба пола,Унско-сански кантон,19541
2013,Број, 25-29,Оба пола,Унско-сански кантон,20912
2013,Број, 30-34,Оба пола,Унско-сански кантон,20676
2013,Број, 35-39,Оба пола,Унско-сански кантон,21564
2013,Број,40-44,Оба пола,Унско-сански кантон,20687
2013,Број, 45-49,Оба пола,Унско-сански кантон,20701
2013,Број, 50-54,Оба пола,Унско-сански кантон,20224
2013,Број, 55-59,Оба пола,Унско-сански кантон,16989
2013,Број, 60-64,Оба пола,Унско-сански кантон,13344
2013,Број, 65-69,Оба пола,Унско-сански кантон,9626
2013,Број, 70-74,Оба пола,Унско-сански кантон,8824
2013,Број, 75-79,Оба пола,Унско-сански кантон,6527
2013,Број, 80-84,Оба пола,Унско-сански кантон,3067
2013,Број,85+,Оба пола,Унско-сански кантон,1219
2013,Број,Укупно,Оба пола,Посавски кантон,43453
2013,Број,0-4,Оба пола,Посавски кантон,1582
2013,Број, 5-9,Оба пола,Посавски кантон,1987
2013,Број, 10-14,Оба пола,Посавски кантон,2466
2013,Број, 15-19,Оба пола,Посавски кантон,3016
2013,Број, 20-24,Оба пола,Посавски кантон,2841
2013,Број, 25-29,Оба пола,Посавски кантон,2823
2013,Број, 30-34,Оба пола,Посавски кантон,2680
2013,Број, 35-39,Оба пола,Посавски кантон,3058
2013,Број,40-44,Оба пола,Посавски кантон,3579
2013,Број, 45-49,Оба пола,Посавски кантон,4072
2013,Број, 50-54,Оба пола,Посавски кантон,3535
2013,Број, 55-59,Оба пола,Посавски кантон,2797
2013,Број, 60-64,Оба пола,Посавски кантон,2498
2013,Број, 65-69,Оба пола,Посавски кантон,2138
2013,Број, 70-74,Оба пола,Посавски кантон,1934
2013,Број, 75-79,Оба пола,Посавски кантон,1486
2013,Број, 80-84,Оба пола,Посавски кантон,716
2013,Број,85+,Оба пола,Посавски кантон,245
2013,Број,Укупно,Оба пола,Тузлански кантон,445028
2013,Број,0-4,Оба пола,Тузлански кантон,23047
2013,Број, 5-9,Оба пола,Тузлански кантон,22730
2013,Број, 10-14,Оба пола,Тузлански кантон,24027
2013,Број, 15-19,Оба пола,Тузлански кантон,32263
2013,Број, 20-24,Оба пола,Тузлански кантон,31620
2013,Број, 25-29,Оба пола,Тузлански кантон,33046
2013,Број, 30-34,Оба пола,Тузлански кантон,31480
2013,Број, 35-39,Оба пола,Тузлански кантон,31195
2013,Број,40-44,Оба пола,Тузлански кантон,31469
2013,Број, 45-49,Оба пола,Тузлански кантон,34576
2013,Број, 50-54,Оба пола,Тузлански кантон,37032
2013,Број, 55-59,Оба пола,Тузлански кантон,31967
2013,Број, 60-64,Оба пола,Тузлански кантон,26735
2013,Број, 65-69,Оба пола,Тузлански кантон,18379
2013,Број, 70-74,Оба пола,Тузлански кантон,15237
2013,Број, 75-79,Оба пола,Тузлански кантон,11738
2013,Број, 80-84,Оба пола,Тузлански кантон,6071
2013,Број,85+,Оба пола,Тузлански кантон,2416
2013,Број,Укупно,Оба пола,Зеничко-добојски кантон,364433
2013,Број,0-4,Оба пола,Зеничко-добојски кантон,19906
2013,Број, 5-9,Оба пола,Зеничко-добојски кантон,19610
2013,Број, 10-14,Оба пола,Зеничко-добојски кантон,20927
2013,Број, 15-19,Оба пола,Зеничко-добојски кантон,27674
2013,Број, 20-24,Оба пола,Зеничко-добојски кантон,25340
2013,Број, 25-29,Оба пола,Зеничко-добојски кантон,27092
2013,Број, 30-34,Оба пола,Зеничко-добојски кантон,26050
2013,Број, 35-39,Оба пола,Зеничко-добојски кантон,25766
2013,Број,40-44,Оба пола,Зеничко-добојски кантон,25290
2013,Број, 45-49,Оба пола,Зеничко-добојски кантон,27980
2013,Број, 50-54,Оба пола,Зеничко-добојски кантон,29498
2013,Број, 55-59,Оба пола,Зеничко-добојски кантон,26069
2013,Број, 60-64,Оба пола,Зеничко-добојски кантон,21251
2013,Број, 65-69,Оба пола,Зеничко-добојски кантон,14217
2013,Број, 70-74,Оба пола,Зеничко-добојски кантон,12208
2013,Број, 75-79,Оба пола,Зеничко-добојски кантон,9237
2013,Број, 80-84,Оба пола,Зеничко-добојски кантон,4593
2013,Број,85+,Оба пола,Зеничко-добојски кантон,1725
2013,Број,Укупно,Оба пола,Босанско-подрињски кантон,23734
2013,Број,0-4,Оба пола,Босанско-подрињски кантон,1098
2013,Број, 5-9,Оба пола,Босанско-подрињски кантон,958
2013,Број, 10-14,Оба пола,Босанско-подрињски кантон,1230
2013,Број, 15-19,Оба пола,Босанско-подрињски кантон,1738
2013,Број, 20-24,Оба пола,Босанско-подрињски кантон,1437
2013,Број, 25-29,Оба пола,Босанско-подрињски кантон,1602
2013,Број, 30-34,Оба пола,Босанско-подрињски кантон,1623
2013,Број, 35-39,Оба пола,Босанско-подрињски кантон,1455
2013,Број,40-44,Оба пола,Босанско-подрињски кантон,1403
2013,Број, 45-49,Оба пола,Босанско-подрињски кантон,1706
2013,Број, 50-54,Оба пола,Босанско-подрињски кантон,1914
2013,Број, 55-59,Оба пола,Босанско-подрињски кантон,2028
2013,Број, 60-64,Оба пола,Босанско-подрињски кантон,1677
2013,Број, 65-69,Оба пола,Босанско-подрињски кантон,1071
2013,Број, 70-74,Оба пола,Босанско-подрињски кантон,1042
2013,Број, 75-79,Оба пола,Босанско-подрињски кантон,1021
2013,Број, 80-84,Оба пола,Босанско-подрињски кантон,511
2013,Број,85+,Оба пола,Босанско-подрињски кантон,220
2013,Број,Укупно,Оба пола,Средњобосански кантон,254686
2013,Број,0-4,Оба пола,Средњобосански кантон,12979
2013,Број, 5-9,Оба пола,Средњобосански кантон,14291
2013,Број, 10-14,Оба пола,Средњобосански кантон,15930
2013,Број, 15-19,Оба пола,Средњобосански кантон,19819
2013,Број, 20-24,Оба пола,Средњобосански кантон,17764
2013,Број, 25-29,Оба пола,Средњобосански кантон,19067
2013,Број, 30-34,Оба пола,Средњобосански кантон,18487
2013,Број, 35-39,Оба пола,Средњобосански кантон,18371
2013,Број,40-44,Оба пола,Средњобосански кантон,18285
2013,Број, 45-49,Оба пола,Средњобосански кантон,19430
2013,Број, 50-54,Оба пола,Средњобосански кантон,19854
2013,Број, 55-59,Оба пола,Средњобосански кантон,17535
2013,Број, 60-64,Оба пола,Средњобосански кантон,13788
2013,Број, 65-69,Оба пола,Средњобосански кантон,9151
2013,Број, 70-74,Оба пола,Средњобосански кантон,8847
2013,Број, 75-79,Оба пола,Средњобосански кантон,6561
2013,Број, 80-84,Оба пола,Средњобосански кантон,3264
2013,Број,85+,Оба пола,Средњобосански кантон,1263
2013,Број,Укупно,Оба пола,Херцеговачко-неретвански кантон,222007
2013,Број,0-4,Оба пола,Херцеговачко-неретвански кантон,10717
2013,Број, 5-9,Оба пола,Херцеговачко-неретвански кантон,10866
2013,Број, 10-14,Оба пола,Херцеговачко-неретвански кантон,12576
2013,Број, 15-19,Оба пола,Херцеговачко-неретвански кантон,16497
2013,Број, 20-24,Оба пола,Херцеговачко-неретвански кантон,14626
2013,Број, 25-29,Оба пола,Херцеговачко-неретвански кантон,15752
2013,Број, 30-34,Оба пола,Херцеговачко-неретвански кантон,15188
2013,Број, 35-39,Оба пола,Херцеговачко-неретвански кантон,14551
2013,Број,40-44,Оба пола,Херцеговачко-неретвански кантон,14619
2013,Број, 45-49,Оба пола,Херцеговачко-неретвански кантон,16426
2013,Број, 50-54,Оба пола,Херцеговачко-неретвански кантон,17397
2013,Број, 55-59,Оба пола,Херцеговачко-неретвански кантон,15819
2013,Број, 60-64,Оба пола,Херцеговачко-неретвански кантон,12748
2013,Број, 65-69,Оба пола,Херцеговачко-неретвански кантон,8805
2013,Број, 70-74,Оба пола,Херцеговачко-неретвански кантон,9454
2013,Број, 75-79,Оба пола,Херцеговачко-неретвански кантон,8323
2013,Број, 80-84,Оба пола,Херцеговачко-неретвански кантон,5051
2013,Број,85+,Оба пола,Херцеговачко-неретвански кантон,2592
2013,Број,Укупно,Оба пола,Западнохерцеговчки кантон,94898
2013,Број,0-4,Оба пола,Западнохерцеговчки кантон,5017
