Year,UNIT_MEASURE,Административна јединица,Број дјеце,Value
2013,Број,Федерација Босне и Херцеговине,Total,957422
2013,Број,Федерација Босне и Херцеговине,Нису рађале,273774
2013,Број,Федерација Босне и Херцеговине,1,132895
2013,Број,Федерација Босне и Херцеговине,2,308038
2013,Број,Федерација Босне и Херцеговине,3,138640
2013,Број,Федерација Босне и Херцеговине,4,54056
2013,Број,Федерација Босне и Херцеговине,5+,50019
2013,Број,Унско-сански кантон,Total,114518
2013,Број,Унско-сански кантон,Нису рађале,31239
2013,Број,Унско-сански кантон,1,16018
2013,Број,Унско-сански кантон,2,32843
2013,Број,Унско-сански кантон,3,17011
2013,Број,Унско-сански кантон,4,7586
2013,Број,Унско-сански кантон,5+,9821
2013,Број,Посавски кантон,Total,18762
2013,Број,Посавски кантон,Нису рађале,5836
2013,Број,Посавски кантон,1,2279
2013,Број,Посавски кантон,2,5567
2013,Број,Посавски кантон,3,2917
2013,Број,Посавски кантон,4,1136
2013,Број,Посавски кантон,5+,1027
2013,Број,Тузлански кантон,Total,193689
2013,Број,Тузлански кантон,Нису рађале,47272
2013,Број,Тузлански кантон,1,29699
2013,Број,Тузлански кантон,2,73940
2013,Број,Тузлански кантон,3,25457
2013,Број,Тузлански кантон,4,8862
2013,Број,Тузлански кантон,5+,8459
2013,Број,Зеничко-добојски кантон,Total,154153
2013,Број,Зеничко-добојски кантон,Нису рађале,39964
2013,Број,Зеничко-добојски кантон,1,21913
2013,Број,Зеничко-добојски кантон,2,51832
2013,Број,Зеничко-добојски кантон,3,23202
2013,Број,Зеничко-добојски кантон,4,8680
2013,Број,Зеничко-добојски кантон,5+,8562
2013,Број,Босанско-подрињски кантон,Total,10567
2013,Број,Босанско-подрињски кантон,Нису рађале,2755
2013,Број,Босанско-подрињски кантон,1,1302
2013,Број,Босанско-подрињски кантон,2,3788
2013,Број,Босанско-подрињски кантон,3,1663
2013,Број,Босанско-подрињски кантон,4,594
2013,Број,Босанско-подрињски кантон,5+,465
2013,Број,Средњобосански кантон,Total,106469
2013,Број,Средњобосански кантон,Нису рађале,31429
2013,Број,Средњобосански кантон,1,12068
2013,Број,Средњобосански кантон,2,28784
2013,Број,Средњобосански кантон,3,18339
2013,Број,Средњобосански кантон,4,8020
2013,Број,Средњобосански кантон,5+,7829
2013,Број,Херцеговачко-неретвански кантон,Total,96219
2013,Број,Херцеговачко-неретвански кантон,Нису рађале,31170
2013,Број,Херцеговачко-неретвански кантон,1,10670
2013,Број,Херцеговачко-неретвански кантон,2,27643
2013,Број,Херцеговачко-неретвански кантон,3,15955
2013,Број,Херцеговачко-неретвански кантон,4,6284
2013,Број,Херцеговачко-неретвански кантон,5+,4497
2013,Број,Западнохерцеговчки кантон,Total,39369
2013,Број,Западнохерцеговчки кантон,Нису рађале,14469
2013,Број,Западнохерцеговчки кантон,1,3221
2013,Број,Западнохерцеговчки кантон,2,7574
2013,Број,Западнохерцеговчки кантон,3,7371
2013,Број,Западнохерцеговчки кантон,4,3926
2013,Број,Западнохерцеговчки кантон,5+,2808
2013,Број,Кантон Сарајево,Total,187635
2013,Број,Кантон Сарајево,Нису рађале,57188
2013,Број,Кантон Сарајево,1,32682
2013,Број,Кантон Сарајево,2,67572
2013,Број,Кантон Сарајево,3,19921
2013,Број,Кантон Сарајево,4,5881
2013,Број,Кантон Сарајево,5+,4391
2013,Број,Кантон 10,Total,36041
2013,Број,Кантон 10,Нису рађале,12452
2013,Број,Кантон 10,1,3043
2013,Број,Кантон 10,2,8495
2013,Број,Кантон 10,3,6804
2013,Број,Кантон 10,4,3087
2013,Број,Кантон 10,5+,2160
