Year,UNIT_MEASURE,Административна јединица,Бројност домаћинства,Value
2013,Број,Федерација Босне и Херцеговине,Укупно,715665
2013,Број,Федерација Босне и Херцеговине,1,125942
2013,Број,Федерација Босне и Херцеговине,2,167372
2013,Број,Федерација Босне и Херцеговине,3,148905
2013,Број,Федерација Босне и Херцеговине,4,154944
2013,Број,Федерација Босне и Херцеговине,5,67486
2013,Број,Федерација Босне и Херцеговине,6,30205
2013,Број,Федерација Босне и Херцеговине,7,11533
2013,Број,Федерација Босне и Херцеговине,8+,9278
2013,Број,Унско-сански кантон,Укупно,78255
2013,Број,Унско-сански кантон,1,11192
2013,Број,Унско-сански кантон,2,15317
2013,Број,Унско-сански кантон,3,14714
2013,Број,Унско-сански кантон,4,17510
2013,Број,Унско-сански кантон,5,9711
2013,Број,Унско-сански кантон,6,5226
2013,Број,Унско-сански кантон,7,2332
2013,Број,Унско-сански кантон,8+,2253
2013,Број,Посавски кантон,Укупно,13312
2013,Број,Посавски кантон,1,2537
2013,Број,Посавски кантон,2,2808
2013,Број,Посавски кантон,3,2366
2013,Број,Посавски кантон,4,2606
2013,Број,Посавски кантон,5,1588
2013,Број,Посавски кантон,6,803
2013,Број,Посавски кантон,7,321
2013,Број,Посавски кантон,8+,283
2013,Број,Тузлански кантон,Укупно,150598
2013,Број,Тузлански кантон,1,25880
2013,Број,Тузлански кантон,2,37907
2013,Број,Тузлански кантон,3,34556
2013,Број,Тузлански кантон,4,33863
2013,Број,Тузлански кантон,5,11199
2013,Број,Тузлански кантон,6,4894
2013,Број,Тузлански кантон,7,1427
2013,Број,Тузлански кантон,8+,872
2013,Број,Зеничко-добојски кантон,Укупно,121139
2013,Број,Зеничко-добојски кантон,1,20383
2013,Број,Зеничко-добојски кантон,2,29234
2013,Број,Зеничко-добојски кантон,3,27207
2013,Број,Зеничко-добојски кантон,4,28049
2013,Број,Зеничко-добојски кантон,5,10450
2013,Број,Зеничко-добојски кантон,6,3802
2013,Број,Зеничко-добојски кантон,7,1245
2013,Број,Зеничко-добојски кантон,8+,769
2013,Број,Босанско-подрињски кантон,Укупно,8670
2013,Број,Босанско-подрињски кантон,1,1937
2013,Број,Босанско-подрињски кантон,2,2413
2013,Број,Босанско-подрињски кантон,3,1732
2013,Број,Босанско-подрињски кантон,4,1719
2013,Број,Босанско-подрињски кантон,5,565
2013,Број,Босанско-подрињски кантон,6,206
2013,Број,Босанско-подрињски кантон,7,71
2013,Број,Босанско-подрињски кантон,8+,27
2013,Број,Средњобосански кантон,Укупно,77881
2013,Број,Средњобосански кантон,1,12274
2013,Број,Средњобосански кантон,2,16738
2013,Број,Средњобосански кантон,3,15345
2013,Број,Средњобосански кантон,4,17704
2013,Број,Средњобосански кантон,5,9194
2013,Број,Средњобосански кантон,6,4056
2013,Број,Средњобосански кантон,7,1496
2013,Број,Средњобосански кантон,8+,1074
2013,Број,Херцеговачко-неретвански кантон,Укупно,68117
2013,Број,Херцеговачко-неретвански кантон,1,11555
2013,Број,Херцеговачко-неретвански кантон,2,14958
2013,Број,Херцеговачко-неретвански кантон,3,13109
2013,Број,Херцеговачко-неретвански кантон,4,14116
2013,Број,Херцеговачко-неретвански кантон,5,7861
2013,Број,Херцеговачко-неретвански кантон,6,3792
2013,Број,Херцеговачко-неретвански кантон,7,1576
2013,Број,Херцеговачко-неретвански кантон,8+,1150
2013,Број,Западнохерцеговчки кантон,Укупно,25078
2013,Број,Западнохерцеговчки кантон,1,3477
2013,Број,Западнохерцеговчки кантон,2,4584
2013,Број,Западнохерцеговчки кантон,3,3831
2013,Број,Западнохерцеговчки кантон,4,4716
2013,Број,Западнохерцеговчки кантон,5,3764
2013,Број,Западнохерцеговчки кантон,6,2375
2013,Број,Западнохерцеговчки кантон,7,1193
2013,Број,Западнохерцеговчки кантон,8+,1138
2013,Број,Кантон Сарајево,Укупно,148860
2013,Број,Кантон Сарајево,1,32661
2013,Број,Кантон Сарајево,2,38480
2013,Број,Кантон Сарајево,3,32297
2013,Број,Кантон Сарајево,4,30523
2013,Број,Кантон Сарајево,5,9905
2013,Број,Кантон Сарајево,6,3254
2013,Број,Кантон Сарајево,7,988
2013,Број,Кантон Сарајево,8+,752
2013,Број,Кантон 10,Укупно,23755
2013,Број,Кантон 10,1,4046
2013,Број,Кантон 10,2,4933
2013,Број,Кантон 10,3,3748
2013,Број,Кантон 10,4,4138
2013,Број,Кантон 10,5,3249
2013,Број,Кантон 10,6,1797
2013,Број,Кантон 10,7,884
2013,Број,Кантон 10,8+,960
2023,Број,Федерација Босне и Херцеговине,Укупно,715665
2023,Број,Унско-сански кантон,Укупно,78255
2023,Број,Бихаћ,Укупно,18293
2023,Број,Босанска Крупа,Укупно,7672
2023,Број,Босански Петровац,Укупно,2797
2023,Број,Бужим,Укупно,4326
2023,Број,Цазин,Укупно,16682
2023,Број,Кључ,Укупно,4990
2023,Број,Сански Мост,Укупно,11845
2023,Број,Велика Кладуша,Укупно,11650
2023,Број,Посавски кантон,Укупно,13312
2023,Број,Домаљевац-Шамац,Укупно,1312
2023,Број,Оџак,Укупно,5808
