Year,Пол,UNIT_MEASURE,Матерњи језик,Value
2013,Оба пола,Број,Bosnian ,
2013,Оба пола,Број,Српски,
2013,Оба пола,Број,Хрватски,
2013,Оба пола,Број,Српско-хрватски,
2013,Оба пола,Број,Ромски,
2013,Оба пола,Број,Албански,
2013,Оба пола,Број,Босански-хрватски-српски,
2013,Оба пола,Број,Турски,
2013,Оба пола,Број,Хрватско-српски,
2013,Оба пола,Број,Бошњачки,
2013,Оба пола,Број,Украјински,
2013,Оба пола,Број,Босански-српски-хрватски,
2013,Оба пола,Број,Босански-хрватски,
2013,Оба пола,Број,Босанско-херцеговачки,
2013,Оба пола,Број,Њемачки,
2013,Оба пола,Број,Other,
2013,Оба пола,Број,Unknown,
2013,M,Број,Bosnian ,
2013,M,Број,Српски,
2013,M,Број,Хрватски,
2013,M,Број,Serbo_Croatian ,
2013,M,Број,Ромски,
2013,M,Број,Албански,
2013,M,Број,Босански-хрватски-српски,
2013,M,Број,Турски,
2013,M,Број,Хрватско-српски,
2013,M,Број,Бошњачки,
2013,M,Број,Украјински,
2013,M,Број,Босански-српски-хрватски,
2013,M,Број,Босански-хрватски,
2013,M,Број,Босанско-херцеговачки,
2013,M,Број,Њемачки,
2013,M,Број,Other,
2013,M,Број,Unknown,
2013,Ж,Број,Bosnian ,
2013,Ж,Број,Српски,
2013,Ж,Број,Хрватски,
2013,Ж,Број,Serbo_Croatian ,
2013,Ж,Број,Ромски,
2013,Ж,Број,Албански,
2013,Ж,Број,Босански-хрватски-српски,
2013,Ж,Број,Турски,
2013,Ж,Број,Хрватско-српски,
2013,Ж,Број,Бошњачки,
2013,Ж,Број,Украјински,
2013,Ж,Број,Босански-српски-хрватски,
2013,Ж,Број,Босански-хрватски,
2013,Ж,Број,Босанско-херцеговачки,
2013,Ж,Број,Њемачки,
2013,Ж,Број,Other,
2013,Ж,Број,Unknown,
