Year,UNIT_MEASURE,Oпштина,Literacy,Пол,Value
2013,Број,Бановићи,literate,M,10008
2013,Број,Бихаћ,literate,M,23902
2013,Број,Босанска Крупа,literate,M,10827
2013,Број,Босански Петровац,literate,M,3310
2013,Број,Босанско Грахово,literate,M,1205
2013,Број,Бреза,literate,M,6215
2013,Број,Бугојно,literate,M,13689
2013,Број,Бусовача,literate,M,7922
2013,Број,Бужим,literate,M,8307
2013,Број,Цазин,literate,M,28347
2013,Број,centar_sarajevo,literate,M,22675
2013,Број,Чапљина,literate,M,11440
2013,Број,Челић,literate,M,4628
2013,Број,Читлук,literate,M,7768
2013,Број,doboj-istok,literate,M,4352
2013,Број,doboj-jug,literate,M,1775
2013,Број,Добретићи,literate,M,827
2013,Број,domaljevac-samac,literate,M,2125
2013,Број,Доњи Вакуф,literate,M,6037
2013,Број,Дрвар,literate,M,3200
2013,Број,foca-fbih,literate,M,901
2013,Број,Фојница,literate,M,5384
2013,Број,Гламоч,literate,M,1746
2013,Број,Горажде,literate,M,9077
2013,Број,gornji_vakuf-uskoplje,literate,M,9125
2013,Број,Грачаница,literate,M,18769
2013,Број,Градачац,literate,M,16725
2013,Број,Груде,literate,M,7599
2013,Број,hadzici,literate,M,10287
2013,Број,ilidza,literate,M,28235
2013,Број,ilijas,literate,M,8171
2013,Број,Јабланица,literate,M,4526
2013,Број,Јајце,literate,M,12185
2013,Број,Какањ,literate,M,16181
2013,Број,Калесија,literate,M,14425
2013,Број,Кисељак,literate,M,8979
2013,Број,Кладањ,literate,M,5388
2013,Број,Кључ,literate,M,7484
2013,Број,Коњиц,literate,M,11032
2013,Број,Крешево,literate,M,2276
2013,Број,kupres-fbih,literate,M,2308
2013,Број,Ливно,literate,M,15330
2013,Број,Лукавац,literate,M,19474
2013,Број,Љубушки,literate,M,12328
2013,Број,Маглај,literate,M,10042
2013,Број,Мостар,literate,M,45482
2013,Број,Неум,literate,M,2089
2013,Број,novi_grad_sarajevo,literate,M,48841
2013,Број,Нови Травник,literate,M,10277
2013,Број,novo_sarajevo,literate,M,26401
2013,Број,Оџак,literate,M,8411
2013,Број,Олово,literate,M,4568
2013,Број,Орашје,literate,M,9033
2013,Број,pale-fbih,literate,M,401
2013,Број,Посушје,literate,M,8798
2013,Број,Прозор,literate,M,6273
2013,Број,Равно,literate,M,1508
2013,Број,Сански Мост,literate,M,18623
2013,Број,Сапна,literate,M,4910
2013,Број,Сребреник,literate,M,16723
2013,Број,stari_grad_sarajevo,literate,M,15740
2013,Број,Столац,literate,M,6483
2013,Број,Широки Бријег,literate,M,12458
2013,Број,Теочак,literate,M,3296
2013,Број,Тешањ,literate,M,18374
2013,Број,Томиславград,literate,M,14131
2013,Број,Травник,literate,M,23009
2013,Број,trnovo-fbih,literate,M,692
2013,Број,Тузла,literate,M,47151
2013,Број,Усора,literate,M,2968
2013,Број,Вареш,literate,M,4022
2013,Број,Велика Кладуша,literate,M,16588
2013,Број,Високо,literate,M,17119
2013,Број,Витез,literate,M,11068
2013,Број,vogosca,literate,M,10944
2013,Број,Завидовићи,literate,M,15597
2013,Број,Зеница,literate,M,48308
2013,Број,Жепче,literate,M,13364
2013,Број,Живинице,literate,M,24945
2013,Број,Бановићи,literate,Ж,9449
2013,Број,Бихаћ,literate,Ж,25191
2013,Број,Босанска Крупа,literate,Ж,10591
2013,Број,Босански Петровац,literate,Ж,3120
2013,Број,Босанско Грахово,literate,Ж,1011
2013,Број,Бреза,literate,Ж,6159
2013,Број,Бугојно,literate,Ж,13439
2013,Број,Бусовача,literate,Ж,7250
2013,Број,Бужим,literate,Ж,7529
2013,Број,Цазин,literate,Ж,26903
2013,Број,centar_sarajevo,literate,Ж,26859
2013,Број,Чапљина,literate,Ж,11407
2013,Број,Челић,literate,Ж,4354
2013,Број,Читлук,literate,Ж,7793
2013,Број,doboj-istok,literate,Ж,4211
2013,Број,doboj-jug,literate,Ж,1718
2013,Број,Добретићи,literate,Ж,571
2013,Број,domaljevac-samac,literate,Ж,2070
2013,Број,Доњи Вакуф,literate,Ж,5837
2013,Број,Дрвар,literate,Ж,3186
2013,Број,foca-fbih,literate,Ж,777
2013,Број,Фојница,literate,Ж,5050
2013,Број,Гламоч,literate,Ж,1620
2013,Број,Горажде,literate,Ж,9190
2013,Број,gornji_vakuf-uskoplje,literate,Ж,8461
2013,Број,Грачаница,literate,Ж,19536
2013,Број,Градачац,literate,Ж,16905
2013,Број,Груде,literate,Ж,7467
2013,Број,hadzici,literate,Ж,9893
2013,Број,ilidza,literate,Ж,29428
2013,Број,ilijas,literate,Ж,8409
2013,Број,Јабланица,literate,Ж,4353
2013,Број,Јајце,literate,Ж,10881
2013,Број,Какањ,literate,Ж,15590
2013,Број,Калесија,literate,Ж,13271
2013,Број,Кисељак,literate,Ж,8691
2013,Број,Кладањ,literate,Ж,5368
2013,Број,Кључ,literate,Ж,7018
2013,Број,Коњиц,literate,Ж,10641
2013,Број,Крешево,literate,Ж,2278
2013,Број,kupres-fbih,literate,Ж,2202
2013,Број,Ливно,literate,Ж,15001
2013,Број,Лукавац,literate,Ж,19292
2013,Број,Љубушки,literate,Ж,12242
2013,Број,Маглај,literate,Ж,9966
2013,Број,Мостар,literate,Ж,48016
2013,Број,Неум,literate,Ж,1960
2013,Број,novi_grad_sarajevo,literate,Ж,54682
2013,Број,Нови Травник,literate,Ж,10000
2013,Број,novo_sarajevo,literate,Ж,31659
2013,Број,Оџак,literate,Ж,8175
2013,Број,Олово,literate,Ж,4277
2013,Број,Орашје,literate,Ж,8543
2013,Број,pale-fbih,literate,Ж,361
2013,Број,Посушје,literate,Ж,8492
2013,Број,Прозор,literate,Ж,5788
2013,Број,Равно,literate,Ж,1385
2013,Број,Сански Мост,literate,Ж,17587
2013,Број,Сапна,literate,Ж,4220
2013,Број,Сребреник,literate,Ж,16438
2013,Број,stari_grad_sarajevo,literate,Ж,17397
2013,Број,Столац,literate,Ж,6214
2013,Број,Широки Бријег,literate,Ж,12343
2013,Број,Теочак,literate,Ж,3034
2013,Број,Тешањ,literate,Ж,17845
2013,Број,Томиславград,literate,Ж,13164
2013,Број,Травник,literate,Ж,22430
2013,Број,trnovo-fbih,literate,Ж,575
2013,Број,Тузла,literate,Ж,51056
2013,Број,Усора,literate,Ж,2885
2013,Број,Вареш,literate,Ж,4016
2013,Број,Велика Кладуша,literate,Ж,16281
