Year,UNIT-MEASURE,Административна јединица,Пол,Највиша завршена школа,Value
2013,Број,Федерација Босне и Херцеговине,Укупно,Укупно,1862272
2013,Број,Федерација Босне и Херцеговине,Укупно,Без образовања,82724
2013,Број,Федерација Босне и Херцеговине,Укупно,Непотпуно основно образовање,167956
2013,Број,Федерација Босне и Херцеговине,Укупно,Основна школа,401188
2013,Број,Федерација Босне и Херцеговине,Укупно,Средња школа,952320
2013,Број,Федерација Босне и Херцеговине,Укупно,Специјализација послије средње школе,13254
2013,Број,Федерација Босне и Херцеговине,Укупно,Виша школа и први степен факултета,56720
2013,Број,Федерација Босне и Херцеговине,Укупно,Висока школа / факултет / академија / универзитет,188110
2013,Број,Унско-сански кантон,Укупно,Укупно,225229
2013,Број,Унско-сански кантон,Укупно,Без образовања,13280
2013,Број,Унско-сански кантон,Укупно,Непотпуно основно образовање,23698
2013,Број,Унско-сански кантон,Укупно,Основна школа,65447
2013,Број,Унско-сански кантон,Укупно,Средња школа,101836
2013,Број,Унско-сански кантон,Укупно,Специјализација послије средње школе,827
2013,Број,Унско-сански кантон,Укупно,Виша школа и први степен факултета,6495
2013,Број,Унско-сански кантон,Укупно,Висока школа / факултет / академија / универзитет,13646
2013,Број,Посавски кантон,Укупно,Укупно,37418
2013,Број,Посавски кантон,Укупно,Без образовања,1877
2013,Број,Посавски кантон,Укупно,Непотпуно основно образовање,5411
2013,Број,Посавски кантон,Укупно,Основна школа,8965
2013,Број,Посавски кантон,Укупно,Средња школа,17468
2013,Број,Посавски кантон,Укупно,Специјализација послије средње школе,200
2013,Број,Посавски кантон,Укупно,Виша школа и први степен факултета,1001
2013,Број,Посавски кантон,Укупно,Висока школа / факултет / академија / универзитет,2496
2013,Број,Тузлански кантон,Укупно,Укупно,375224
2013,Број,Тузлански кантон,Укупно,Без образовања,19235
2013,Број,Тузлански кантон,Укупно,Непотпуно основно образовање,40851
2013,Број,Тузлански кантон,Укупно,Основна школа,86031
2013,Број,Тузлански кантон,Укупно,Средња школа,191001
2013,Број,Тузлански кантон,Укупно,Специјализација послије средње школе,2692
2013,Број,Тузлански кантон,Укупно,Виша школа и први степен факултета,7370
2013,Број,Тузлански кантон,Укупно,Висока школа / факултет / академија / универзитет,28044
2013,Број,Зеничко-добојски кантон,Укупно,Укупно,303990
2013,Број,Зеничко-добојски кантон,Укупно,Без образовања,13040
2013,Број,Зеничко-добојски кантон,Укупно,Непотпуно основно образовање,31325
2013,Број,Зеничко-добојски кантон,Укупно,Основна школа,71548
2013,Број,Зеничко-добојски кантон,Укупно,Средња школа,156591
2013,Број,Зеничко-добојски кантон,Укупно,Специјализација послије средње школе,3593
2013,Број,Зеничко-добојски кантон,Укупно,Виша школа и први степен факултета,7050
2013,Број,Зеничко-добојски кантон,Укупно,Висока школа / факултет / академија / универзитет,20843
2013,Број,Босанско-подрињски кантон,Укупно,Укупно,20448
2013,Број,Босанско-подрињски кантон,Укупно,Без образовања,1133
2013,Број,Босанско-подрињски кантон,Укупно,Непотпуно основно образовање,1705
2013,Број,Босанско-подрињски кантон,Укупно,Основна школа,4886
2013,Број,Босанско-подрињски кантон,Укупно,Средња школа,10173
2013,Број,Босанско-подрињски кантон,Укупно,Специјализација послије средње школе,205
2013,Број,Босанско-подрињски кантон,Укупно,Виша школа и први степен факултета,518
2013,Број,Босанско-подрињски кантон,Укупно,Висока школа / факултет / академија / универзитет,1828
2013,Број,Средњобосански кантон,Укупно,Укупно,211486
2013,Број,Средњобосански кантон,Укупно,Без образовања,10958
2013,Број,Средњобосански кантон,Укупно,Непотпуно основно образовање,23045
2013,Број,Средњобосански кантон,Укупно,Основна школа,49690
2013,Број,Средњобосански кантон,Укупно,Средња школа,107657
2013,Број,Средњобосански кантон,Укупно,Специјализација послије средње школе,1321
2013,Број,Средњобосански кантон,Укупно,Виша школа и први степен факултета,5219
2013,Број,Средњобосански кантон,Укупно,Висока школа / факултет / академија / универзитет,13596
2013,Број,Херцеговачко-неретвански кантон,Укупно,Укупно,187848
2013,Број,Херцеговачко-неретвански кантон,Укупно,Без образовања,6789
2013,Број,Херцеговачко-неретвански кантон,Укупно,Непотпуно основно образовање,13648
2013,Број,Херцеговачко-неретвански кантон,Укупно,Основна школа,33296
2013,Број,Херцеговачко-неретвански кантон,Укупно,Средња школа,101352
2013,Број,Херцеговачко-неретвански кантон,Укупно,Специјализација послије средње школе,1347
2013,Број,Херцеговачко-неретвански кантон,Укупно,Виша школа и први степен факултета,7772
2013,Број,Херцеговачко-неретвански кантон,Укупно,Висока школа / факултет / академија / универзитет,23644
2013,Број,Западнохерцеговчки кантон,Укупно,Укупно,78046
2013,Број,Западнохерцеговчки кантон,Укупно,Без образовања,2960
2013,Број,Западнохерцеговчки кантон,Укупно,Непотпуно основно образовање,6267
2013,Број,Западнохерцеговчки кантон,Укупно,Основна школа,12575
2013,Број,Западнохерцеговчки кантон,Укупно,Средња школа,42986
2013,Број,Западнохерцеговчки кантон,Укупно,Специјализација послије средње школе,387
2013,Број,Западнохерцеговчки кантон,Укупно,Виша школа и први степен факултета,3427
2013,Број,Западнохерцеговчки кантон,Укупно,Висока школа / факултет / академија / универзитет,9444
2013,Број,Кантон Сарајево,Укупно,Укупно,350333
2013,Број,Кантон Сарајево,Укупно,Без образовања,9766
2013,Број,Кантон Сарајево,Укупно,Непотпуно основно образовање,14669
2013,Број,Кантон Сарајево,Укупно,Основна школа,54955
2013,Број,Кантон Сарајево,Укупно,Средња школа,186928
2013,Број,Кантон Сарајево,Укупно,Специјализација послије средње школе,2385
2013,Број,Кантон Сарајево,Укупно,Виша школа и први степен факултета,14716
2013,Број,Кантон Сарајево,Укупно,Висока школа / факултет / академија / универзитет,66914
2013,Број,Кантон 10,Укупно,Укупно,72250
2013,Број,Кантон 10,Укупно,Без образовања,3686
2013,Број,Кантон 10,Укупно,Непотпуно основно образовање,7337
2013,Број,Кантон 10,Укупно,Основна школа,13795
2013,Број,Кантон 10,Укупно,Средња школа,36328
2013,Број,Кантон 10,Укупно,Специјализација послије средње школе,297
2013,Број,Кантон 10,Укупно,Виша школа и први степен факултета,3152
2013,Број,Кантон 10,Укупно,Висока школа / факултет / академија / универзитет,7655
2013,Број,Федерација Босне и Херцеговине,M,Укупно,904850
2013,Број,Федерација Босне и Херцеговине,M,Без образовања,13635
2013,Број,Федерација Босне и Херцеговине,M,Непотпуно основно образовање,46470
2013,Број,Федерација Босне и Херцеговине,M,Основна школа,166078
2013,Број,Федерација Босне и Херцеговине,M,Средња школа,547281
2013,Број,Федерација Босне и Херцеговине,M,Специјализација послије средње школе,11005
2013,Број,Федерација Босне и Херцеговине,M,Виша школа и први степен факултета,30520
2013,Број,Федерација Босне и Херцеговине,M,Висока школа / факултет / академија / универзитет,89861
2013,Број,Унско-сански кантон,M,Укупно,110711
2013,Број,Унско-сански кантон,M,Без образовања,2609
2013,Број,Унско-сански кантон,M,Непотпуно основно образовање,8511
2013,Број,Унско-сански кантон,M,Основна школа,29553
2013,Број,Унско-сански кантон,M,Средња школа,59686
2013,Број,Унско-сански кантон,M,Специјализација послије средње школе,583
2013,Број,Унско-сански кантон,M,Виша школа и први степен факултета,3294
2013,Број,Унско-сански кантон,M,Висока школа / факултет / академија / универзитет,6475
2013,Број,Посавски кантон,M,Укупно,18656
2013,Број,Посавски кантон,M,Без образовања,367
2013,Број,Посавски кантон,M,Непотпуно основно образовање,2125
2013,Број,Посавски кантон,M,Основна школа,4316
2013,Број,Посавски кантон,M,Средња школа,9831
2013,Број,Посавски кантон,M,Специјализација послије средње школе,146
2013,Број,Посавски кантон,M,Виша школа и први степен факултета,572
2013,Број,Посавски кантон,M,Висока школа / факултет / академија / универзитет,1299
2013,Број,Тузлански кантон,M,Укупно,181535
2013,Број,Тузлански кантон,M,Без образовања,3089
2013,Број,Тузлански кантон,M,Непотпуно основно образовање,10230
2013,Број,Тузлански кантон,M,Основна школа,34890
2013,Број,Тузлански кантон,M,Средња школа,112695
2013,Број,Тузлански кантон,M,Специјализација послије средње школе,2325
2013,Број,Тузлански кантон,M,Виша школа и први степен факултета,4293
2013,Број,Тузлански кантон,M,Висока школа / факултет / академија / универзитет,14013
2013,Број,Зеничко-добојски кантон,M,Укупно,149837
2013,Број,Зеничко-добојски кантон,M,Без образовања,1936
