Year,UNIT_MEASURE,Административна јединица,Пол,Врста потешкоће,Value
2013,Број,Федерација Босне и Херцеговине,Оба пола,Укупно,181927
2013,Број,Федерација Босне и Херцеговине,Оба пола,"Вид, иако носи наочаре",74413
2013,Број,Федерација Босне и Херцеговине,Оба пола,"Слух, иако користи слушни апарат",42221
2013,Број,Федерација Босне и Херцеговине,Оба пола,Ход или пењање уз степенице,114822
2013,Број,Федерација Босне и Херцеговине,Оба пола,Памћење или концентрација,35601
2013,Број,Федерација Босне и Херцеговине,Оба пола,Одијевање и одржавање хигијене,24345
2013,Број,Федерација Босне и Херцеговине,Оба пола,Комуникација,20180
2013,Број,Федерација Босне и Херцеговине,Оба пола,Са више потешкоћа,68156
2013,Број,Унско-сански кантон,Оба пола,Укупно,20706
2013,Број,Унско-сански кантон,Оба пола,"Вид, иако носи наочаре",8911
2013,Број,Унско-сански кантон,Оба пола,"Слух, иако користи слушни апарат",5139
2013,Број,Унско-сански кантон,Оба пола,Ход или пењање уз степенице,12299
2013,Број,Унско-сански кантон,Оба пола,Памћење или концентрација,4220
2013,Број,Унско-сански кантон,Оба пола,Одијевање и одржавање хигијене,2751
2013,Број,Унско-сански кантон,Оба пола,Комуникација,2467
2013,Број,Унско-сански кантон,Оба пола,Са више потешкоћа,7558
2013,Број,Посавски кантон,Оба пола,Укупно,3387
2013,Број,Посавски кантон,Оба пола,"Вид, иако носи наочаре",1386
2013,Број,Посавски кантон,Оба пола,"Слух, иако користи слушни апарат",762
2013,Број,Посавски кантон,Оба пола,Ход или пењање уз степенице,2021
2013,Број,Посавски кантон,Оба пола,Памћење или концентрација,615
2013,Број,Посавски кантон,Оба пола,Одијевање и одржавање хигијене,375
2013,Број,Посавски кантон,Оба пола,Комуникација,337
2013,Број,Посавски кантон,Оба пола,Са више потешкоћа,1127
2013,Број,Тузлански кантон,Оба пола,Укупно,43418
2013,Број,Тузлански кантон,Оба пола,"Вид, иако носи наочаре",18825
