Year,Type_of_disability,Пол,Старосна доб,UNIT_MEASURE,Value
2013,Seeing,Оба пола,0-14,Број,1084
2013,Hearing,Оба пола,0-14,Број,262
2013,walking_or_climbing_up_the_stairs,Оба пола,0-14,Број,671
2013,remembering_or_concentration,Оба пола,0-14,Број,200
2013,self_care,Оба пола,0-14,Број,164
2013,Communication,Оба пола,0-14,Број,318
2013,multiple_disabilities,Оба пола,0-14,Број,1826
2013,Seeing,Оба пола,15-19,Број,862
2013,Hearing,Оба пола,15-19,Број,191
2013,walking_or_climbing_up_the_stairs,Оба пола,15-19,Број,478
2013,remembering_or_concentration,Оба пола,15-19,Број,129
2013,self_care,Оба пола,15-19,Број,32
2013,Communication,Оба пола,15-19,Број,112
2013,multiple_disabilities,Оба пола,15-19,Број,1082
2013,Seeing,Оба пола,20-29,Број,1819
2013,Hearing,Оба пола,20-29,Број,370
2013,walking_or_climbing_up_the_stairs,Оба пола,20-29,Број,1350
2013,remembering_or_concentration,Оба пола,20-29,Број,380
2013,self_care,Оба пола,20-29,Број,72
2013,Communication,Оба пола,20-29,Број,208
2013,multiple_disabilities,Оба пола,20-29,Број,2199
2013,Seeing,Оба пола,30-49,Број,7841
2013,Hearing,Оба пола,30-49,Број,2460
2013,walking_or_climbing_up_the_stairs,Оба пола,30-49,Број,15862
2013,remembering_or_concentration,Оба пола,30-49,Број,2337
2013,self_care,Оба пола,30-49,Број,319
2013,Communication,Оба пола,30-49,Број,683
2013,multiple_disabilities,Оба пола,30-49,Број,10694
2013,Seeing,Оба пола,50-59,Број,12870
2013,Hearing,Оба пола,50-59,Број,3498
2013,walking_or_climbing_up_the_stairs,Оба пола,50-59,Број,21484
2013,remembering_or_concentration,Оба пола,50-59,Број,2035
2013,self_care,Оба пола,50-59,Број,259
2013,Communication,Оба пола,50-59,Број,488
2013,multiple_disabilities,Оба пола,50-59,Број,16861
2013,Seeing,Оба пола,60-64,Број,7189
2013,Hearing,Оба пола,60-64,Број,2289
2013,walking_or_climbing_up_the_stairs,Оба пола,60-64,Број,12727
2013,remembering_or_concentration,Оба пола,60-64,Број,870
2013,self_care,Оба пола,60-64,Број,100
2013,Communication,Оба пола,60-64,Број,259
2013,multiple_disabilities,Оба пола,60-64,Број,11125
2013,Seeing,Оба пола,60-64,Број,20636
2013,Hearing,Оба пола,60-64,Број,12505
2013,walking_or_climbing_up_the_stairs,Оба пола,60-64,Број,44406
2013,remembering_or_concentration,Оба пола,60-64,Број,2836
2013,self_care,Оба пола,60-64,Број,587
