Year,UNIT_MEASURE,Admin_Area,Пол,Value
1998,Број,federation_of_bih,Оба пола,483426.0
1998,Број,una-sana_canton,Оба пола,19062.0
1998,Број,posavina_canton,Оба пола,400.0
1998,Број,tuzla_canton,Оба пола,52338.0
1998,Број,zenica-doboj_canton,Оба пола,166900.0
1998,Број,bosnian-podrinje_canton,Оба пола,
1998,Број,central_bosnia_canton,Оба пола,19686.0
1998,Број,herzegovina-neretva_canton,Оба пола,18032.0
1998,Број,west_herzegovina_canton,Оба пола,
1998,Број,sarajevo_canton,Оба пола,205599.0
1998,Број,canton_10,Оба пола,1409.0
1998,Број,federation_of_bih,M,256508.0
1998,Број,una-sana_canton,M,8518.0
1998,Број,posavina_canton,M,167.0
1998,Број,tuzla_canton,M,25383.0
1998,Број,zenica-doboj_canton,M,93367.0
1998,Број,bosnian-podrinje_canton,M,
1998,Број,central_bosnia_canton,M,8634.0
1998,Број,herzegovina-neretva_canton,M,7469.0
1998,Број,west_herzegovina_canton,M,
1998,Број,sarajevo_canton,M,112504.0
1998,Број,canton_10,M,466.0
1998,Број,federation_of_bih,Ж,226918.0
1998,Број,una-sana_canton,Ж,10544.0
1998,Број,posavina_canton,Ж,233.0
1998,Број,tuzla_canton,Ж,26955.0
1998,Број,zenica-doboj_canton,Ж,73533.0
1998,Број,bosnian-podrinje_canton,Ж,
1998,Број,central_bosnia_canton,Ж,11052.0
1998,Број,herzegovina-neretva_canton,Ж,10563.0
1998,Број,west_herzegovina_canton,Ж,
1998,Број,sarajevo_canton,Ж,93095.0
1998,Број,canton_10,Ж,943.0
1999,Број,federation_of_bih,Оба пола,316644.0
1999,Број,una-sana_canton,Оба пола,8787.0
1999,Број,posavina_canton,Оба пола,911.0
1999,Број,tuzla_canton,Оба пола,49938.0
1999,Број,zenica-doboj_canton,Оба пола,122126.0
1999,Број,bosnian-podrinje_canton,Оба пола,
1999,Број,central_bosnia_canton,Оба пола,25288.0
1999,Број,herzegovina-neretva_canton,Оба пола,33768.0
1999,Број,west_herzegovina_canton,Оба пола,1198.0
1999,Број,sarajevo_canton,Оба пола,71624.0
1999,Број,canton_10,Оба пола,3004.0
1999,Број,federation_of_bih,M,158297.0
1999,Број,una-sana_canton,M,4056.0
1999,Број,posavina_canton,M,459.0
1999,Број,tuzla_canton,M,24031.0
1999,Број,zenica-doboj_canton,M,52694.0
1999,Број,bosnian-podrinje_canton,M,
1999,Број,central_bosnia_canton,M,11153.0
1999,Број,herzegovina-neretva_canton,M,18834.0
1999,Број,west_herzegovina_canton,M,830.0
1999,Број,sarajevo_canton,M,45340.0
1999,Број,canton_10,M,901.0
1999,Број,federation_of_bih,Ж,158347.0
1999,Број,una-sana_canton,Ж,4731.0
1999,Број,posavina_canton,Ж,452.0
1999,Број,tuzla_canton,Ж,25907.0
1999,Број,zenica-doboj_canton,Ж,69432.0
1999,Број,bosnian-podrinje_canton,Ж,
1999,Број,central_bosnia_canton,Ж,14135.0
1999,Број,herzegovina-neretva_canton,Ж,14934.0
1999,Број,west_herzegovina_canton,Ж,368.0
1999,Број,sarajevo_canton,Ж,26284.0
1999,Број,canton_10,Ж,2103.0
2000,Број,federation_of_bih,Оба пола,283785.0
2000,Број,una-sana_canton,Оба пола,11514.0
2000,Број,posavina_canton,Оба пола,1759.0
2000,Број,tuzla_canton,Оба пола,51918.0
2000,Број,zenica-doboj_canton,Оба пола,84090.0
2000,Број,bosnian-podrinje_canton,Оба пола,
2000,Број,central_bosnia_canton,Оба пола,28632.0
2000,Број,herzegovina-neretva_canton,Оба пола,25754.0
2000,Број,west_herzegovina_canton,Оба пола,1198.0
2000,Број,sarajevo_canton,Оба пола,76363.0
2000,Број,canton_10,Оба пола,2557.0
2000,Број,federation_of_bih,M,150741.0
2000,Број,una-sana_canton,M,3628.0
2000,Број,posavina_canton,M,900.0
2000,Број,tuzla_canton,M,25809.0
2000,Број,zenica-doboj_canton,M,45290.0
2000,Број,bosnian-podrinje_canton,M,
2000,Број,central_bosnia_canton,M,11909.0
2000,Број,herzegovina-neretva_canton,M,10760.0
2000,Број,west_herzegovina_canton,M,830.0
2000,Број,sarajevo_canton,M,50388.0
2000,Број,canton_10,M,1227.0
2000,Број,federation_of_bih,Ж,133044.0
2000,Број,una-sana_canton,Ж,7886.0
