Year,UNIT_MEASURE,Врста установе,Value
2016,Број,Укупно,175
2016,Број,Јавна,90
2016,Број,Приватна,85
2017,Број,Укупно,175
2017,Број,Јавна,90
2017,Број,Приватна,85
2018,Број,Укупно,172
2018,Број,Јавна,90
2018,Број,Приватна,82
2019,Број,Укупно,184
2019,Број,Јавна,90
2019,Број,Приватна,94
2020,Број,Укупно,188
2020,Број,Јавна,90
2020,Број,Приватна,98
2021,Број,Укупно,200
2021,Број,Јавна,92
2021,Број,Приватна,108
2022,Број,Укупно,225
2022,Број,Јавна,93
2022,Број,Приватна,132
2023,Број,Укупно,255
2023,Број,Јавна,131
2023,Број,Приватна,124
