Year,UNIT_MEASURE,Административно подручје,Пол,Value
2010,Број,federation_of_bih,Оба пола,15622.0
2011,Број,federation_of_bih,Оба пола,15574.0
2012,Број,federation_of_bih,Оба пола,15224.0
2013,Број,federation_of_bih,Оба пола,15417.0
2014,Број,federation_of_bih,Оба пола,15461.0
2015,Број,federation_of_bih,Оба пола,14908.0
2016,Број,federation_of_bih,Оба пола,15153.0
2017,Број,federation_of_bih,Оба пола,15272.0
2018,Број,federation_of_bih,Оба пола,15455.0
2010,Број,federation_of_bih,M,4620.0
2011,Број,federation_of_bih,M,4624.0
2012,Број,federation_of_bih,M,4425.0
2013,Број,federation_of_bih,M,4439.0
2014,Број,federation_of_bih,M,4362.0
2015,Број,federation_of_bih,M,4172.0
2016,Број,federation_of_bih,M,4200.0
2017,Број,federation_of_bih,M,4187.0
2018,Број,federation_of_bih,M,4160.0
2010,Број,federation_of_bih,Ж,11002.0
2011,Број,federation_of_bih,Ж,10950.0
2012,Број,federation_of_bih,Ж,10799.0
2013,Број,federation_of_bih,Ж,10978.0
2014,Број,federation_of_bih,Ж,11099.0
2015,Број,federation_of_bih,Ж,10736.0
2016,Број,federation_of_bih,Ж,10953.0
2017,Број,federation_of_bih,Ж,11085.0
2018,Број,federation_of_bih,Ж,11295.0
2010,Број,una-sana_canton,Оба пола,
2011,Број,una-sana_canton,Оба пола,
2012,Број,una-sana_canton,Оба пола,
2013,Број,una-sana_canton,Оба пола,
2014,Број,una-sana_canton,Оба пола,
2015,Број,una-sana_canton,Оба пола,
2016,Број,una-sana_canton,Оба пола,
2017,Број,una-sana_canton,Оба пола,
2018,Број,una-sana_canton,Оба пола,
2010,Број,una-sana_canton,M,
2011,Број,una-sana_canton,M,
2012,Број,una-sana_canton,M,
2013,Број,una-sana_canton,M,
2014,Број,una-sana_canton,M,
2015,Број,una-sana_canton,M,
2016,Број,una-sana_canton,M,
2017,Број,una-sana_canton,M,
2018,Број,una-sana_canton,M,
2010,Број,una-sana_canton,Ж,
2011,Број,una-sana_canton,Ж,
2012,Број,una-sana_canton,Ж,
2013,Број,una-sana_canton,Ж,
