Year,UNIT_MEASURE,Административна јединица,Врста школе,Value
2016,Број,Федерација Босне и Херцеговине,Гимназија,
2016,Број,Федерација Босне и Херцеговине,Техничке школе,
2016,Број,Федерација Босне и Херцеговине,Стручне школe,
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,
2017,Број,Федерација Босне и Херцеговине,Гимназија,
2017,Број,Федерација Босне и Херцеговине,Техничке школе,
2017,Број,Федерација Босне и Херцеговине,Стручне школe,
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,
2018,Број,Федерација Босне и Херцеговине,Гимназија,
2018,Број,Федерација Босне и Херцеговине,Техничке школе,
2018,Број,Федерација Босне и Херцеговине,Стручне школe,
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,
2019,Број,Федерација Босне и Херцеговине,Гимназија,
2019,Број,Федерација Босне и Херцеговине,Техничке школе,
2019,Број,Федерација Босне и Херцеговине,Стручне школe,
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,
2020,Број,Федерација Босне и Херцеговине,Гимназија,
2020,Број,Федерација Босне и Херцеговине,Техничке школе,
2020,Број,Федерација Босне и Херцеговине,Стручне школe,
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,
2016,Број,Унско-сански кантон,Гимназија,
2016,Број,Унско-сански кантон,Техничке школе,
2016,Број,Унско-сански кантон,Стручне школe,
2016,Број,Унско-сански кантон,Умјетничке школе,
2016,Број,Унско-сански кантон,Вјерске школе,
2016,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,
2017,Број,Унско-сански кантон,Гимназија,
2017,Број,Унско-сански кантон,Техничке школе,
2017,Број,Унско-сански кантон,Стручне школe,
2017,Број,Унско-сански кантон,Умјетничке школе,
2017,Број,Унско-сански кантон,Вјерске школе,
2017,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,
2018,Број,Унско-сански кантон,Гимназија,
2018,Број,Унско-сански кантон,Техничке школе,
2018,Број,Унско-сански кантон,Стручне школe,
2018,Број,Унско-сански кантон,Умјетничке школе,
2018,Број,Унско-сански кантон,Вјерске школе,
2018,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,
2019,Број,Унско-сански кантон,Гимназија,
2019,Број,Унско-сански кантон,Техничке школе,
2019,Број,Унско-сански кантон,Стручне школe,
2019,Број,Унско-сански кантон,Умјетничке школе,
2019,Број,Унско-сански кантон,Вјерске школе,
2019,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,
2020,Број,Унско-сански кантон,Гимназија,
2020,Број,Унско-сански кантон,Техничке школе,
2020,Број,Унско-сански кантон,Стручне школe,
2020,Број,Унско-сански кантон,Умјетничке школе,
2020,Број,Унско-сански кантон,Вјерске школе,
