Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2016,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Стручне школe,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Стручне школe,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Стручне школe,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Стручне школe,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Гимназија,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Техничке школе,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Стручне школe,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Вјерске школе,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Унско-сански кантон,Гимназија,Оба пола,
2016,Број,Унско-сански кантон,Техничке школе,Оба пола,
2016,Број,Унско-сански кантон,Стручне школe,Оба пола,
2016,Број,Унско-сански кантон,Умјетничке школе,Оба пола,
2016,Број,Унско-сански кантон,Вјерске школе,Оба пола,
2016,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Унско-сански кантон,Гимназија,Оба пола,
2017,Број,Унско-сански кантон,Техничке школе,Оба пола,
2017,Број,Унско-сански кантон,Стручне школe,Оба пола,
2017,Број,Унско-сански кантон,Умјетничке школе,Оба пола,
2017,Број,Унско-сански кантон,Вјерске школе,Оба пола,
2017,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Унско-сански кантон,Гимназија,Оба пола,
2018,Број,Унско-сански кантон,Техничке школе,Оба пола,
2018,Број,Унско-сански кантон,Стручне школe,Оба пола,
2018,Број,Унско-сански кантон,Умјетничке школе,Оба пола,
2018,Број,Унско-сански кантон,Вјерске школе,Оба пола,
2018,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Унско-сански кантон,Гимназија,Оба пола,
2019,Број,Унско-сански кантон,Техничке школе,Оба пола,
2019,Број,Унско-сански кантон,Стручне школe,Оба пола,
2019,Број,Унско-сански кантон,Умјетничке школе,Оба пола,
2019,Број,Унско-сански кантон,Вјерске школе,Оба пола,
2019,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Унско-сански кантон,Гимназија,Оба пола,
2020,Број,Унско-сански кантон,Техничке школе,Оба пола,
2020,Број,Унско-сански кантон,Стручне школe,Оба пола,
2020,Број,Унско-сански кантон,Умјетничке школе,Оба пола,
2020,Број,Унско-сански кантон,Вјерске школе,Оба пола,
2020,Број,Унско-сански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Посавски кантон,Гимназија,Оба пола,
2016,Број,Посавски кантон,Техничке школе,Оба пола,
2016,Број,Посавски кантон,Стручне школe,Оба пола,
2016,Број,Посавски кантон,Умјетничке школе,Оба пола,
2016,Број,Посавски кантон,Вјерске школе,Оба пола,
2016,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Посавски кантон,Гимназија,Оба пола,
2017,Број,Посавски кантон,Техничке школе,Оба пола,
2017,Број,Посавски кантон,Стручне школe,Оба пола,
2017,Број,Посавски кантон,Умјетничке школе,Оба пола,
2017,Број,Посавски кантон,Вјерске школе,Оба пола,
2017,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Посавски кантон,Гимназија,Оба пола,
2018,Број,Посавски кантон,Техничке школе,Оба пола,
2018,Број,Посавски кантон,Стручне школe,Оба пола,
2018,Број,Посавски кантон,Умјетничке школе,Оба пола,
2018,Број,Посавски кантон,Вјерске школе,Оба пола,
2018,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Посавски кантон,Гимназија,Оба пола,
2019,Број,Посавски кантон,Техничке школе,Оба пола,
2019,Број,Посавски кантон,Стручне школe,Оба пола,
2019,Број,Посавски кантон,Умјетничке школе,Оба пола,
2019,Број,Посавски кантон,Вјерске школе,Оба пола,
2019,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Посавски кантон,Гимназија,Оба пола,
2020,Број,Посавски кантон,Техничке школе,Оба пола,
2020,Број,Посавски кантон,Стручне школe,Оба пола,
2020,Број,Посавски кантон,Умјетничке школе,Оба пола,
2020,Број,Посавски кантон,Вјерске школе,Оба пола,
2020,Број,Посавски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Тузлански кантон,Гимназија,Оба пола,
2016,Број,Тузлански кантон,Техничке школе,Оба пола,
2016,Број,Тузлански кантон,Стручне школe,Оба пола,
2016,Број,Тузлански кантон,Умјетничке школе,Оба пола,
2016,Број,Тузлански кантон,Вјерске школе,Оба пола,
2016,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Тузлански кантон,Гимназија,Оба пола,
2017,Број,Тузлански кантон,Техничке школе,Оба пола,
2017,Број,Тузлански кантон,Стручне школe,Оба пола,
2017,Број,Тузлански кантон,Умјетничке школе,Оба пола,
2017,Број,Тузлански кантон,Вјерске школе,Оба пола,
2017,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Тузлански кантон,Гимназија,Оба пола,
2018,Број,Тузлански кантон,Техничке школе,Оба пола,
2018,Број,Тузлански кантон,Стручне школe,Оба пола,
2018,Број,Тузлански кантон,Умјетничке школе,Оба пола,
2018,Број,Тузлански кантон,Вјерске школе,Оба пола,
2018,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Тузлански кантон,Гимназија,Оба пола,
2019,Број,Тузлански кантон,Техничке школе,Оба пола,
2019,Број,Тузлански кантон,Стручне школe,Оба пола,
2019,Број,Тузлански кантон,Умјетничке школе,Оба пола,
2019,Број,Тузлански кантон,Вјерске школе,Оба пола,
2019,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Тузлански кантон,Гимназија,Оба пола,
2020,Број,Тузлански кантон,Техничке школе,Оба пола,
2020,Број,Тузлански кантон,Стручне школe,Оба пола,
2020,Број,Тузлански кантон,Умјетничке школе,Оба пола,
2020,Број,Тузлански кантон,Вјерске школе,Оба пола,
2020,Број,Тузлански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Зеничко-добојски кантон,Гимназија,Оба пола,
2016,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,
2016,Број,Зеничко-добојски кантон,Стручне школe,Оба пола,
2016,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,
2016,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,
2016,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Зеничко-добојски кантон,Гимназија,Оба пола,
2017,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,
2017,Број,Зеничко-добојски кантон,Стручне школe,Оба пола,
2017,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,
2017,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,
2017,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Зеничко-добојски кантон,Гимназија,Оба пола,
2018,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,
2018,Број,Зеничко-добојски кантон,Стручне школe,Оба пола,
2018,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,
2018,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,
2018,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Зеничко-добојски кантон,Гимназија,Оба пола,
2019,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,
2019,Број,Зеничко-добојски кантон,Стручне школe,Оба пола,
2019,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,
2019,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,
2019,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Зеничко-добојски кантон,Гимназија,Оба пола,
2020,Број,Зеничко-добојски кантон,Техничке школе,Оба пола,
2020,Број,Зеничко-добојски кантон,Стручне школe,Оба пола,
2020,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,
2020,Број,Зеничко-добојски кантон,Вјерске школе,Оба пола,
2020,Број,Зеничко-добојски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Босанско-подрињски кантон,Гимназија,Оба пола,
2016,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,
2016,Број,Босанско-подрињски кантон,Стручне школe,Оба пола,
2016,Број,Босанско-подрињски кантон,Умјетничке школе,Оба пола,
2016,Број,Босанско-подрињски кантон,Вјерске школе,Оба пола,
2016,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Босанско-подрињски кантон,Гимназија,Оба пола,
2017,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,
2017,Број,Босанско-подрињски кантон,Стручне школe,Оба пола,
2017,Број,Босанско-подрињски кантон,Умјетничке школе,Оба пола,
2017,Број,Босанско-подрињски кантон,Вјерске школе,Оба пола,
2017,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Босанско-подрињски кантон,Гимназија,Оба пола,
2018,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,
2018,Број,Босанско-подрињски кантон,Стручне школe,Оба пола,
2018,Број,Босанско-подрињски кантон,Умјетничке школе,Оба пола,
2018,Број,Босанско-подрињски кантон,Вјерске школе,Оба пола,
2018,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Босанско-подрињски кантон,Гимназија,Оба пола,
2019,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,
2019,Број,Босанско-подрињски кантон,Стручне школe,Оба пола,
2019,Број,Босанско-подрињски кантон,Умјетничке школе,Оба пола,
2019,Број,Босанско-подрињски кантон,Вјерске школе,Оба пола,
2019,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Босанско-подрињски кантон,Гимназија,Оба пола,
2020,Број,Босанско-подрињски кантон,Техничке школе,Оба пола,
2020,Број,Босанско-подрињски кантон,Стручне школe,Оба пола,
2020,Број,Босанско-подрињски кантон,Умјетничке школе,Оба пола,
2020,Број,Босанско-подрињски кантон,Вјерске школе,Оба пола,
2020,Број,Босанско-подрињски кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Средњобосански кантон,Гимназија,Оба пола,
2016,Број,Средњобосански кантон,Техничке школе,Оба пола,
2016,Број,Средњобосански кантон,Стручне школe,Оба пола,
2016,Број,Средњобосански кантон,Умјетничке школе,Оба пола,
2016,Број,Средњобосански кантон,Вјерске школе,Оба пола,
2016,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Средњобосански кантон,Гимназија,Оба пола,
2017,Број,Средњобосански кантон,Техничке школе,Оба пола,
2017,Број,Средњобосански кантон,Стручне школe,Оба пола,
2017,Број,Средњобосански кантон,Умјетничке школе,Оба пола,
2017,Број,Средњобосански кантон,Вјерске школе,Оба пола,
2017,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Средњобосански кантон,Гимназија,Оба пола,
2018,Број,Средњобосански кантон,Техничке школе,Оба пола,
2018,Број,Средњобосански кантон,Стручне школe,Оба пола,
2018,Број,Средњобосански кантон,Умјетничке школе,Оба пола,
2018,Број,Средњобосански кантон,Вјерске школе,Оба пола,
2018,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Средњобосански кантон,Гимназија,Оба пола,
2019,Број,Средњобосански кантон,Техничке школе,Оба пола,
2019,Број,Средњобосански кантон,Стручне школe,Оба пола,
2019,Број,Средњобосански кантон,Умјетничке школе,Оба пола,
2019,Број,Средњобосански кантон,Вјерске школе,Оба пола,
2019,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Средњобосански кантон,Гимназија,Оба пола,
2020,Број,Средњобосански кантон,Техничке школе,Оба пола,
2020,Број,Средњобосански кантон,Стручне школe,Оба пола,
2020,Број,Средњобосански кантон,Умјетничке школе,Оба пола,
2020,Број,Средњобосански кантон,Вјерске школе,Оба пола,
2020,Број,Средњобосански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Стручне школe,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Стручне школe,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Стручне школe,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Стручне школe,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Гимназија,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Техничке школе,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Стручне школe,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Вјерске школе,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2016,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,
2016,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,
2016,Број,Западнохерцеговчки кантон,Стручне школe,Оба пола,
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,
2016,Број,Западнохерцеговчки кантон,Вјерске школе,Оба пола,
2016,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2017,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,
2017,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,
2017,Број,Западнохерцеговчки кантон,Стручне школe,Оба пола,
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,
2017,Број,Западнохерцеговчки кантон,Вјерске школе,Оба пола,
2017,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,
2018,Број,Западнохерцеговчки кантон,Гимназија,Оба пола,
2018,Број,Западнохерцеговчки кантон,Техничке школе,Оба пола,
2018,Број,Западнохерцеговчки кантон,Стручне школe,Оба пола,
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,
2018,Број,Западнохерцеговчки кантон,Вјерске школе,Оба пола,
2018,Број,Западнохерцеговчки кантон,Средње школе за дјецу са посебним потребама,Оба пола,
