Year,UNIT_MEASURE,Административна јединица,Пол,Value
2016,Број,Федерација Босне и Херцеговине,Оба пола,
2016,Број,Федерација Босне и Херцеговине,M,
2016,Број,Федерација Босне и Херцеговине,Ж,
2017,Број,Федерација Босне и Херцеговине,Оба пола,
2017,Број,Федерација Босне и Херцеговине,M,
2017,Број,Федерација Босне и Херцеговине,Ж,
2018,Број,Федерација Босне и Херцеговине,Оба пола,
2018,Број,Федерација Босне и Херцеговине,M,
2018,Број,Федерација Босне и Херцеговине,Ж,
2019,Број,Федерација Босне и Херцеговине,Оба пола,
2019,Број,Федерација Босне и Херцеговине,M,
2019,Број,Федерација Босне и Херцеговине,Ж,
2020,Број,Федерација Босне и Херцеговине,Оба пола,
2020,Број,Федерација Босне и Херцеговине,M,
2020,Број,Федерација Босне и Херцеговине,Ж,
2016,Број,Унско-сански кантон,Оба пола,
2016,Број,Унско-сански кантон,M,
2016,Број,Унско-сански кантон,Ж,
2017,Број,Унско-сански кантон,Оба пола,
2017,Број,Унско-сански кантон,M,
2017,Број,Унско-сански кантон,Ж,
2018,Број,Унско-сански кантон,Оба пола,
2018,Број,Унско-сански кантон,M,
2018,Број,Унско-сански кантон,Ж,
2019,Број,Унско-сански кантон,Оба пола,
2019,Број,Унско-сански кантон,M,
2019,Број,Унско-сански кантон,Ж,
2020,Број,Унско-сански кантон,Оба пола,
2020,Број,Унско-сански кантон,M,
2020,Број,Унско-сански кантон,Ж,
2016,Број,ПОсавски кантон,Оба пола,
2016,Број,ПОсавски кантон,M,
2016,Број,ПОсавски кантон,Ж,
2017,Број,ПОсавски кантон,Оба пола,
2017,Број,ПОсавски кантон,M,
2017,Број,ПОсавски кантон,Ж,
2018,Број,ПОсавски кантон,Оба пола,
2018,Број,ПОсавски кантон,M,
2018,Број,ПОсавски кантон,Ж,
2019,Број,ПОсавски кантон,Оба пола,
2019,Број,ПОсавски кантон,M,
2019,Број,ПОсавски кантон,Ж,
2020,Број,ПОсавски кантон,Оба пола,
2020,Број,ПОсавски кантон,M,
2020,Број,ПОсавски кантон,Ж,
2016,Број,Тузлански кантон,Оба пола,
2016,Број,Тузлански кантон,M,
2016,Број,Тузлански кантон,Ж,
2017,Број,Тузлански кантон,Оба пола,
2017,Број,Тузлански кантон,M,
2017,Број,Тузлански кантон,Ж,
2018,Број,Тузлански кантон,Оба пола,
2018,Број,Тузлански кантон,M,
2018,Број,Тузлански кантон,Ж,
2019,Број,Тузлански кантон,Оба пола,
2019,Број,Тузлански кантон,M,
2019,Број,Тузлански кантон,Ж,
2020,Број,Тузлански кантон,Оба пола,
2020,Број,Тузлански кантон,M,
2020,Број,Тузлански кантон,Ж,
2016,Број,Зеничко-добојски кантон,Оба пола,
2016,Број,Зеничко-добојски кантон,M,
2016,Број,Зеничко-добојски кантон,Ж,
2017,Број,Зеничко-добојски кантон,Оба пола,
2017,Број,Зеничко-добојски кантон,M,
2017,Број,Зеничко-добојски кантон,Ж,
2018,Број,Зеничко-добојски кантон,Оба пола,
2018,Број,Зеничко-добојски кантон,M,
2018,Број,Зеничко-добојски кантон,Ж,
2019,Број,Зеничко-добојски кантон,Оба пола,
2019,Број,Зеничко-добојски кантон,M,
2019,Број,Зеничко-добојски кантон,Ж,
2020,Број,Зеничко-добојски кантон,Оба пола,
2020,Број,Зеничко-добојски кантон,M,
2020,Број,Зеничко-добојски кантон,Ж,
2016,Број,Босанско-подрињски кантон,Оба пола,
2016,Број,Босанско-подрињски кантон,M,
2016,Број,Босанско-подрињски кантон,Ж,
2017,Број,Босанско-подрињски кантон,Оба пола,
2017,Број,Босанско-подрињски кантон,M,
2017,Број,Босанско-подрињски кантон,Ж,
2018,Број,Босанско-подрињски кантон,Оба пола,
2018,Број,Босанско-подрињски кантон,M,
2018,Број,Босанско-подрињски кантон,Ж,
2019,Број,Босанско-подрињски кантон,Оба пола,
2019,Број,Босанско-подрињски кантон,M,
2019,Број,Босанско-подрињски кантон,Ж,
2020,Број,Босанско-подрињски кантон,Оба пола,
2020,Број,Босанско-подрињски кантон,M,
2020,Број,Босанско-подрињски кантон,Ж,
2016,Број,Средњобосански кантон,Оба пола,
2016,Број,Средњобосански кантон,M,
2016,Број,Средњобосански кантон,Ж,
2017,Број,Средњобосански кантон,Оба пола,
2017,Број,Средњобосански кантон,M,
2017,Број,Средњобосански кантон,Ж,
2018,Број,Средњобосански кантон,Оба пола,
2018,Број,Средњобосански кантон,M,
2018,Број,Средњобосански кантон,Ж,
2019,Број,Средњобосански кантон,Оба пола,
2019,Број,Средњобосански кантон,M,
2019,Број,Средњобосански кантон,Ж,
2020,Број,Средњобосански кантон,Оба пола,
2020,Број,Средњобосански кантон,M,
2020,Број,Средњобосански кантон,Ж,
2016,Број,Херцеговачко-неретвански кантон,Оба пола,
2016,Број,Херцеговачко-неретвански кантон,M,
2016,Број,Херцеговачко-неретвански кантон,Ж,
2017,Број,Херцеговачко-неретвански кантон,Оба пола,
2017,Број,Херцеговачко-неретвански кантон,M,
2017,Број,Херцеговачко-неретвански кантон,Ж,
2018,Број,Херцеговачко-неретвански кантон,Оба пола,
2018,Број,Херцеговачко-неретвански кантон,M,
2018,Број,Херцеговачко-неретвански кантон,Ж,
2019,Број,Херцеговачко-неретвански кантон,Оба пола,
2019,Број,Херцеговачко-неретвански кантон,M,
2019,Број,Херцеговачко-неретвански кантон,Ж,
2020,Број,Херцеговачко-неретвански кантон,Оба пола,
2020,Број,Херцеговачко-неретвански кантон,M,
2020,Број,Херцеговачко-неретвански кантон,Ж,
2016,Број,Западнохерцеговчки кантон,Оба пола,
2016,Број,Западнохерцеговчки кантон,M,
2016,Број,Западнохерцеговчки кантон,Ж,
2017,Број,Западнохерцеговчки кантон,Оба пола,
2017,Број,Западнохерцеговчки кантон,M,
2017,Број,Западнохерцеговчки кантон,Ж,
2018,Број,Западнохерцеговчки кантон,Оба пола,
2018,Број,Западнохерцеговчки кантон,M,
2018,Број,Западнохерцеговчки кантон,Ж,
2019,Број,Западнохерцеговчки кантон,Оба пола,
2019,Број,Западнохерцеговчки кантон,M,
2019,Број,Западнохерцеговчки кантон,Ж,
2020,Број,Западнохерцеговчки кантон,Оба пола,
2020,Број,Западнохерцеговчки кантон,M,
2020,Број,Западнохерцеговчки кантон,Ж,
2016,Број,Кантон Сарајево,Оба пола,
2016,Број,Кантон Сарајево,M,
2016,Број,Кантон Сарајево,Ж,
2017,Број,Кантон Сарајево,Оба пола,
2017,Број,Кантон Сарајево,M,
2017,Број,Кантон Сарајево,Ж,
2018,Број,Кантон Сарајево,Оба пола,
2018,Број,Кантон Сарајево,M,
2018,Број,Кантон Сарајево,Ж,
2019,Број,Кантон Сарајево,Оба пола,
2019,Број,Кантон Сарајево,M,
2019,Број,Кантон Сарајево,Ж,
2020,Број,Кантон Сарајево,Оба пола,
2020,Број,Кантон Сарајево,M,
2020,Број,Кантон Сарајево,Ж,
2016,Број,Кантон 10,Оба пола,
2016,Број,Кантон 10,M,
2016,Број,Кантон 10,Ж,
2017,Број,Кантон 10,Оба пола,
2017,Број,Кантон 10,M,
2017,Број,Кантон 10,Ж,
2018,Број,Кантон 10,Оба пола,
2018,Број,Кантон 10,M,
2018,Број,Кантон 10,Ж,
2019,Број,Кантон 10,Оба пола,
2019,Број,Кантон 10,M,
2019,Број,Кантон 10,Ж,
2020,Број,Кантон 10,Оба пола,
2020,Број,Кантон 10,M,
2020,Број,Кантон 10,Ж,
