Year,UNIT_MEASURE,Admin_Area,Врста образовања,Пол,Value
2016,Број,federation_of_bih,masters_of_science,Оба пола,
2016,Број,federation_of_bih,masters_of_science,M,
2016,Број,federation_of_bih,masters_of_science,Ж,
2017,Број,federation_of_bih,masters_of_science,Оба пола,
2017,Број,federation_of_bih,masters_of_science,M,
2017,Број,federation_of_bih,masters_of_science,Ж,
2018,Број,federation_of_bih,masters_of_science,Оба пола,
2018,Број,federation_of_bih,masters_of_science,M,
2018,Број,federation_of_bih,masters_of_science,Ж,
2019,Број,federation_of_bih,masters_of_science,Оба пола,
2019,Број,federation_of_bih,masters_of_science,M,
2019,Број,federation_of_bih,masters_of_science,Ж,
2020,Број,federation_of_bih,masters_of_science,Оба пола,
2020,Број,federation_of_bih,masters_of_science,M,
2020,Број,federation_of_bih,masters_of_science,Ж,
2016,Број,federation_of_bih,masters,Оба пола,
2016,Број,federation_of_bih,masters,M,
2016,Број,federation_of_bih,masters,Ж,
2017,Број,federation_of_bih,masters,Оба пола,
2017,Број,federation_of_bih,masters,M,
2017,Број,federation_of_bih,masters,Ж,
2018,Број,federation_of_bih,masters,Оба пола,
2018,Број,federation_of_bih,masters,M,
2018,Број,federation_of_bih,masters,Ж,
2019,Број,federation_of_bih,masters,Оба пола,
2019,Број,federation_of_bih,masters,M,
2019,Број,federation_of_bih,masters,Ж,
2020,Број,federation_of_bih,masters,Оба пола,
2020,Број,federation_of_bih,masters,M,
2020,Број,federation_of_bih,masters,Ж,
2016,Број,federation_of_bih,specialists,Оба пола,
2016,Број,federation_of_bih,specialists,M,
2016,Број,federation_of_bih,specialists,Ж,
2017,Број,federation_of_bih,specialists,Оба пола,
2017,Број,federation_of_bih,specialists,M,
2017,Број,federation_of_bih,specialists,Ж,
2018,Број,federation_of_bih,specialists,Оба пола,
2018,Број,federation_of_bih,specialists,M,
2018,Број,federation_of_bih,specialists,Ж,
2019,Број,federation_of_bih,specialists,Оба пола,
2019,Број,federation_of_bih,specialists,M,
2019,Број,federation_of_bih,specialists,Ж,
2020,Број,federation_of_bih,specialists,Оба пола,
2020,Број,federation_of_bih,specialists,M,
2020,Број,federation_of_bih,specialists,Ж,
2016,Број,tuzla_canton,masters_of_science,Оба пола,
2016,Број,tuzla_canton,masters_of_science,M,
2016,Број,tuzla_canton,masters_of_science,Ж,
2017,Број,tuzla_canton,masters_of_science,Оба пола,
2017,Број,tuzla_canton,masters_of_science,M,
2017,Број,tuzla_canton,masters_of_science,Ж,
2018,Број,tuzla_canton,masters_of_science,Оба пола,
2018,Број,tuzla_canton,masters_of_science,M,
2018,Број,tuzla_canton,masters_of_science,Ж,
2019,Број,tuzla_canton,masters_of_science,Оба пола,
2019,Број,tuzla_canton,masters_of_science,M,
2019,Број,tuzla_canton,masters_of_science,Ж,
2020,Број,tuzla_canton,masters_of_science,Оба пола,
2020,Број,tuzla_canton,masters_of_science,M,
2020,Број,tuzla_canton,masters_of_science,Ж,
2016,Број,tuzla_canton,masters,Оба пола,
2016,Број,tuzla_canton,masters,M,
2016,Број,tuzla_canton,masters,Ж,
2017,Број,tuzla_canton,masters,Оба пола,
2017,Број,tuzla_canton,masters,M,
2017,Број,tuzla_canton,masters,Ж,
2018,Број,tuzla_canton,masters,Оба пола,
2018,Број,tuzla_canton,masters,M,
2018,Број,tuzla_canton,masters,Ж,
2019,Број,tuzla_canton,masters,Оба пола,
2019,Број,tuzla_canton,masters,M,
2019,Број,tuzla_canton,masters,Ж,
2020,Број,tuzla_canton,masters,Оба пола,
2020,Број,tuzla_canton,masters,M,
2020,Број,tuzla_canton,masters,Ж,
2016,Број,tuzla_canton,specialists,Оба пола,
2016,Број,tuzla_canton,specialists,M,
2016,Број,tuzla_canton,specialists,Ж,
2017,Број,tuzla_canton,specialists,Оба пола,
2017,Број,tuzla_canton,specialists,M,
2017,Број,tuzla_canton,specialists,Ж,
2018,Број,tuzla_canton,specialists,Оба пола,
2018,Број,tuzla_canton,specialists,M,
2018,Број,tuzla_canton,specialists,Ж,
2019,Број,tuzla_canton,specialists,Оба пола,
2019,Број,tuzla_canton,specialists,M,
2019,Број,tuzla_canton,specialists,Ж,
2020,Број,tuzla_canton,specialists,Оба пола,
2020,Број,tuzla_canton,specialists,M,
2020,Број,tuzla_canton,specialists,Ж,
2016,Број,una-sana_canton,masters_of_science,Оба пола,
2016,Број,una-sana_canton,masters_of_science,M,
2016,Број,una-sana_canton,masters_of_science,Ж,
2017,Број,una-sana_canton,masters_of_science,Оба пола,
2017,Број,una-sana_canton,masters_of_science,M,
2017,Број,una-sana_canton,masters_of_science,Ж,
2018,Број,una-sana_canton,masters_of_science,Оба пола,
2018,Број,una-sana_canton,masters_of_science,M,
2018,Број,una-sana_canton,masters_of_science,Ж,
2019,Број,una-sana_canton,masters_of_science,Оба пола,
2019,Број,una-sana_canton,masters_of_science,M,
2019,Број,una-sana_canton,masters_of_science,Ж,
2020,Број,una-sana_canton,masters_of_science,Оба пола,
2020,Број,una-sana_canton,masters_of_science,M,
2020,Број,una-sana_canton,masters_of_science,Ж,
2016,Број,una-sana_canton,masters,Оба пола,
2016,Број,una-sana_canton,masters,M,
2016,Број,una-sana_canton,masters,Ж,
2017,Број,una-sana_canton,masters,Оба пола,
2017,Број,una-sana_canton,masters,M,
2017,Број,una-sana_canton,masters,Ж,
2018,Број,una-sana_canton,masters,Оба пола,
2018,Број,una-sana_canton,masters,M,
2018,Број,una-sana_canton,masters,Ж,
2019,Број,una-sana_canton,masters,Оба пола,
2019,Број,una-sana_canton,masters,M,
2019,Број,una-sana_canton,masters,Ж,
2020,Број,una-sana_canton,masters,Оба пола,
2020,Број,una-sana_canton,masters,M,
2020,Број,una-sana_canton,masters,Ж,
2016,Број,una-sana_canton,specialists,Оба пола,
2016,Број,una-sana_canton,specialists,M,
2016,Број,una-sana_canton,specialists,Ж,
2017,Број,una-sana_canton,specialists,Оба пола,
2017,Број,una-sana_canton,specialists,M,
2017,Број,una-sana_canton,specialists,Ж,
2018,Број,una-sana_canton,specialists,Оба пола,
2018,Број,una-sana_canton,specialists,M,
2018,Број,una-sana_canton,specialists,Ж,
2019,Број,una-sana_canton,specialists,Оба пола,
2019,Број,una-sana_canton,specialists,M,
2019,Број,una-sana_canton,specialists,Ж,
2020,Број,una-sana_canton,specialists,Оба пола,
2020,Број,una-sana_canton,specialists,M,
2020,Број,una-sana_canton,specialists,Ж,
2016,Број,zenica-doboj_canton,masters_of_science,Оба пола,
2016,Број,zenica-doboj_canton,masters_of_science,M,
