Year,UNIT_MEASURE,Admin_Area,scientific_field,Value
2010,Број,federation_of_bih,education,
2010,Број,federation_of_bih,arts_and_humanities,
2010,Број,federation_of_bih,"social_sciences,_journalism_and_information",
2010,Број,federation_of_bih,"business,_administration_and_law",
2010,Број,federation_of_bih,"natural_sciences,_mathematics_and_statistics",
2010,Број,federation_of_bih,information_and_communication_technologies,
2010,Број,federation_of_bih,"engineering,_production_and_construction",
2010,Број,federation_of_bih,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,federation_of_bih,health_and_social_protection,
2010,Број,federation_of_bih,services,
2010,Број,una-sana_canton,education,
2010,Број,una-sana_canton,arts_and_humanities,
2010,Број,una-sana_canton,"social_sciences,_journalism_and_information",
2010,Број,una-sana_canton,"business,_administration_and_law",
2010,Број,una-sana_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,una-sana_canton,information_and_communication_technologies,
2010,Број,una-sana_canton,"engineering,_production_and_construction",
2010,Број,una-sana_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,una-sana_canton,health_and_social_protection,
2010,Број,una-sana_canton,services,
2010,Број,tuzla_canton,education,
2010,Број,tuzla_canton,arts_and_humanities,
2010,Број,tuzla_canton,"social_sciences,_journalism_and_information",
2010,Број,tuzla_canton,"business,_administration_and_law",
2010,Број,tuzla_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,tuzla_canton,information_and_communication_technologies,
2010,Број,tuzla_canton,"engineering,_production_and_construction",
2010,Број,tuzla_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,tuzla_canton,health_and_social_protection,
2010,Број,tuzla_canton,services,
2010,Број,zenica-doboj_canton,education,
2010,Број,zenica-doboj_canton,arts_and_humanities,
2010,Број,zenica-doboj_canton,"social_sciences,_journalism_and_information",
2010,Број,zenica-doboj_canton,"business,_administration_and_law",
2010,Број,zenica-doboj_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,zenica-doboj_canton,information_and_communication_technologies,
2010,Број,zenica-doboj_canton,"engineering,_production_and_construction",
2010,Број,zenica-doboj_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,zenica-doboj_canton,health_and_social_protection,
2010,Број,zenica-doboj_canton,services,
2010,Број,bosnian-podrinje_canton,education,
2010,Број,bosnian-podrinje_canton,arts_and_humanities,
2010,Број,bosnian-podrinje_canton,"social_sciences,_journalism_and_information",
2010,Број,bosnian-podrinje_canton,"business,_administration_and_law",
2010,Број,bosnian-podrinje_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,bosnian-podrinje_canton,information_and_communication_technologies,
2010,Број,bosnian-podrinje_canton,"engineering,_production_and_construction",
2010,Број,bosnian-podrinje_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,bosnian-podrinje_canton,health_and_social_protection,
2010,Број,bosnian-podrinje_canton,services,
2010,Број,central_bosnia_canton,education,
2010,Број,central_bosnia_canton,arts_and_humanities,
2010,Број,central_bosnia_canton,"social_sciences,_journalism_and_information",
2010,Број,central_bosnia_canton,"business,_administration_and_law",
2010,Број,central_bosnia_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,central_bosnia_canton,information_and_communication_technologies,
2010,Број,central_bosnia_canton,"engineering,_production_and_construction",
2010,Број,central_bosnia_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,central_bosnia_canton,health_and_social_protection,
2010,Број,central_bosnia_canton,services,
2010,Број,herzegovina-neretva_canton,education,
2010,Број,herzegovina-neretva_canton,arts_and_humanities,
2010,Број,herzegovina-neretva_canton,"social_sciences,_journalism_and_information",
2010,Број,herzegovina-neretva_canton,"business,_administration_and_law",
2010,Број,herzegovina-neretva_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,herzegovina-neretva_canton,information_and_communication_technologies,
2010,Број,herzegovina-neretva_canton,"engineering,_production_and_construction",
2010,Број,herzegovina-neretva_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,herzegovina-neretva_canton,health_and_social_protection,
2010,Број,herzegovina-neretva_canton,services,
2010,Број,sarajevo_canton,education,
2010,Број,sarajevo_canton,arts_and_humanities,
2010,Број,sarajevo_canton,"social_sciences,_journalism_and_information",
2010,Број,sarajevo_canton,"business,_administration_and_law",
2010,Број,sarajevo_canton,"natural_sciences,_mathematics_and_statistics",
2010,Број,sarajevo_canton,information_and_communication_technologies,
2010,Број,sarajevo_canton,"engineering,_production_and_construction",
2010,Број,sarajevo_canton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,sarajevo_canton,health_and_social_protection,
2010,Број,sarajevo_canton,services,
2011,Број,federation_of_bih,education,
