Year,UNIT_MEASURE,Value
2005,БАМ,11506.25
2006,БАМ,13036.63
2007,БАМ,14629.12
2008,БАМ,16426.24
2009,БАМ,15986.73
2010,БАМ,16460.55
2011,БАМ,16927.41
2012,БАМ,17012.8
2013,БАМ,17378.78
2014,БАМ,17827.46
2015,БАМ,18688.3
2016,БАМ,19540.12
2017,БАМ,20539.7
2018,БАМ,21983.51
2019,БАМ,23179.13
2020,БАМ,22255.01
2021,БАМ,25229.77
2022,БАМ,29462.75
2005,ЕУР,5883.14
2006,ЕУР,6665.63
2007,ЕУР,7479.87
2008,ЕУР,8398.73
2009,ЕУР,8174.01
2010,ЕУР,8416.28
2011,ЕУР,8654.98
2012,ЕУР,8698.64
2013,ЕУР,8885.77
2014,ЕУР,9115.17
2015,ЕУР,9555.32
2016,ЕУР,9990.86
2017,ЕУР,10501.94
2018,ЕУР,11240.16
2019,ЕУР,11851.48
2020,ЕУР,11378.98
2021,ЕУР,12899.97
2022,ЕУР,15064.3
2005,УСД,7315.78
2006,УСД,8360.03
2007,УСД,10233.73
2008,УСД,12289.57
2009,УСД,11363.9
2010,УСД,11145.34
2011,УСД,12038.55
2012,УСД,11172.78
2013,УСД,11793.42
2014,УСД,12094.61
2015,УСД,10602.69
2016,УСД,11052.1
2017,УСД,11835.03
2018,УСД,13263.05
2019,УСД,13266.44
2020,УСД,12964.59
2021,УСД,15254.71
2022,УСД,15780.54
