Year,UNIT_MEASURE,Квартал,Пол,Старосна доб,Value
2021,%,I квартал,Оба пола,15 - 89,36.6
2021,%,I квартал,Оба пола,15 - 24,18.2
2021,%,I квартал,Оба пола,25 - 49,59.9
2021,%,I квартал,Оба пола,50 - 64,34.4
2021,%,I квартал,Оба пола,15 - 64,44.5
2021,%,I квартал,Оба пола,20 - 64,48.1
2021,%,I квартал,Оба пола,25 - 34,58.3
2021,%,I квартал,Оба пола,15 - 74,39.1
2021,%,I квартал,M,15 - 89,50.0
2021,%,I квартал,M,15 - 24,25.0
2021,%,I квартал,M,25 - 49,77.2
2021,%,I квартал,M,50 - 64,49.1
2021,%,I квартал,M,15 - 64,59.2
2021,%,I квартал,M,20 - 64,64.1
2021,%,I квартал,M,25 - 34,75.5
2021,%,I квартал,M,15 - 74,52.8
2021,%,I квартал,Ж,15 - 89,23.8
2021,%,I квартал,Ж,15 - 24,11.2
2021,%,I квартал,Ж,25 - 49,42.2
2021,%,I квартал,Ж,50 - 64,20.6
2021,%,I квартал,Ж,15 - 64,29.8
2021,%,I квартал,Ж,20 - 64,32.2
2021,%,I квартал,Ж,25 - 34,40.3
2021,%,I квартал,Ж,15 - 74,25.8
2021,%,II квартал,Оба пола,15 - 89,37.5
2021,%,II квартал,Оба пола,15 - 24,18.4
2021,%,II квартал,Оба пола,25 - 49,61.2
2021,%,II квартал,Оба пола,50 - 64,35.7
2021,%,II квартал,Оба пола,15 - 64,45.6
2021,%,II квартал,Оба пола,20 - 64,49.3
2021,%,II квартал,Оба пола,25 - 34,58.5
2021,%,II квартал,Оба пола,15 - 74,40.1
2021,%,II квартал,M,15 - 89,50.4
2021,%,II квартал,M,15 - 24,24.7
2021,%,II квартал,M,25 - 49,77.9
2021,%,II квартал,M,50 - 64,49.5
2021,%,II квартал,M,15 - 64,59.6
2021,%,II квартал,M,20 - 64,64.6
2021,%,II квартал,M,25 - 34,73.8
2021,%,II квартал,M,15 - 74,53.2
2021,%,II квартал,Ж,15 - 89,25.2
2021,%,II квартал,Ж,15 - 24,11.7
2021,%,II квартал,Ж,25 - 49,44.1
2021,%,II квартал,Ж,50 - 64,22.6
2021,%,II квартал,Ж,15 - 64,31.5
2021,%,II квартал,Ж,20 - 64,34.1
2021,%,II квартал,Ж,25 - 34,42.5
2021,%,II квартал,Ж,15 - 74,27.3
2021,%,III квартал,Оба пола,15 - 89,38.3
2021,%,III квартал,Оба пола,15 - 24,19.1
2021,%,III квартал,Оба пола,25 - 49,61.9
2021,%,III квартал,Оба пола,50 - 64,37.5
2021,%,III квартал,Оба пола,15 - 64,46.7
2021,%,III квартал,Оба пола,20 - 64,50.4
2021,%,III квартал,Оба пола,25 - 34,60.3
2021,%,III квартал,Оба пола,15 - 74,41.0
2021,%,III квартал,M,15 - 89,51.8
2021,%,III квартал,M,15 - 24,25.7
2021,%,III квартал,M,25 - 49,79.0
2021,%,III квартал,M,50 - 64,52.7
2021,%,III квартал,M,15 - 64,61.3
2021,%,III квартал,M,20 - 64,66.4
2021,%,III квартал,M,25 - 34,75.4
2021,%,III квартал,M,15 - 74,54.6
2021,%,III квартал,Ж,15 - 89,25.6
