Year,UNIT_MEASURE,Пол,Admin Area,Витална статистика,Value
2011,Број,Оба пола,federation_of_bih,Живорођени,2116100.0
2011,Број,Оба пола,una-sana_canton,Живорођени,2496.0
2011,Број,Оба пола,posavina_canton,Живорођени,228.0
2011,Број,Оба пола,tuzla_canton,Живорођени,4417.0
2011,Број,Оба пола,zenica-doboj_canton,Живорођени,3760.0
2011,Број,Оба пола,bosnian-podrinje_canton,Живорођени,200.0
2011,Број,Оба пола,central_bosnia_canton,Живорођени,2300.0
2011,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1817.0
2011,Број,Оба пола,west_herzegovina_canton,Живорођени,772.0
2011,Број,Оба пола,sarajevo_canton,Живорођени,4722.0
2011,Број,Оба пола,canton_10,Живорођени,458.0
2011,Број,M,federation_of_bih,Живорођени,10981.0
2011,Број,M,una-sana_canton,Живорођени,1312.0
2011,Број,M,posavina_canton,Живорођени,112.0
2011,Број,M,tuzla_canton,Живорођени,2305.0
2011,Број,M,zenica-doboj_canton,Живорођени,1945.0
2011,Број,M,bosnian-podrinje_canton,Живорођени,99.0
2011,Број,M,central_bosnia_canton,Живорођени,1219.0
2011,Број,M,herzegovina-neretva_canton,Живорођени,946.0
2011,Број,M,west_herzegovina_canton,Живорођени,401.0
2011,Број,M,sarajevo_canton,Живорођени,2411.0
2011,Број,M,canton_10,Живорођени,231.0
2011,Број,Ж,federation_of_bih,Живорођени,10180.0
2011,Број,Ж,una-sana_canton,Живорођени,1184.0
2011,Број,Ж,posavina_canton,Живорођени,116.0
2011,Број,Ж,tuzla_canton,Живорођени,2112.0
2011,Број,Ж,zenica-doboj_canton,Живорођени,1815.0
2011,Број,Ж,bosnian-podrinje_canton,Живорођени,92.0
2011,Број,Ж,central_bosnia_canton,Живорођени,1081.0
2011,Број,Ж,herzegovina-neretva_canton,Живорођени,871.0
2011,Број,Ж,west_herzegovina_canton,Живорођени,371.0
2011,Број,Ж,sarajevo_canton,Живорођени,2311.0
2011,Број,Ж,canton_10,Живорођени,227.0
2012,Број,Оба пола,federation_of_bih,Живорођени,21389.0
2012,Број,Оба пола,una-sana_canton,Живорођени,2351.0
2012,Број,Оба пола,posavina_canton,Живорођени,220.0
2012,Број,Оба пола,tuzla_canton,Живорођени,4587.0
2012,Број,Оба пола,zenica-doboj_canton,Живорођени,3807.0
2012,Број,Оба пола,bosnian-podrinje_canton,Живорођени,216.0
2012,Број,Оба пола,central_bosnia_canton,Живорођени,2361.0
2012,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1901.0
2012,Број,Оба пола,west_herzegovina_canton,Живорођени,798.0
2012,Број,Оба пола,sarajevo_canton,Живорођени,4682.0
2012,Број,Оба пола,canton_10,Живорођени,466.0
2012,Број,M,federation_of_bih,Живорођени,11110.0
2012,Број,M,una-sana_canton,Живорођени,1227.0
2012,Број,M,posavina_canton,Живорођени,125.0
2012,Број,M,tuzla_canton,Живорођени,2351.0
2012,Број,M,zenica-doboj_canton,Живорођени,1995.0
2012,Број,M,bosnian-podrinje_canton,Живорођени,121.0
2012,Број,M,central_bosnia_canton,Живорођени,1207.0
2012,Број,M,herzegovina-neretva_canton,Живорођени,985.0
2012,Број,M,west_herzegovina_canton,Живорођени,397.0
2012,Број,M,sarajevo_canton,Живорођени,2465.0
2012,Број,M,canton_10,Живорођени,237.0
2012,Број,Ж,federation_of_bih,Живорођени,10279.0
2012,Број,Ж,una-sana_canton,Живорођени,1124.0
2012,Број,Ж,posavina_canton,Живорођени,95.0
2012,Број,Ж,tuzla_canton,Живорођени,2236.0
2012,Број,Ж,zenica-doboj_canton,Живорођени,1812.0
2012,Број,Ж,bosnian-podrinje_canton,Живорођени,95.0
2012,Број,Ж,central_bosnia_canton,Живорођени,1154.0
2012,Број,Ж,herzegovina-neretva_canton,Живорођени,916.0
2012,Број,Ж,west_herzegovina_canton,Живорођени,401.0
2012,Број,Ж,sarajevo_canton,Живорођени,2217.0
2012,Број,Ж,canton_10,Живорођени,229.0
2013,Број,Оба пола,federation_of_bih,Живорођени,20083.0
2013,Број,Оба пола,una-sana_canton,Живорођени,2174.0
2013,Број,Оба пола,posavina_canton,Живорођени,167.0
2013,Број,Оба пола,tuzla_canton,Живорођени,4323.0
2013,Број,Оба пола,zenica-doboj_canton,Живорођени,3416.0
2013,Број,Оба пола,bosnian-podrinje_canton,Живорођени,236.0
2013,Број,Оба пола,central_bosnia_canton,Живорођени,2184.0
2013,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1831.0
2013,Број,Оба пола,west_herzegovina_canton,Живорођени,773.0
2013,Број,Оба пола,sarajevo_canton,Живорођени,4550.0
2013,Број,Оба пола,canton_10,Живорођени,429.0
2013,Број,M,federation_of_bih,Живорођени,10358.0
2013,Број,M,una-sana_canton,Живорођени,1108.0
2013,Број,M,posavina_canton,Живорођени,85.0
2013,Број,M,tuzla_canton,Живорођени,2243.0
2013,Број,M,zenica-doboj_canton,Живорођени,1799.0
2013,Број,M,bosnian-podrinje_canton,Живорођени,132.0
2013,Број,M,central_bosnia_canton,Живорођени,1126.0
2013,Број,M,herzegovina-neretva_canton,Живорођени,939.0
2013,Број,M,west_herzegovina_canton,Живорођени,399.0
2013,Број,M,sarajevo_canton,Живорођени,2305.0
2013,Број,M,canton_10,Живорођени,222.0
2013,Број,Ж,federation_of_bih,Живорођени,9725.0
2013,Број,Ж,una-sana_canton,Живорођени,1066.0
2013,Број,Ж,posavina_canton,Живорођени,82.0
2013,Број,Ж,tuzla_canton,Живорођени,2080.0
2013,Број,Ж,zenica-doboj_canton,Живорођени,1617.0
2013,Број,Ж,bosnian-podrinje_canton,Живорођени,104.0
2013,Број,Ж,central_bosnia_canton,Живорођени,1058.0
2013,Број,Ж,herzegovina-neretva_canton,Живорођени,892.0
2013,Број,Ж,west_herzegovina_canton,Живорођени,374.0
2013,Број,Ж,sarajevo_canton,Живорођени,2245.0
2013,Број,Ж,canton_10,Живорођени,207.0
2014,Број,Оба пола,federation_of_bih,Живорођени,19823.0
2014,Број,Оба пола,una-sana_canton,Живорођени,2154.0
2014,Број,Оба пола,posavina_canton,Живорођени,212.0
2014,Број,Оба пола,tuzla_canton,Живорођени,4069.0
2014,Број,Оба пола,zenica-doboj_canton,Живорођени,3391.0
2014,Број,Оба пола,bosnian-podrinje_canton,Живорођени,268.0
2014,Број,Оба пола,central_bosnia_canton,Живорођени,2090.0
2014,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1824.0
2014,Број,Оба пола,west_herzegovina_canton,Живорођени,816.0
2014,Број,Оба пола,sarajevo_canton,Живорођени,4566.0
2014,Број,Оба пола,canton_10,Живорођени,433.0
2014,Број,M,federation_of_bih,Живорођени,10156.0
2014,Број,M,una-sana_canton,Живорођени,1112.0
2014,Број,M,posavina_canton,Живорођени,107.0
2014,Број,M,tuzla_canton,Живорођени,2091.0
2014,Број,M,zenica-doboj_canton,Живорођени,1724.0
2014,Број,M,bosnian-podrinje_canton,Живорођени,134.0
2014,Број,M,central_bosnia_canton,Живорођени,1088.0
2014,Број,M,herzegovina-neretva_canton,Живорођени,921.0
2014,Број,M,west_herzegovina_canton,Живорођени,403.0
2014,Број,M,sarajevo_canton,Живорођени,2355.0
2014,Број,M,canton_10,Живорођени,221.0
2014,Број,Ж,federation_of_bih,Живорођени,9667.0
2014,Број,Ж,una-sana_canton,Живорођени,1042.0
2014,Број,Ж,posavina_canton,Живорођени,105.0
2014,Број,Ж,tuzla_canton,Живорођени,1978.0
2014,Број,Ж,zenica-doboj_canton,Живорођени,1667.0
2014,Број,Ж,bosnian-podrinje_canton,Живорођени,134.0
2014,Број,Ж,central_bosnia_canton,Живорођени,1002.0
2014,Број,Ж,herzegovina-neretva_canton,Живорођени,903.0
2014,Број,Ж,west_herzegovina_canton,Живорођени,413.0
2014,Број,Ж,sarajevo_canton,Живорођени,2211.0
2014,Број,Ж,canton_10,Живорођени,212.0
2015,Број,Оба пола,federation_of_bih,Живорођени,19317.0
2015,Број,Оба пола,una-sana_canton,Живорођени,2096.0
2015,Број,Оба пола,posavina_canton,Живорођени,193.0
2015,Број,Оба пола,tuzla_canton,Живорођени,3888.0
2015,Број,Оба пола,zenica-doboj_canton,Живорођени,3438.0
2015,Број,Оба пола,bosnian-podrinje_canton,Живорођени,214.0
2015,Број,Оба пола,central_bosnia_canton,Живорођени,1965.0
2015,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1762.0
2015,Број,Оба пола,west_herzegovina_canton,Живорођени,734.0
2015,Број,Оба пола,sarajevo_canton,Живорођени,4619.0
2015,Број,Оба пола,canton_10,Живорођени,408.0
2015,Број,M,federation_of_bih,Живорођени,9868.0
2015,Број,M,una-sana_canton,Живорођени,1098.0
2015,Број,M,posavina_canton,Живорођени,108.0
2015,Број,M,tuzla_canton,Живорођени,1919.0
2015,Број,M,zenica-doboj_canton,Живорођени,1782.0
2015,Број,M,bosnian-podrinje_canton,Живорођени,114.0
2015,Број,M,central_bosnia_canton,Живорођени,1047.0
2015,Број,M,herzegovina-neretva_canton,Живорођени,913.0
2015,Број,M,west_herzegovina_canton,Живорођени,390.0
2015,Број,M,sarajevo_canton,Живорођени,2304.0
2015,Број,M,canton_10,Живорођени,193.0
2015,Број,Ж,federation_of_bih,Живорођени,9449.0
2015,Број,Ж,una-sana_canton,Живорођени,998.0
2015,Број,Ж,posavina_canton,Живорођени,85.0
2015,Број,Ж,tuzla_canton,Живорођени,1969.0
2015,Број,Ж,zenica-doboj_canton,Живорођени,1656.0
2015,Број,Ж,bosnian-podrinje_canton,Живорођени,100.0
2015,Број,Ж,central_bosnia_canton,Живорођени,918.0
2015,Број,Ж,herzegovina-neretva_canton,Живорођени,849.0
2015,Број,Ж,west_herzegovina_canton,Живорођени,344.0
2015,Број,Ж,sarajevo_canton,Живорођени,2315.0
2015,Број,Ж,canton_10,Живорођени,215.0
2016,Број,Оба пола,federation_of_bih,Живорођени,19655.0
2016,Број,Оба пола,una-sana_canton,Живорођени,2105.0
2016,Број,Оба пола,posavina_canton,Живорођени,144.0
2016,Број,Оба пола,tuzla_canton,Живорођени,3903.0
2016,Број,Оба пола,zenica-doboj_canton,Живорођени,3452.0
2016,Број,Оба пола,bosnian-podrinje_canton,Живорођени,234.0
2016,Број,Оба пола,central_bosnia_canton,Живорођени,2135.0
2016,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1833.0
2016,Број,Оба пола,west_herzegovina_canton,Живорођени,709.0
2016,Број,Оба пола,sarajevo_canton,Живорођени,4774.0
2016,Број,Оба пола,canton_10,Живорођени,366.0
2016,Број,M,federation_of_bih,Живорођени,10214.0
2016,Број,M,una-sana_canton,Живорођени,1090.0
2016,Број,M,posavina_canton,Живорођени,75.0
2016,Број,M,tuzla_canton,Живорођени,1995.0
2016,Број,M,zenica-doboj_canton,Живорођени,1816.0
2016,Број,M,bosnian-podrinje_canton,Живорођени,131.0
2016,Број,M,central_bosnia_canton,Живорођени,1106.0
2016,Број,M,herzegovina-neretva_canton,Живорођени,915.0
2016,Број,M,west_herzegovina_canton,Живорођени,371.0
2016,Број,M,sarajevo_canton,Живорођени,2516.0
2016,Број,M,canton_10,Живорођени,199.0
2016,Број,Ж,federation_of_bih,Живорођени,9441.0
2016,Број,Ж,una-sana_canton,Живорођени,1015.0
2016,Број,Ж,posavina_canton,Живорођени,69.0
2016,Број,Ж,tuzla_canton,Живорођени,1908.0
2016,Број,Ж,zenica-doboj_canton,Живорођени,1636.0
2016,Број,Ж,bosnian-podrinje_canton,Живорођени,103.0
2016,Број,Ж,central_bosnia_canton,Живорођени,1029.0
2016,Број,Ж,herzegovina-neretva_canton,Живорођени,918.0
2016,Број,Ж,west_herzegovina_canton,Живорођени,338.0
2016,Број,Ж,sarajevo_canton,Живорођени,2258.0
2016,Број,Ж,canton_10,Живорођени,167.0
2017,Број,Оба пола,federation_of_bih,Живорођени,19824.0
2017,Број,Оба пола,una-sana_canton,Живорођени,2057.0
2017,Број,Оба пола,posavina_canton,Живорођени,154.0
2017,Број,Оба пола,tuzla_canton,Живорођени,3966.0
2017,Број,Оба пола,zenica-doboj_canton,Живорођени,3585.0
2017,Број,Оба пола,bosnian-podrinje_canton,Живорођени,241.0
2017,Број,Оба пола,central_bosnia_canton,Живорођени,2167.0
2017,Број,Оба пола,herzegovina-neretva_canton,Живорођени,1712.0
2017,Број,Оба пола,west_herzegovina_canton,Живорођени,709.0
2017,Број,Оба пола,sarajevo_canton,Живорођени,4856.0
2017,Број,Оба пола,canton_10,Живорођени,377.0
2017,Број,M,federation_of_bih,Живорођени,10247.0
2017,Број,M,una-sana_canton,Живорођени,1051.0
2017,Број,M,posavina_canton,Живорођени,75.0
2017,Број,M,tuzla_canton,Живорођени,2036.0
2017,Број,M,zenica-doboj_canton,Живорођени,1827.0
2017,Број,M,bosnian-podrinje_canton,Живорођени,133.0
2017,Број,M,central_bosnia_canton,Живорођени,1189.0
2017,Број,M,herzegovina-neretva_canton,Живорођени,919.0
2017,Број,M,west_herzegovina_canton,Живорођени,364.0
2017,Број,M,sarajevo_canton,Живорођени,2459.0
2017,Број,M,canton_10,Живорођени,194.0
