Year,UNIT_MEASURE,Старосна доб,Value
1996,‰,Испод 15,0.0
1997,‰,Испод 15,0.0
1998,‰,Испод 15,0.0
1999,‰,Испод 15,0.0
2000,‰,Испод 15,0.0
2001,‰,Испод 15,0.1
2002,‰,Испод 15,0.0
2003,‰,Испод 15,0.0
2004,‰,Испод 15,0.0
2005,‰,Испод 15,0.0
2006,‰,Испод 15,0.0
2007,‰,Испод 15,0.0
2008,‰,Испод 15,0.0
2009,‰,Испод 15,0.0
2010,‰,Испод 15,0.0
2011,‰,Испод 15,0.0
2012,‰,Испод 15,0.0
2013,‰,Испод 15,0.1
2014,‰,Испод 15,0.1
2015,‰,Испод 15,0.1
2016,‰,Испод 15,0.1
2017,‰,Испод 15,0.1
2018,‰,Испод 15,0.1
2019,‰,Испод 15,0.0
2020,‰,Испод 15,0.0
2021,‰,Испод 15,0.0
2022,‰,Испод 15,0.0
2023,‰,Испод 15,0.0
1996,‰,15-19,36.4
1997,‰,15-19,38.6
1998,‰,15-19,29.5
1999,‰,15-19,25.2
2000,‰,15-19,21.9
2001,‰,15-19,20.4
2002,‰,15-19,19.0
2003,‰,15-19,17.7
2004,‰,15-19,17.2
2005,‰,15-19,16.0
2006,‰,15-19,17.4
2007,‰,15-19,17.2
2008,‰,15-19,20.1
2009,‰,15-19,19.6
2010,‰,15-19,17.6
2011,‰,15-19,15.3
2012,‰,15-19,13.7
2013,‰,15-19,12.1
2014,‰,15-19,11.9
2015,‰,15-19,12.7
2016,‰,15-19,12.9
2017,‰,15-19,11.4
2018,‰,15-19,10.5
2019,‰,15-19,9.9
2020,‰,15-19,9.2
2021,‰,15-19,9.1
2022,‰,15-19,8.2
2023,‰,15-19,6.6
1996,‰,20-24,119.0
1997,‰,20-24,134.5
1998,‰,20-24,125.4
1999,‰,20-24,111.7
2000,‰,20-24,101.7
2001,‰,20-24,96.9
2002,‰,20-24,92.2
2003,‰,20-24,88.4
2004,‰,20-24,82.9
2005,‰,20-24,80.0
2006,‰,20-24,77.4
2007,‰,20-24,76.1
2008,‰,20-24,77.5
2009,‰,20-24,76.0
2010,‰,20-24,70.6
2011,‰,20-24,65.7
2012,‰,20-24,64.4
2013,‰,20-24,60.6
2014,‰,20-24,58.6
2015,‰,20-24,54.0
2016,‰,20-24,55.7
2017,‰,20-24,53.1
2018,‰,20-24,50.3
2019,‰,20-24,49.8
2020,‰,20-24,47.9
2021,‰,20-24,46.8
2022,‰,20-24,45.2
2023,‰,20-24,43.6
1996,‰,25-29,124.4
1997,‰,25-29,115.8
1998,‰,25-29,111.6
1999,‰,25-29,104.2
2000,‰,25-29,97.7
2001,‰,25-29,93.5
