Year,UNIT_MEASURE,Value
1996,Старосна доб,23.6
1997,Старосна доб,23.5
1998,Старосна доб,23.9
1999,Старосна доб,24.2
2000,Старосна доб,24.2
2001,Старосна доб,24.2
2002,Старосна доб,24.2
2003,Старосна доб,24.3
2004,Старосна доб,24.5
2005,Старосна доб,24.5
2006,Старосна доб,24.6
2007,Старосна доб,24.8
2008,Старосна доб,24.9
2009,Старосна доб,25.1
2010,Старосна доб,25.4
2011,Старосна доб,25.6
2012,Старосна доб,25.7
2013,Старосна доб,26.1
2014,Старосна доб,26.2
2015,Старосна доб,26.4
2016,Старосна доб,26.3
2017,Старосна доб,26.7
2018,Старосна доб,26.7
2019,Старосна доб,26.8
2020,Старосна доб,26.9
2021,Старосна доб,27.1
2022,Старосна доб,27.2
