Year,UNIT_MEASURE,Пол,Value
1996,Старосна доб,M,60.7
1997,Старосна доб,M,61.6
1998,Старосна доб,M,61.3
1999,Старосна доб,M,63.2
2000,Старосна доб,M,64.1
2001,Старосна доб,M,64.5
2002,Старосна доб,M,64.4
2003,Старосна доб,M,65.5
2004,Старосна доб,M,66.0
2005,Старосна доб,M,66.4
2006,Старосна доб,M,66.5
2007,Старосна доб,M,66.8
2008,Старосна доб,M,66.7
2009,Старосна доб,M,67.5
2010,Старосна доб,M,67.7
2011,Старосна доб,M,68.2
2012,Старосна доб,M,68.9
2013,Старосна доб,M,69.0
2014,Старосна доб,M,69.4
2015,Старосна доб,M,69.6
2016,Старосна доб,M,69.7
2017,Старосна доб,M,70.1
2018,Старосна доб,M,70.5
2019,Старосна доб,M,70.5
2020,Старосна доб,M,71.0
2021,Старосна доб,M,71.2
2022,Старосна доб,M,71.4
2023,Старосна доб,M,70.8
1996,Старосна доб,Ж,66.2
1997,Старосна доб,Ж,67.5
1998,Старосна доб,Ж,66.8
1999,Старосна доб,Ж,68.5
2000,Старосна доб,Ж,69.3
2001,Старосна доб,Ж,69.9
2002,Старосна доб,Ж,70.3
2003,Старосна доб,Ж,71.1
2004,Старосна доб,Ж,71.3
2005,Старосна доб,Ж,72.0
2006,Старосна доб,Ж,71.7
2007,Старосна доб,Ж,72.0
2008,Старосна доб,Ж,72.5
2009,Старосна доб,Ж,73.0
2010,Старосна доб,Ж,73.3
2011,Старосна доб,Ж,73.7
2012,Старосна доб,Ж,74.1
2013,Старосна доб,Ж,74.3
2014,Старосна доб,Ж,74.7
2015,Старосна доб,Ж,75.0
2016,Старосна доб,Ж,74.9
2017,Старосна доб,Ж,75.0
2018,Старосна доб,Ж,75.5
2019,Старосна доб,Ж,75.6
2020,Старосна доб,Ж,75.9
2021,Старосна доб,Ж,75.8
2022,Старосна доб,Ж,76.0
2023,Старосна доб,Ж,76.4
