Year,UNIT_MEASURE,Пол,Рађање,Value
2020,Број,Оба пола,Живорођени,19253
2025,Број,Оба пола,Живорођени,17269
2030,Број,Оба пола,Живорођени,15153
2035,Број,Оба пола,Живорођени,13262
2040,Број,Оба пола,Живорођени,11914
2045,Број,Оба пола,Живорођени,10783
2050,Број,Оба пола,Живорођени,9784
2055,Број,Оба пола,Живорођени,8880
2060,Број,Оба пола,Живорођени,8008
2065,Број,Оба пола,Живорођени,7181
2070,Број,Оба пола,Живорођени,6473
2020,Број,Оба пола,Умрли,21672
2025,Број,Оба пола,Умрли,22703
2030,Број,Оба пола,Умрли,23900
2035,Број,Оба пола,Умрли,25261
2040,Број,Оба пола,Умрли,26552
2045,Број,Оба пола,Умрли,27387
2050,Број,Оба пола,Умрли,27496
2055,Број,Оба пола,Умрли,26977
2060,Број,Оба пола,Умрли,25937
2065,Број,Оба пола,Умрли,24580
2070,Број,Оба пола,Умрли,23072
2020,Број,M,Живорођени,9915
2025,Број,M,Живорођени,8894
2030,Број,M,Живорођени,7804
2035,Број,M,Живорођени,6830
2040,Број,M,Живорођени,6136
2045,Број,M,Живорођени,5553
2050,Број,M,Живорођени,5039
2055,Број,M,Живорођени,4573
2060,Број,M,Живорођени,4124
2065,Број,M,Живорођени,3698
2070,Број,M,Живорођени,3334
2020,Број,M,Умрли,10894
2025,Број,M,Умрли,11432
2030,Број,M,Умрли,12015
2035,Број,M,Умрли,12659
2040,Број,M,Умрли,13212
2045,Број,M,Умрли,13489
2050,Број,M,Умрли,13406
2055,Број,M,Умрли,13037
2060,Број,M,Умрли,12439
2065,Број,M,Умрли,11649
2070,Број,M,Умрли,10783
2020,Број,Ж,Живорођени,9338
2025,Број,Ж,Живорођени,8375
2030,Број,Ж,Живорођени,7349
2035,Број,Ж,Живорођени,6432
2040,Број,Ж,Живорођени,5778
2045,Број,Ж,Живорођени,5230
2050,Број,Ж,Живорођени,4745
2055,Број,Ж,Живорођени,4307
2060,Број,Ж,Живорођени,3884
2065,Број,Ж,Живорођени,3483
2070,Број,Ж,Живорођени,3139
2020,Број,Ж,Умрли,10778
2025,Број,Ж,Умрли,11271
2030,Број,Ж,Умрли,11886
2035,Број,Ж,Умрли,12602
2040,Број,Ж,Умрли,13341
2045,Број,Ж,Умрли,13899
2050,Број,Ж,Умрли,14091
2055,Број,Ж,Умрли,13940
2060,Број,Ж,Умрли,13498
2065,Број,Ж,Умрли,12931
2070,Број,Ж,Умрли,12289
