Year,UNIT_MEASURE,Пол,Старосна доб,Value
2014,Број,Оба пола,0-4,
2014,Број,Оба пола,5-9,
2014,Број,Оба пола,10-14,
2014,Број,Оба пола,15-19,
2014,Број,Оба пола,20-24,
2014,Број,Оба пола,25-29,
2014,Број,Оба пола,30-34,
2014,Број,Оба пола,35-39,
2014,Број,Оба пола,40-44,
2014,Број,Оба пола,45-49,
2014,Број,Оба пола,50-54,
2014,Број,Оба пола,55-59,
2014,Број,Оба пола,60-64,
2014,Број,Оба пола,65-69,
2014,Број,Оба пола,70-74,
2014,Број,Оба пола,75-79,
2014,Број,Оба пола,80-84,
2014,Број,Оба пола,85-89,
2014,Број,Оба пола,90-94,
2014,Број,Оба пола,95-99,
2014,Број,Оба пола,100-104,
2014,Број,Оба пола,105-109,
2014,Број,Оба пола,110-114,
2014,Број,Оба пола,115-120,
2014,Број,Оба пола,Unknown,
2014,Број,Оба пола,Total,
2014,Број,Оба пола,0-14,
2014,Број,Оба пола,15-29,
2014,Број,Оба пола,15-49,
2014,Број,Оба пола,15-64,
2014,Број,Оба пола,65+,
2014,Број,Оба пола,75+,
2014,Број,Оба пола,85+,
2014,Број,Оба пола,100+,
2014,Број,M,0-4,
2014,Број,M,5-9,
2014,Број,M,10-14,
2014,Број,M,15-19,
2014,Број,M,20-24,
2014,Број,M,25-29,
2014,Број,M,30-34,
2014,Број,M,35-39,
2014,Број,M,40-44,
2014,Број,M,45-49,
2014,Број,M,50-54,
2014,Број,M,55-59,
2014,Број,M,60-64,
2014,Број,M,65-69,
2014,Број,M,70-74,
2014,Број,M,75-79,
2014,Број,M,80-84,
2014,Број,M,85-89,
2014,Број,M,90-94,
2014,Број,M,95-99,
2014,Број,M,100-104,
2014,Број,M,105-109,
2014,Број,M,110-114,
2014,Број,M,115-120,
2014,Број,M,Unknown,
2014,Број,M,Total,
2014,Број,M,0-14,
2014,Број,M,15-29,
2014,Број,M,15-49,
2014,Број,M,15-64,
2014,Број,M,65+,
2014,Број,M,75+,
2014,Број,M,85+,
2014,Број,M,100+,
2014,Број,Ж,0-4,
2014,Број,Ж,5-9,
2014,Број,Ж,10-14,
