Year,UNIT_MEASURE,Административна јединица,Старосна доб,Пол,Value
2013,Број,Федерација Босне и Херцеговине,Укупно,Оба пола,2219220
2013,Број,Федерација Босне и Херцеговине,0,Оба пола,21718
2013,Број,Федерација Босне и Херцеговине,1,Оба пола,22690
2013,Број,Федерација Босне и Херцеговине,2,Оба пола,22691
2013,Број,Федерација Босне и Херцеговине,3,Оба пола,23664
2013,Број,Федерација Босне и Херцеговине,4,Оба пола,24080
2013,Број,Федерација Босне и Херцеговине,5,Оба пола,23892
2013,Број,Федерација Босне и Херцеговине,6,Оба пола,22901
2013,Број,Федерација Босне и Херцеговине,7,Оба пола,22965
2013,Број,Федерација Босне и Херцеговине,8,Оба пола,23147
2013,Број,Федерација Босне и Херцеговине,9,Оба пола,23147
2013,Број,Федерација Босне и Херцеговине,10,Оба пола,23884
2013,Број,Федерација Босне и Херцеговине,11,Оба пола,24043
2013,Број,Федерација Босне и Херцеговине,12,Оба пола,24989
2013,Број,Федерација Босне и Херцеговине,13,Оба пола,25785
2013,Број,Федерација Босне и Херцеговине,14,Оба пола,27352
2013,Број,Федерација Босне и Херцеговине,15,Оба пола,30464
2013,Број,Федерација Босне и Херцеговине,16,Оба пола,35091
2013,Број,Федерација Босне и Херцеговине,17,Оба пола,35286
2013,Број,Федерација Босне и Херцеговине,18,Оба пола,33903
2013,Број,Федерација Босне и Херцеговине,19,Оба пола,27137
2013,Број,Федерација Босне и Херцеговине,20,Оба пола,25325
2013,Број,Федерација Босне и Херцеговине,21,Оба пола,29600
2013,Број,Федерација Босне и Херцеговине,22,Оба пола,32119
2013,Број,Федерација Босне и Херцеговине,23,Оба пола,31990
2013,Број,Федерација Босне и Херцеговине,24,Оба пола,31868
2013,Број,Федерација Босне и Херцеговине,25,Оба пола,32919
2013,Број,Федерација Босне и Херцеговине,26,Оба пола,32539
2013,Број,Федерација Босне и Херцеговине,27,Оба пола,32484
2013,Број,Федерација Босне и Херцеговине,28,Оба пола,32610
2013,Број,Федерација Босне и Херцеговине,29,Оба пола,33651
2013,Број,Федерација Босне и Херцеговине,30,Оба пола,32390
2013,Број,Федерација Босне и Херцеговине,31,Оба пола,32319
2013,Број,Федерација Босне и Херцеговине,32,Оба пола,32749
2013,Број,Федерација Босне и Херцеговине,33,Оба пола,31974
2013,Број,Федерација Босне и Херцеговине,34,Оба пола,31556
2013,Број,Федерација Босне и Херцеговине,35,Оба пола,31528
2013,Број,Федерација Босне и Херцеговине,36,Оба пола,31538
2013,Број,Федерација Босне и Херцеговине,37,Оба пола,32341
2013,Број,Федерација Босне и Херцеговине,38,Оба пола,31321
2013,Број,Федерација Босне и Херцеговине,39,Оба пола,30987
2013,Број,Федерација Босне и Херцеговине,40,Оба пола,30584
2013,Број,Федерација Босне и Херцеговине,41,Оба пола,31771
2013,Број,Федерација Босне и Херцеговине,42,Оба пола,31017
2013,Број,Федерација Босне и Херцеговине,43,Оба пола,29652
2013,Број,Федерација Босне и Херцеговине,44,Оба пола,31806
2013,Број,Федерација Босне и Херцеговине,45,Оба пола,32017
2013,Број,Федерација Босне и Херцеговине,46,Оба пола,33018
2013,Број,Федерација Босне и Херцеговине,47,Оба пола,33813
2013,Број,Федерација Босне и Херцеговине,48,Оба пола,34178
2013,Број,Федерација Босне и Херцеговине,49,Оба пола,34083
2013,Број,Федерација Босне и Херцеговине,50,Оба пола,34340
2013,Број,Федерација Босне и Херцеговине,51,Оба пола,35525
2013,Број,Федерација Босне и Херцеговине,52,Оба пола,35006
2013,Број,Федерација Босне и Херцеговине,53,Оба пола,34518
2013,Број,Федерација Босне и Херцеговине,54,Оба пола,34607
2013,Број,Федерација Босне и Херцеговине,55,Оба пола,32581
2013,Број,Федерација Босне и Херцеговине,56,Оба пола,30906
2013,Број,Федерација Босне и Херцеговине,57,Оба пола,31264
2013,Број,Федерација Босне и Херцеговине,58,Оба пола,31461
2013,Број,Федерација Босне и Херцеговине,59,Оба пола,29877
2013,Број,Федерација Босне и Херцеговине,60,Оба пола,29631
2013,Број,Федерација Босне и Херцеговине,61,Оба пола,26762
2013,Број,Федерација Босне и Херцеговине,62,Оба пола,24438
2013,Број,Федерација Босне и Херцеговине,63,Оба пола,24535
2013,Број,Федерација Босне и Херцеговине,64,Оба пола,23247
2013,Број,Федерација Босне и Херцеговине,65,Оба пола,20490
2013,Број,Федерација Босне и Херцеговине,66,Оба пола,21656
2013,Број,Федерација Босне и Херцеговине,67,Оба пола,16531
2013,Број,Федерација Босне и Херцеговине,68,Оба пола,15234
2013,Број,Федерација Босне и Херцеговине,69,Оба пола,14480
2013,Број,Федерација Босне и Херцеговине,70,Оба пола,14562
2013,Број,Федерација Босне и Херцеговине,71,Оба пола,16128
2013,Број,Федерација Босне и Херцеговине,72,Оба пола,16725
2013,Број,Федерација Босне и Херцеговине,73,Оба пола,17668
2013,Број,Федерација Босне и Херцеговине,74,Оба пола,15940
2013,Број,Федерација Босне и Херцеговине,75,Оба пола,15320
2013,Број,Федерација Босне и Херцеговине,76,Оба пола,14194
2013,Број,Федерација Босне и Херцеговине,77,Оба пола,13342
2013,Број,Федерација Босне и Херцеговине,78,Оба пола,11991
2013,Број,Федерација Босне и Херцеговине,79,Оба пола,10766
2013,Број,Федерација Босне и Херцеговине,80,Оба пола,9117
2013,Број,Федерација Босне и Херцеговине,81,Оба пола,8359
2013,Број,Федерација Босне и Херцеговине,82,Оба пола,6844
2013,Број,Федерација Босне и Херцеговине,83,Оба пола,6095
2013,Број,Федерација Босне и Херцеговине,84,Оба пола,4812
2013,Број,Федерација Босне и Херцеговине,85+,Оба пола,15692
2013,Број,Унско-сански кантон,Укупно,Оба пола,273261
2013,Број,Унско-сански кантон,0,Оба пола,2742
2013,Број,Унско-сански кантон,1,Оба пола,2879
2013,Број,Унско-сански кантон,2,Оба пола,2927
2013,Број,Унско-сански кантон,3,Оба пола,3078
2013,Број,Унско-сански кантон,4,Оба пола,3179
2013,Број,Унско-сански кантон,5,Оба пола,3277
2013,Број,Унско-сански кантон,6,Оба пола,3117
2013,Број,Унско-сански кантон,7,Оба пола,3091
2013,Број,Унско-сански кантон,8,Оба пола,3125
2013,Број,Унско-сански кантон,9,Оба пола,3167
2013,Број,Унско-сански кантон,10,Оба пола,3270
2013,Број,Унско-сански кантон,11,Оба пола,3327
2013,Број,Унско-сански кантон,12,Оба пола,3466
