Year,UNIT_MEASURE,Пол,Старост,Value
2013,Број,Оба пола,0-4,114843
2013,Број,Оба пола, 5-9,116052
2013,Број,Оба пола, 10-14,126053
2013,Број,Оба пола,15-19,161881
2013,Број,Оба пола,20-24,150902
2013,Број,Оба пола,25-29,164203
2013,Број,Оба пола,30-34,160988
2013,Број,Оба пола,35-39,157715
2013,Број,Оба пола,40-44,154830
2013,Број,Оба пола,45-49,167109
2013,Број,Оба пола,50-54,173996
2013,Број,Оба пола,55-59,156089
2013,Број,Оба пола,60-64,128613
2013,Број,Оба пола,65-69,88391
2013,Број,Оба пола,70-74,81023
2013,Број,Оба пола,75-79,65613
2013,Број,Оба пола,80-84,35227
2013,Број,Оба пола,85+,15692
2013,Број,M,0-4,59017
2013,Број,M, 5-9,59633
2013,Број,M, 10-14,64493
2013,Број,M,15-19,83298
2013,Број,M,20-24,77103
2013,Број,M,25-29,84119
2013,Број,M,30-34,81932
2013,Број,M,35-39,78939
2013,Број,M,40-44,77122
2013,Број,M,45-49,82594
2013,Број,M,50-54,85303
2013,Број,M,55-59,75568
2013,Број,M,60-64,59899
2013,Број,M,65-69,39438
2013,Број,M,70-74,34445
2013,Број,M,75-79,26695
2013,Број,M,80-84,13493
2013,Број,M,85+,4902
2013,Број,Ж,0-4,55826
2013,Број,Ж, 5-9,56419
2013,Број,Ж, 10-14,61560
2013,Број,Ж,15-19,78583
2013,Број,Ж,20-24,73799
2013,Број,Ж,25-29,80084
2013,Број,Ж,30-34,79056
2013,Број,Ж,35-39,78776
2013,Број,Ж,40-44,77708
2013,Број,Ж,45-49,84515
2013,Број,Ж,50-54,88693
2013,Број,Ж,55-59,80521
2013,Број,Ж,60-64,68714
2013,Број,Ж,65-69,48953
2013,Број,Ж,70-74,46578
2013,Број,Ж,75-79,38918
2013,Број,Ж,80-84,21734
2013,Број,Ж,85+,10790
