Year,UNIT_MEASURE,Municipality,Пол,AGE,Value
2013,Број,banovici,Оба пола,T,22773
2013,Број,bihac,Оба пола,T,56261
2013,Број,bosanska_krupa,Оба пола,T,25545
2013,Број,bosanski_petrovac,Оба пола,T,7328
2013,Број,bosansko_grahovo,Оба пола,T,2449
2013,Број,breza,Оба пола,T,14168
2013,Број,bugojno,Оба пола,T,31470
2013,Број,busovaca,Оба пола,T,17910
2013,Број,buzim,Оба пола,T,19340
2013,Број,cazin,Оба пола,T,66149
2013,Број,centar_sarajevo,Оба пола,T,55181
2013,Број,capljina,Оба пола,T,26157
2013,Број,celic,Оба пола,T,10502
2013,Број,citluk,Оба пола,T,18140
2013,Број,doboj-istok,Оба пола,T,10248
2013,Број,doboj-jug,Оба пола,T,4137
2013,Број,dobretici,Оба пола,T,1629
2013,Број,domaljevac-samac,Оба пола,T,4771
2013,Број,donji_vakuf,Оба пола,T,13985
2013,Број,drvar,Оба пола,T,7036
2013,Број,foca-fbih,Оба пола,T,1933
2013,Број,fojnica,Оба пола,T,12356
2013,Број,glamoc,Оба пола,T,3860
2013,Број,gorazde,Оба пола,T,20897
2013,Број,gornji_vakuf-uskoplje,Оба пола,T,20933
2013,Број,gracanica,Оба пола,T,45220
2013,Број,gradacac,Оба пола,T,39340
2013,Број,grude,Оба пола,T,17308
2013,Број,hadzici,Оба пола,T,23891
2013,Број,ilidza,Оба пола,T,66730
2013,Број,ilijas,Оба пола,T,19603
2013,Број,jablanica,Оба пола,T,10111
2013,Број,jajce,Оба пола,T,27258
2013,Број,kakanj,Оба пола,T,37441
2013,Број,kalesija,Оба пола,T,33053
2013,Број,kiseljak,Оба пола,T,20722
2013,Број,kladanj,Оба пола,T,12348
2013,Број,kljuc,Оба пола,T,16744
2013,Број,konjic,Оба пола,T,25148
2013,Број,kresevo,Оба пола,T,5273
2013,Број,krupa_na_uni,Оба пола,T,1597
2013,Број,kupres-fbih,Оба пола,T,5057
2013,Број,livno,Оба пола,T,34133
2013,Број,lukavac,Оба пола,T,44520
2013,Број,ljubuski,Оба пола,T,28184
2013,Број,maglaj,Оба пола,T,23146
2013,Број,mostar,Оба пола,T,105797
2013,Број,neum,Оба пола,T,4653
2013,Број,novi_grad_sarajevo,Оба пола,T,118553
2013,Број,novi_travnik,Оба пола,T,23832
2013,Број,novo_sarajevo,Оба пола,T,64814
2013,Број,odzak,Оба пола,T,18821
2013,Број,olovo,Оба пола,T,10175
2013,Број,orasje,Оба пола,T,19861
2013,Број,pale-fbih,Оба пола,T,904
