Year,UNIT_MEASURE,Oпштина,No_of_births,Value
2013,Број,Бановићи,T,9632
2013,Број,Бихаћ,T,24809
2013,Број,Босанска Крупа,T,10796
2013,Број,Босански Петровац,T,3181
2013,Број,Босанско Грахово,T,1070
2013,Број,Бреза,T,6196
2013,Број,Бугојно,T,13421
2013,Број,Бусовача,T,7270
2013,Број,Бужим,T,7407
2013,Број,Цазин,T,27027
2013,Број,centar_sarajevo,T,26201
2013,Број,Чапљина,T,11151
2013,Број,Челић,T,4372
2013,Број,Читлук,T,7497
2013,Број,doboj-istok,T,4374
2013,Број,doboj-jug,T,1695
2013,Број,Добретићи,T,664
2013,Број,domaljevac-samac,T,2073
2013,Број,Доњи Вакуф,T,5822
2013,Број,Дрвар,T,3218
2013,Број,foca-fbih,T,825
2013,Број,Фојница,T,5229
2013,Број,Гламоч,T,1674
2013,Број,Горажде,T,9351
2013,Број,gornji_vakuf-uskoplje,T,8606
2013,Број,Грачаница,T,19789
2013,Број,Градачац,T,16870
2013,Број,Груде,T,7262
2013,Број,hadzici,T,10003
2013,Број,ilidza,T,28903
2013,Број,ilijas,T,8573
2013,Број,Јабланица,T,4442
2013,Број,Јајце,T,11157
2013,Број,Какањ,T,15662
2013,Број,Калесија,T,13637
2013,Број,Кисељак,T,8725
2013,Број,Кладањ,T,5325
2013,Број,Кључ,T,7150
2013,Број,Коњиц,T,10945
2013,Број,Крешево,T,2304
2013,Број,kupres-fbih,T,2176
2013,Број,Ливно,T,14885
2013,Број,Лукавац,T,19824
2013,Број,Љубушки,T,11872
2013,Број,Маглај,T,9962
2013,Број,Мостар,T,46912
2013,Број,Неум,T,1948
2013,Број,novi_grad_sarajevo,T,53683
2013,Број,Нови Травник,T,9963
2013,Број,novo_sarajevo,T,30918
2013,Број,Оџак,T,8210
2013,Број,Олово,T,4434
2013,Број,Орашје,T,8479
2013,Број,pale-fbih,T,391
2013,Број,Посушје,T,8208
2013,Број,Прозор,T,5867
2013,Број,Равно,T,1361
2013,Број,Сански Мост,T,17665
2013,Број,Сапна,T,4421
2013,Број,Сребреник,T,17037
2013,Број,stari_grad_sarajevo,T,17059
2013,Број,Столац,T,6096
2013,Број,Широки Бријег,T,12027
2013,Број,Теочак,T,3078
2013,Број,Тешањ,T,17741
2013,Број,Томиславград,T,13018
2013,Број,Травник,T,22532
2013,Број,trnovo-fbih,T,693
2013,Број,Тузла,T,51072
2013,Број,Усора,T,2900
2013,Број,Вареш,T,4070
2013,Број,Велика Кладуша,T,16483
2013,Број,Високо,T,16864
2013,Број,Витез,T,10776
2013,Број,vogosca,T,11602
2013,Број,Завидовићи,T,15108
2013,Број,Зеница,T,47242
2013,Број,Жепче,T,12279
2013,Број,Живинице,T,24258
2013,Број,Бановићи,Нису рађале,2202
2013,Број,Бихаћ,Нису рађале,6909
2013,Број,Босанска Крупа,Нису рађале,2740
2013,Број,Босански Петровац,Нису рађале,748
2013,Број,Босанско Грахово,Нису рађале,252
2013,Број,Бреза,Нису рађале,1512
2013,Број,Бугојно,Нису рађале,3990
2013,Број,Бусовача,Нису рађале,2084
2013,Број,Бужим,Нису рађале,2136
2013,Број,Цазин,Нису рађале,7439
2013,Број,centar_sarajevo,Нису рађале,8540
2013,Број,Чапљина,Нису рађале,3454
2013,Број,Челић,Нису рађале,1105
2013,Број,Читлук,Нису рађале,2713
2013,Број,doboj-istok,Нису рађале,1066
2013,Број,doboj-jug,Нису рађале,389
2013,Број,Добретићи,Нису рађале,283
2013,Број,domaljevac-samac,Нису рађале,676
2013,Број,Доњи Вакуф,Нису рађале,1683
2013,Број,Дрвар,Нису рађале,778
2013,Број,foca-fbih,Нису рађале,190
2013,Број,Фојница,Нису рађале,1705
2013,Број,Гламоч,Нису рађале,447
2013,Број,Горажде,Нису рађале,2468
2013,Број,gornji_vakuf-uskoplje,Нису рађале,2840
2013,Број,Грачаница,Нису рађале,4347
2013,Број,Градачац,Нису рађале,3957
2013,Број,Груде,Нису рађале,2724
2013,Број,hadzici,Нису рађале,2634
2013,Број,ilidza,Нису рађале,8609
2013,Број,ilijas,Нису рађале,2229
2013,Број,Јабланица,Нису рађале,1330
2013,Број,Јајце,Нису рађале,3196
2013,Број,Какањ,Нису рађале,4161
2013,Број,Калесија,Нису рађале,3362
2013,Број,Кисељак,Нису рађале,2390
2013,Број,Кладањ,Нису рађале,1327
2013,Број,Кључ,Нису рађале,1986
2013,Број,Коњиц,Нису рађале,3080
2013,Број,Крешево,Нису рађале,699
2013,Број,kupres-fbih,Нису рађале,858
2013,Број,Ливно,Нису рађале,4944
2013,Број,Лукавац,Нису рађале,4464
2013,Број,Љубушки,Нису рађале,4107
2013,Број,Маглај,Нису рађале,2547
2013,Број,Мостар,Нису рађале,15227
2013,Број,Неум,Нису рађале,643
2013,Број,novi_grad_sarajevo,Нису рађале,16129
2013,Број,Нови Травник,Нису рађале,2871
2013,Број,novo_sarajevo,Нису рађале,10414
2013,Број,Оџак,Нису рађале,2465
2013,Број,Олово,Нису рађале,1190
2013,Број,Орашје,Нису рађале,2695
2013,Број,pale-fbih,Нису рађале,97
2013,Број,Посушје,Нису рађале,3376
2013,Број,Прозор,Нису рађале,2099
2013,Број,Равно,Нису рађале,500
2013,Број,Сански Мост,Нису рађале,5169
2013,Број,Сапна,Нису рађале,1194
2013,Број,Сребреник,Нису рађале,3923
2013,Број,stari_grad_sarajevo,Нису рађале,5243
2013,Број,Столац,Нису рађале,2124
2013,Број,Широки Бријег,Нису рађале,4262
2013,Број,Теочак,Нису рађале,809
2013,Број,Тешањ,Нису рађале,4310
2013,Број,Томиславград,Нису рађале,5173
2013,Број,Травник,Нису рађале,6601
2013,Број,trnovo-fbih,Нису рађале,158
2013,Број,Тузла,Нису рађале,13710
2013,Број,Усора,Нису рађале,916
2013,Број,Вареш,Нису рађале,997
2013,Број,Велика Кладуша,Нису рађале,4112
2013,Број,Високо,Нису рађале,4297
2013,Број,Витез,Нису рађале,3087
2013,Број,vogosca,Нису рађале,3232
2013,Број,Завидовићи,Нису рађале,3646
2013,Број,Зеница,Нису рађале,12327
2013,Број,Жепче,Нису рађале,3672
2013,Број,Живинице,Нису рађале,5806
2013,Број,Бановићи,one_child,1581
2013,Број,Бихаћ,one_child,3677
2013,Број,Босанска Крупа,one_child,1438
2013,Број,Босански Петровац,one_child,434
2013,Број,Босанско Грахово,one_child,124
2013,Број,Бреза,one_child,1122
2013,Број,Бугојно,one_child,1555
2013,Број,Бусовача,one_child,809
2013,Број,Бужим,one_child,955
2013,Број,Цазин,one_child,4067
2013,Број,centar_sarajevo,one_child,5078
2013,Број,Чапљина,one_child,1049
2013,Број,Челић,one_child,454
2013,Број,Читлук,one_child,650
2013,Број,doboj-istok,one_child,532
2013,Број,doboj-jug,one_child,239
2013,Број,Добретићи,one_child,32
2013,Број,domaljevac-samac,one_child,242
2013,Број,Доњи Вакуф,one_child,644
2013,Број,Дрвар,one_child,431
2013,Број,foca-fbih,one_child,73
2013,Број,Фојница,one_child,579
2013,Број,Гламоч,one_child,135
2013,Број,Горажде,one_child,1198
2013,Број,gornji_vakuf-uskoplje,one_child,807
2013,Број,Грачаница,one_child,2947
2013,Број,Градачац,one_child,2256
2013,Број,Груде,one_child,543
2013,Број,hadzici,one_child,1429
2013,Број,ilidza,one_child,4309
2013,Број,ilijas,one_child,1196
2013,Број,Јабланица,one_child,508
2013,Број,Јајце,one_child,1109
2013,Број,Какањ,one_child,1964
2013,Број,Калесија,one_child,1684
2013,Број,Кисељак,one_child,1078
2013,Број,Кладањ,one_child,665
2013,Број,Кључ,one_child,732
2013,Број,Коњиц,one_child,1285
2013,Број,Крешево,one_child,244
2013,Број,kupres-fbih,one_child,169
2013,Број,Ливно,one_child,1226
2013,Број,Лукавац,one_child,3691
2013,Број,Љубушки,one_child,1040
2013,Број,Маглај,one_child,1424
2013,Број,Мостар,one_child,5896
2013,Број,Неум,one_child,168
2013,Број,novi_grad_sarajevo,one_child,9593
2013,Број,Нови Травник,one_child,1255
2013,Број,novo_sarajevo,one_child,6222
2013,Број,Оџак,one_child,982
2013,Број,Олово,one_child,502
2013,Број,Орашје,one_child,1055
2013,Број,pale-fbih,one_child,31
2013,Број,Посушје,one_child,624
2013,Број,Прозор,one_child,442
2013,Број,Равно,one_child,142
2013,Број,Сански Мост,one_child,2179
2013,Број,Сапна,one_child,384
2013,Број,Сребреник,one_child,2307
2013,Број,stari_grad_sarajevo,one_child,2934
2013,Број,Столац,one_child,530
2013,Број,Широки Бријег,one_child,1014
2013,Број,Теочак,one_child,343
2013,Број,Тешањ,one_child,2357
2013,Број,Томиславград,one_child,958
2013,Број,Травник,one_child,2740
2013,Број,trnovo-fbih,one_child,46
2013,Број,Тузла,one_child,9432
2013,Број,Усора,one_child,262
2013,Број,Вареш,one_child,583
2013,Број,Велика Кладуша,one_child,2536
2013,Број,Високо,one_child,2463
2013,Број,Витез,one_child,1216
2013,Број,vogosca,one_child,1875
2013,Број,Завидовићи,one_child,1989
2013,Број,Зеница,one_child,7711
2013,Број,Жепче,one_child,1297
2013,Број,Живинице,one_child,3423
2013,Број,Бановићи,two_children,3796
2013,Број,Бихаћ,two_children,7800
2013,Број,Босанска Крупа,two_children,3162
2013,Број,Босански Петровац,two_children,1240
2013,Број,Босанско Грахово,two_children,393
2013,Број,Бреза,two_children,2555
2013,Број,Бугојно,two_children,3747
2013,Број,Бусовача,two_children,1928
2013,Број,Бужим,two_children,1620
2013,Број,Цазин,two_children,7242
2013,Број,centar_sarajevo,two_children,9471
2013,Број,Чапљина,two_children,3066
2013,Број,Челић,two_children,1396
2013,Број,Читлук,two_children,1475
2013,Број,doboj-istok,two_children,1632
2013,Број,doboj-jug,two_children,611
2013,Број,Добретићи,two_children,83
2013,Број,domaljevac-samac,two_children,565
2013,Број,Доњи Вакуф,two_children,1613
2013,Број,Дрвар,two_children,1399
2013,Број,foca-fbih,two_children,262
2013,Број,Фојница,two_children,1407
2013,Број,Гламоч,two_children,504
2013,Број,Горажде,two_children,3406
2013,Број,gornji_vakuf-uskoplje,two_children,1882
2013,Број,Грачаница,two_children,7975
2013,Број,Градачац,two_children,6590
2013,Број,Груде,two_children,1418
2013,Број,hadzici,two_children,3632
2013,Број,ilidza,two_children,10263
2013,Број,ilijas,two_children,2935
2013,Број,Јабланица,two_children,1359
2013,Број,Јајце,two_children,2867
2013,Број,Какањ,two_children,4863
2013,Број,Калесија,two_children,4778
2013,Број,Кисељак,two_children,2656
2013,Број,Кладањ,two_children,1870
2013,Број,Кључ,two_children,2122
2013,Број,Коњиц,two_children,3411
2013,Број,Крешево,two_children,662
