Year,UNIT_MEASURE,Административно подручје,HH_agri,Value
2013,Број,Бановићи,Оба пола,7636
2013,Број,Бихаћ,Оба пола,18294
2013,Број,Босанска Крупа,Оба пола,7675
2013,Број,Босански Петровац,Оба пола,2798
2013,Број,Босанско Грахово,Оба пола,1046
2013,Број,Бреза,Оба пола,5058
2013,Број,Бугојно,Оба пола,9429
2013,Број,Бусовача,Оба пола,5621
2013,Број,Бужим,Оба пола,4326
2013,Број,Цазин,Оба пола,16686
2013,Број,centar_sarajevo,Оба пола,21484
2013,Број,Чапљина,Оба пола,7916
2013,Број,Челић,Оба пола,3203
2013,Број,Читлук,Оба пола,4667
2013,Број,doboj-istok,Оба пола,3167
2013,Број,doboj-jug,Оба пола,1307
2013,Број,Добретићи,Оба пола,473
2013,Број,domaljevac-samac,Оба пола,1312
2013,Број,Доњи Вакуф,Оба пола,4183
2013,Број,Дрвар,Оба пола,3033
2013,Број,foca-fbih,Оба пола,747
2013,Број,Фојница,Оба пола,3908
2013,Број,Гламоч,Оба пола,1437
2013,Број,Горажде,Оба пола,7573
2013,Број,gornji_vakuf-uskoplje,Оба пола,5686
2013,Број,Грачаница,Оба пола,15083
2013,Број,Градачац,Оба пола,11881
2013,Број,Груде,Оба пола,4502
2013,Број,hadzici,Оба пола,7530
2013,Број,ilidza,Оба пола,22296
2013,Број,ilijas,Оба пола,6386
2013,Број,Јабланица,Оба пола,3168
2013,Број,Јајце,Оба пола,8041
2013,Број,Какањ,Оба пола,12240
2013,Број,Калесија,Оба пола,9781
2013,Број,Кисељак,Оба пола,6801
2013,Број,Кладањ,Оба пола,3847
2013,Број,Кључ,Оба пола,4990
2013,Број,Коњиц,Оба пола,8381
2013,Број,Крешево,Оба пола,1845
2013,Број,kupres-fbih,Оба пола,1489
2013,Број,Ливно,Оба пола,9028
2013,Број,Лукавац,Оба пола,16656
2013,Број,Љубушки,Оба пола,7444
2013,Број,Маглај,Оба пола,7687
2013,Број,Мостар,Оба пола,34129
2013,Број,Неум,Оба пола,1394
2013,Број,novi_grad_sarajevo,Оба пола,42274
2013,Број,Нови Травник,Оба пола,7267
2013,Број,novo_sarajevo,Оба пола,25690
2013,Број,Оџак,Оба пола,5809
2013,Број,Олово,Оба пола,3493
2013,Број,Орашје,Оба пола,6192
2013,Број,pale-fbih,Оба пола,350
2013,Број,Посушје,Оба пола,5153
2013,Број,Прозор,Оба пола,3653
2013,Број,Равно,Оба пола,929
2013,Број,Сански Мост,Оба пола,11847
2013,Број,Сапна,Оба пола,3085
2013,Број,Сребреник,Оба пола,13187
2013,Број,stari_grad_sarajevo,Оба пола,13753
2013,Број,Столац,Оба пола,3884
2013,Број,Широки Бријег,Оба пола,7982
2013,Број,Теочак,Оба пола,2020
2013,Број,Тешањ,Оба пола,13426
2013,Број,Томиславград,Оба пола,7731
2013,Број,Травник,Оба пола,16445
2013,Број,trnovo-fbih,Оба пола,647
2013,Број,Тузла,Оба пола,42630
2013,Број,Усора,Оба пола,1936
2013,Број,Вареш,Оба пола,3582
2013,Број,Велика Кладуша,Оба пола,11651
2013,Број,Високо,Оба пола,12900
2013,Број,Витез,Оба пола,8190
2013,Број,vogosca,Оба пола,8811
2013,Број,Завидовићи,Оба пола,12088
2013,Број,Зеница,Оба пола,38609
2013,Број,Жепче,Оба пола,8830
2013,Број,Живинице,Оба пола,18431
2013,Број,Бановићи,agri_activity,3952
2013,Број,Бихаћ,agri_activity,4598
2013,Број,Босанска Крупа,agri_activity,2488
2013,Број,Босански Петровац,agri_activity,1171
2013,Број,Босанско Грахово,agri_activity,422
2013,Број,Бреза,agri_activity,2335
2013,Број,Бугојно,agri_activity,3258
2013,Број,Бусовача,agri_activity,2668
2013,Број,Бужим,agri_activity,2553
2013,Број,Цазин,agri_activity,5345
2013,Број,centar_sarajevo,agri_activity,932
2013,Број,Чапљина,agri_activity,2326
2013,Број,Челић,agri_activity,1537
2013,Број,Читлук,agri_activity,1465
2013,Број,doboj-istok,agri_activity,1846
2013,Број,doboj-jug,agri_activity,717
2013,Број,Добретићи,agri_activity,173
2013,Број,domaljevac-samac,agri_activity,413
