Year,Пол,UNIT_MEASURE,Матерњи језик,Value
2013,Оба пола,Број,Bosnian ,1866585
2013,Оба пола,Број,Српски,1086027
2013,Оба пола,Број,Хрватски,515481
2013,Оба пола,Број,Српско-хрватски,27299
2013,Оба пола,Број,Ромски,5766
2013,Оба пола,Број,Албански,2420
2013,Оба пола,Број,Босански-хрватски-српски,1897
2013,Оба пола,Број,Турски,1233
2013,Оба пола,Број,Хрватско-српски,1195
2013,Оба пола,Број,Бошњачки,1167
2013,Оба пола,Број,Украјински,1081
2013,Оба пола,Број,Босански-српски-хрватски,890
2013,Оба пола,Број,Босански-хрватски,714
2013,Оба пола,Број,Босанско-херцеговачки,636
2013,Оба пола,Број,Њемачки,632
2013,Оба пола,Број,Other,10649
2013,Оба пола,Број,Unknown,7487
2013,M,Број,Bosnian ,913558
2013,M,Број,Српски,533583
2013,M,Број,Хрватски,255603
2013,M,Број,Serbo_Croatian ,12030
2013,M,Број,Ромски,3043
2013,M,Број,Албански,1469
2013,M,Број,Босански-хрватски-српски,811
2013,M,Број,Турски,817
2013,M,Број,Хрватско-српски,513
2013,M,Број,Бошњачки,598
2013,M,Број,Украјински,513
2013,M,Број,Босански-српски-хрватски,372
2013,M,Број,Босански-хрватски,305
2013,M,Број,Босанско-херцеговачки,314
2013,M,Број,Њемачки,278
2013,M,Број,Other,4828
2013,M,Број,Unknown,3635
2013,Ж,Број,Bosnian ,953027
2013,Ж,Број,Српски,552444
2013,Ж,Број,Хрватски,259878
2013,Ж,Број,Serbo_Croatian ,15269
2013,Ж,Број,Ромски,2723
2013,Ж,Број,Албански,951
2013,Ж,Број,Босански-хрватски-српски,1086
2013,Ж,Број,Турски,416
2013,Ж,Број,Хрватско-српски,682
2013,Ж,Број,Бошњачки,569
2013,Ж,Број,Украјински,568
2013,Ж,Број,Босански-српски-хрватски,518
2013,Ж,Број,Босански-хрватски,409
2013,Ж,Број,Босанско-херцеговачки,322
2013,Ж,Број,Њемачки,354
2013,Ж,Број,Other,5821
2013,Ж,Број,Unknown,3852
