Year,UNIT_MEASURE,Административна јединица,Пол,LITERACY,Value
2013,Број,Федерација Босне и Херцеговине,M,Писмено становништво,955131
2013,Број,Федерација Босне и Херцеговине,M,iliterate,6823
2013,Број,Федерација Босне и Херцеговине,M,Непознато,7389
2013,Број,Унско-сански кантон,M,Писмено становништво,117388
2013,Број,Унско-сански кантон,M,iliterate,1201
2013,Број,Унско-сански кантон,M,Непознато,1024
2013,Број,Посавски кантон,M,Писмено становништво,19569
2013,Број,Посавски кантон,M,iliterate,168
2013,Број,Посавски кантон,M,Непознато,242
2013,Број,Тузлански кантон,M,Писмено становништво,190794
2013,Број,Тузлански кантон,M,iliterate,1722
2013,Број,Тузлански кантон,M,Непознато,1309
2013,Број,Зеничко-добојски кантон,M,Писмено становништво,158533
2013,Број,Зеничко-добојски кантон,M,iliterate,1077
2013,Број,Зеничко-добојски кантон,M,Непознато,895
2013,Број,Босанско-подрињски кантон,M,Писмено становништво,10379
2013,Број,Босанско-подрињски кантон,M,iliterate,89
2013,Број,Босанско-подрињски кантон,M,Непознато,48
2013,Број,Средњобосански кантон,M,Писмено становништво,110778
2013,Број,Средњобосански кантон,M,iliterate,916
2013,Број,Средњобосански кантон,M,Непознато,1490
2013,Број,Херцеговачко-неретвански кантон,M,Писмено становништво,96601
2013,Број,Херцеговачко-неретвански кантон,M,iliterate,466
2013,Број,Херцеговачко-неретвански кантон,M,Непознато,932
2013,Број,Западнохерцеговчки кантон,M,Писмено становништво,41183
2013,Број,Западнохерцеговчки кантон,M,iliterate,196
2013,Број,Западнохерцеговчки кантон,M,Непознато,474
2013,Број,Кантон Сарајево,M,Писмено становништво,171986
2013,Број,Кантон Сарајево,M,iliterate,748
2013,Број,Кантон Сарајево,M,Непознато,571
2013,Број,Кантон 10,M,Писмено становништво,37920
2013,Број,Кантон 10,M,iliterate,240
2013,Број,Кантон 10,M,Непознато,404
2013,Број,Федерација Босне и Херцеговине,Ж,Писмено становништво,960183
2013,Број,Федерација Босне и Херцеговине,Ж,iliterate,45404
2013,Број,Федерација Босне и Херцеговине,Ж,Непознато,13395
2013,Број,Унско-сански кантон,Ж,Писмено становништво,114220
2013,Број,Унско-сански кантон,Ж,iliterate,7083
2013,Број,Унско-сански кантон,Ж,Непознато,1763
2013,Број,Посавски кантон,Ж,Писмено становништво,18788
2013,Број,Посавски кантон,Ж,iliterate,761
2013,Број,Посавски кантон,Ж,Непознато,356
2013,Број,Тузлански кантон,Ж,Писмено становништво,190980
2013,Број,Тузлански кантон,Ж,iliterate,11989
2013,Број,Тузлански кантон,Ж,Непознато,2457
2013,Број,Зеничко-добојски кантон,Ж,Писмено становништво,155085
2013,Број,Зеничко-добојски кантон,Ж,iliterate,7458
2013,Број,Зеничко-добојски кантон,Ж,Непознато,1869
2013,Број,Босанско-подрињски кантон,Ж,Писмено становништво,10328
2013,Број,Босанско-подрињски кантон,Ж,iliterate,721
2013,Број,Босанско-подрињски кантон,Ж,Непознато,113
2013,Број,Средњобосански кантон,Ж,Писмено становништво,105913
2013,Број,Средњобосански кантон,Ж,iliterate,5831
2013,Број,Средњобосански кантон,Ж,Непознато,2488
2013,Број,Херцеговачко-неретвански кантон,Ж,Писмено становништво,97557
2013,Број,Херцеговачко-неретвански кантон,Ж,iliterate,3238
2013,Број,Херцеговачко-неретвански кантон,Ж,Непознато,1630
2013,Број,Западнохерцеговчки кантон,Ж,Писмено становништво,40544
2013,Број,Западнохерцеговчки кантон,Ж,iliterate,1230
2013,Број,Западнохерцеговчки кантон,Ж,Непознато,735
2013,Број,Кантон Сарајево,Ж,Писмено становништво,190584
2013,Број,Кантон Сарајево,Ж,iliterate,5558
2013,Број,Кантон Сарајево,Ж,Непознато,1432
2013,Број,Кантон 10,Ж,Писмено становништво,36184
2013,Број,Кантон 10,Ж,iliterate,1535
2013,Број,Кантон 10,Ж,Непознато,552
