Year,Пол,Врста инвалидитета,Старосна доб,UNIT_MEASURE,Value
2013,Оба пола,Seeing,0-14,Број,1084
2013,Оба пола,Hearing,0-14,Број,262
2013,Оба пола,walking_or_climbing_up_the_stairs,0-14,Број,671
2013,Оба пола,remembering_or_concentration,0-14,Број,200
2013,Оба пола,self_care,0-14,Број,164
2013,Оба пола,Communication,0-14,Број,318
2013,Оба пола,multiple_disabilities,0-14,Број,1826
2013,Оба пола,Seeing,15-19,Број,862
2013,Оба пола,Hearing,15-19,Број,191
2013,Оба пола,walking_or_climbing_up_the_stairs,15-19,Број,478
2013,Оба пола,remembering_or_concentration,15-19,Број,129
2013,Оба пола,self_care,15-19,Број,32
2013,Оба пола,Communication,15-19,Број,112
2013,Оба пола,multiple_disabilities,15-19,Број,1082
2013,Оба пола,Seeing,20-29,Број,1819
2013,Оба пола,Hearing,20-29,Број,370
2013,Оба пола,walking_or_climbing_up_the_stairs,20-29,Број,1350
2013,Оба пола,remembering_or_concentration,20-29,Број,380
2013,Оба пола,self_care,20-29,Број,72
2013,Оба пола,Communication,20-29,Број,208
2013,Оба пола,multiple_disabilities,20-29,Број,2199
2013,Оба пола,Seeing,30-49,Број,7841
2013,Оба пола,Hearing,30-49,Број,2460
2013,Оба пола,walking_or_climbing_up_the_stairs,30-49,Број,15862
2013,Оба пола,remembering_or_concentration,30-49,Број,2337
2013,Оба пола,self_care,30-49,Број,319
2013,Оба пола,Communication,30-49,Број,683
2013,Оба пола,multiple_disabilities,30-49,Број,10694
2013,Оба пола,Seeing,50-59,Број,12870
2013,Оба пола,Hearing,50-59,Број,3498
2013,Оба пола,walking_or_climbing_up_the_stairs,50-59,Број,21484
2013,Оба пола,remembering_or_concentration,50-59,Број,2035
2013,Оба пола,self_care,50-59,Број,259
2013,Оба пола,Communication,50-59,Број,488
2013,Оба пола,multiple_disabilities,50-59,Број,16861
2013,Оба пола,Seeing,60-64,Број,7189
2013,Оба пола,Hearing,60-64,Број,2289
2013,Оба пола,walking_or_climbing_up_the_stairs,60-64,Број,12727
2013,Оба пола,remembering_or_concentration,60-64,Број,870
2013,Оба пола,self_care,60-64,Број,100
2013,Оба пола,Communication,60-64,Број,259
2013,Оба пола,multiple_disabilities,60-64,Број,11125
2013,Оба пола,Seeing,60-64,Број,20636
2013,Оба пола,Hearing,60-64,Број,12505
2013,Оба пола,walking_or_climbing_up_the_stairs,60-64,Број,44406
2013,Оба пола,remembering_or_concentration,60-64,Број,2836
2013,Оба пола,self_care,60-64,Број,587
2013,Оба пола,Communication,60-64,Број,586
2013,Оба пола,multiple_disabilities,60-64,Број,66443
2013,Оба пола,Seeing,65+,Број,20636
2013,Оба пола,Hearing,65+,Број,12505
2013,Оба пола,walking_or_climbing_up_the_stairs,65+,Број,44406
2013,Оба пола,remembering_or_concentration,65+,Број,2836
2013,Оба пола,self_care,65+,Број,587
2013,Оба пола,Communication,65+,Број,586
2013,Оба пола,multiple_disabilities,65+,Број,66443
2013,M,Seeing,0-14,Број,571
2013,M,Hearing,0-14,Број,146
2013,M,walking_or_climbing_up_the_stairs,0-14,Број,370
2013,M,remembering_or_concentration,0-14,Број,123
