Year,UNIT_MEASURE,Врста корисника,Value
2015,Број,Укупно,417858
2015,Број,Малољетни корисници,80736
2015,Број,Одрасли корисници,337122
2016,Број,Укупно,426629
2016,Број,Малољетни корисници,79126
2016,Број,Одрасли корисници,347503
2017,Број,Укупно,423030
2017,Број,Малољетни корисници,74690
2017,Број,Одрасли корисници,348340
2018,Број,Укупно,440250
2018,Број,Малољетни корисници,66576
2018,Број,Одрасли корисници,373674
2019,Број,Укупно,404084
2019,Број,Малољетни корисници,55438
2019,Број,Одрасли корисници,348646
2020,Број,Укупно,375866
2020,Број,Малољетни корисници,54792
2020,Број,Одрасли корисници,321074
