Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,223304.0
2011,Број,Федерација Босне и Херцеговине,Оба пола,208491.0
2012,Број,Федерација Босне и Херцеговине,Оба пола,199569.0
2013,Број,Федерација Босне и Херцеговине,Оба пола,198840.0
2014,Број,Федерација Босне и Херцеговине,Оба пола,194867.0
2015,Број,Федерација Босне и Херцеговине,Оба пола,191210.0
2016,Број,Федерација Босне и Херцеговине,Оба пола,189019.0
2017,Број,Федерација Босне и Херцеговине,Оба пола,185605.0
2018,Број,Федерација Босне и Херцеговине,Оба пола,184053.0
2010,Број,Федерација Босне и Херцеговине,M,114717.0
2011,Број,Федерација Босне и Херцеговине,M,107015.0
2012,Број,Федерација Босне и Херцеговине,M,102236.0
2013,Број,Федерација Босне и Херцеговине,M,101958.0
2014,Број,Федерација Босне и Херцеговине,M,100034.0
2015,Број,Федерација Босне и Херцеговине,M,98504.0
2016,Број,Федерација Босне и Херцеговине,M,97635.0
2017,Број,Федерација Босне и Херцеговине,M,95408.0
2018,Број,Федерација Босне и Херцеговине,M,94664.0
2010,Број,Федерација Босне и Херцеговине,Ж,108587.0
2011,Број,Федерација Босне и Херцеговине,Ж,101476.0
2012,Број,Федерација Босне и Херцеговине,Ж,97333.0
2013,Број,Федерација Босне и Херцеговине,Ж,96882.0
2014,Број,Федерација Босне и Херцеговине,Ж,94833.0
2015,Број,Федерација Босне и Херцеговине,Ж,92706.0
2016,Број,Федерација Босне и Херцеговине,Ж,91384.0
2017,Број,Федерација Босне и Херцеговине,Ж,90197.0
2018,Број,Федерација Босне и Херцеговине,Ж,89389.0
2010,Број,Унско-сански кантон,Оба пола,
2011,Број,Унско-сански кантон,Оба пола,
2012,Број,Унско-сански кантон,Оба пола,
2013,Број,Унско-сански кантон,Оба пола,
2014,Број,Унско-сански кантон,Оба пола,
2015,Број,Унско-сански кантон,Оба пола,
2016,Број,Унско-сански кантон,Оба пола,
2017,Број,Унско-сански кантон,Оба пола,
2018,Број,Унско-сански кантон,Оба пола,
2010,Број,Унско-сански кантон,M,
2011,Број,Унско-сански кантон,M,
2012,Број,Унско-сански кантон,M,
2013,Број,Унско-сански кантон,M,
2014,Број,Унско-сански кантон,M,
2015,Број,Унско-сански кантон,M,
2016,Број,Унско-сански кантон,M,
2017,Број,Унско-сански кантон,M,
2018,Број,Унско-сански кантон,M,
2010,Број,Унско-сански кантон,Ж,
2011,Број,Унско-сански кантон,Ж,
2012,Број,Унско-сански кантон,Ж,
2013,Број,Унско-сански кантон,Ж,
2014,Број,Унско-сански кантон,Ж,
2015,Број,Унско-сански кантон,Ж,
2016,Број,Унско-сански кантон,Ж,
