Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2010,Број,Federacija Bosne i Hercegovine,Оба пола,95134.0
2011,Број,Federacija Bosne i Hercegovine,Оба пола,99228.0
2012,Број,Federacija Bosne i Hercegovine,Оба пола,108957.0
2013,Број,Federacija Bosne i Hercegovine,Оба пола,113214.0
2014,Број,Federacija Bosne i Hercegovine,Оба пола,106056.0
2015,Број,Federacija Bosne i Hercegovine,Оба пола,96331.0
2016,Број,Federacija Bosne i Hercegovine,Оба пола,87813.0
2017,Број,Federacija Bosne i Hercegovine,Оба пола,82675.0
2018,Број,Federacija Bosne i Hercegovine,Оба пола,81454.0
2019,Број,Federacija Bosne i Hercegovine,Оба пола,76174.0
2010,Број,Federacija Bosne i Hercegovine,M,
2011,Број,Federacija Bosne i Hercegovine,M,
2012,Број,Federacija Bosne i Hercegovine,M,
2013,Број,Federacija Bosne i Hercegovine,M,
2014,Број,Federacija Bosne i Hercegovine,M,
2015,Број,Federacija Bosne i Hercegovine,M,
2016,Број,Federacija Bosne i Hercegovine,M,
2017,Број,Federacija Bosne i Hercegovine,M,
2018,Број,Federacija Bosne i Hercegovine,M,
2019,Број,Federacija Bosne i Hercegovine,M,
2010,Број,Federacija Bosne i Hercegovine,Ж,
2011,Број,Federacija Bosne i Hercegovine,Ж,
2012,Број,Federacija Bosne i Hercegovine,Ж,
2013,Број,Federacija Bosne i Hercegovine,Ж,
2014,Број,Federacija Bosne i Hercegovine,Ж,
2015,Број,Federacija Bosne i Hercegovine,Ж,
2016,Број,Federacija Bosne i Hercegovine,Ж,
2017,Број,Federacija Bosne i Hercegovine,Ж,
2018,Број,Federacija Bosne i Hercegovine,Ж,
2019,Број,Federacija Bosne i Hercegovine,Ж,
2010,Број,Unsko-sanski kanton,Оба пола,10547.0
2011,Број,Unsko-sanski kanton,Оба пола,10302.0
2012,Број,Unsko-sanski kanton,Оба пола,11913.0
2013,Број,Unsko-sanski kanton,Оба пола,12734.0
2014,Број,Unsko-sanski kanton,Оба пола,11904.0
2015,Број,Unsko-sanski kanton,Оба пола,11058.0
2016,Број,Unsko-sanski kanton,Оба пола,10239.0
2017,Број,Unsko-sanski kanton,Оба пола,9619.0
2018,Број,Unsko-sanski kanton,Оба пола,9496.0
2019,Број,Unsko-sanski kanton,Оба пола,8698.0
2010,Број,Unsko-sanski kanton,M,
2011,Број,Unsko-sanski kanton,M,
2012,Број,Unsko-sanski kanton,M,
2013,Број,Unsko-sanski kanton,M,
2014,Број,Unsko-sanski kanton,M,
2015,Број,Unsko-sanski kanton,M,
2016,Број,Unsko-sanski kanton,M,
2017,Број,Unsko-sanski kanton,M,
2018,Број,Unsko-sanski kanton,M,
2019,Број,Unsko-sanski kanton,M,
2010,Број,Unsko-sanski kanton,Ж,
2011,Број,Unsko-sanski kanton,Ж,
2012,Број,Unsko-sanski kanton,Ж,
2013,Број,Unsko-sanski kanton,Ж,
2014,Број,Unsko-sanski kanton,Ж,
2015,Број,Unsko-sanski kanton,Ж,
2016,Број,Unsko-sanski kanton,Ж,
2017,Број,Unsko-sanski kanton,Ж,
2018,Број,Unsko-sanski kanton,Ж,
2019,Број,Unsko-sanski kanton,Ж,
2010,Број,Posavski kanton,Оба пола,1467.0
2011,Број,Posavski kanton,Оба пола,1516.0
2012,Број,Posavski kanton,Оба пола,1591.0
2013,Број,Posavski kanton,Оба пола,1673.0
2014,Број,Posavski kanton,Оба пола,1670.0
2015,Број,Posavski kanton,Оба пола,1600.0
2016,Број,Posavski kanton,Оба пола,1413.0
2017,Број,Posavski kanton,Оба пола,1300.0
2018,Број,Posavski kanton,Оба пола,1160.0
2019,Број,Posavski kanton,Оба пола,1037.0
2010,Број,Posavski kanton,M,
2011,Број,Posavski kanton,M,
2012,Број,Posavski kanton,M,
2013,Број,Posavski kanton,M,
2014,Број,Posavski kanton,M,
2015,Број,Posavski kanton,M,
2016,Број,Posavski kanton,M,
2017,Број,Posavski kanton,M,
2018,Број,Posavski kanton,M,
2019,Број,Posavski kanton,M,
2010,Број,Posavski kanton,Ж,
2011,Број,Posavski kanton,Ж,
2012,Број,Posavski kanton,Ж,
2013,Број,Posavski kanton,Ж,
2014,Број,Posavski kanton,Ж,
2015,Број,Posavski kanton,Ж,
2016,Број,Posavski kanton,Ж,
2017,Број,Posavski kanton,Ж,
2018,Број,Posavski kanton,Ж,
2019,Број,Posavski kanton,Ж,
2010,Број,Tuzlanski kanton,Оба пола,21374.0
2011,Број,Tuzlanski kanton,Оба пола,22329.0
2012,Број,Tuzlanski kanton,Оба пола,24166.0
2013,Број,Tuzlanski kanton,Оба пола,24680.0
2014,Број,Tuzlanski kanton,Оба пола,22484.0
2015,Број,Tuzlanski kanton,Оба пола,19226.0
2016,Број,Tuzlanski kanton,Оба пола,16850.0
2017,Број,Tuzlanski kanton,Оба пола,15751.0
2018,Број,Tuzlanski kanton,Оба пола,15966.0
2019,Број,Tuzlanski kanton,Оба пола,15582.0
2010,Број,Tuzlanski kanton,M,
2011,Број,Tuzlanski kanton,M,
2012,Број,Tuzlanski kanton,M,
2013,Број,Tuzlanski kanton,M,
2014,Број,Tuzlanski kanton,M,
2015,Број,Tuzlanski kanton,M,
2016,Број,Tuzlanski kanton,M,
2017,Број,Tuzlanski kanton,M,
2018,Број,Tuzlanski kanton,M,
2019,Број,Tuzlanski kanton,M,
2010,Број,Tuzlanski kanton,Ж,
2011,Број,Tuzlanski kanton,Ж,
2012,Број,Tuzlanski kanton,Ж,
2013,Број,Tuzlanski kanton,Ж,
2014,Број,Tuzlanski kanton,Ж,
2015,Број,Tuzlanski kanton,Ж,
2016,Број,Tuzlanski kanton,Ж,
2017,Број,Tuzlanski kanton,Ж,
2018,Број,Tuzlanski kanton,Ж,
2019,Број,Tuzlanski kanton,Ж,
2010,Број,Zeničko-dobojski kanton,Оба пола,15966.0
2011,Број,Zeničko-dobojski kanton,Оба пола,17124.0
2012,Број,Zeničko-dobojski kanton,Оба пола,19199.0
2013,Број,Zeničko-dobojski kanton,Оба пола,19271.0
2014,Број,Zeničko-dobojski kanton,Оба пола,17900.0
2015,Број,Zeničko-dobojski kanton,Оба пола,16228.0
2016,Број,Zeničko-dobojski kanton,Оба пола,14778.0
2017,Број,Zeničko-dobojski kanton,Оба пола,14478.0
2018,Број,Zeničko-dobojski kanton,Оба пола,14006.0
2019,Број,Zeničko-dobojski kanton,Оба пола,13558.0
2010,Број,Zeničko-dobojski kanton,M,
2011,Број,Zeničko-dobojski kanton,M,
2012,Број,Zeničko-dobojski kanton,M,
2013,Број,Zeničko-dobojski kanton,M,
2014,Број,Zeničko-dobojski kanton,M,
2015,Број,Zeničko-dobojski kanton,M,
2016,Број,Zeničko-dobojski kanton,M,
2017,Број,Zeničko-dobojski kanton,M,
2018,Број,Zeničko-dobojski kanton,M,
2019,Број,Zeničko-dobojski kanton,M,
2010,Број,Zeničko-dobojski kanton,Ж,
2011,Број,Zeničko-dobojski kanton,Ж,
2012,Број,Zeničko-dobojski kanton,Ж,
2013,Број,Zeničko-dobojski kanton,Ж,
2014,Број,Zeničko-dobojski kanton,Ж,
2015,Број,Zeničko-dobojski kanton,Ж,
2016,Број,Zeničko-dobojski kanton,Ж,
2017,Број,Zeničko-dobojski kanton,Ж,
2018,Број,Zeničko-dobojski kanton,Ж,
2019,Број,Zeničko-dobojski kanton,Ж,
2010,Број,Bosansko-podrinjski kanton,Оба пола,1088.0
2011,Број,Bosansko-podrinjski kanton,Оба пола,1136.0
2012,Број,Bosansko-podrinjski kanton,Оба пола,1247.0
2013,Број,Bosansko-podrinjski kanton,Оба пола,1389.0
2014,Број,Bosansko-podrinjski kanton,Оба пола,1242.0
2015,Број,Bosansko-podrinjski kanton,Оба пола,1202.0
2016,Број,Bosansko-podrinjski kanton,Оба пола,1031.0
2017,Број,Bosansko-podrinjski kanton,Оба пола,948.0
2018,Број,Bosansko-podrinjski kanton,Оба пола,964.0
2019,Број,Bosansko-podrinjski kanton,Оба пола,896.0
2010,Број,Bosansko-podrinjski kanton,M,
2011,Број,Bosansko-podrinjski kanton,M,
2012,Број,Bosansko-podrinjski kanton,M,
2013,Број,Bosansko-podrinjski kanton,M,
2014,Број,Bosansko-podrinjski kanton,M,
2015,Број,Bosansko-podrinjski kanton,M,
2016,Број,Bosansko-podrinjski kanton,M,
2017,Број,Bosansko-podrinjski kanton,M,
2018,Број,Bosansko-podrinjski kanton,M,
2019,Број,Bosansko-podrinjski kanton,M,
2010,Број,Bosansko-podrinjski kanton,Ж,
2011,Број,Bosansko-podrinjski kanton,Ж,
2012,Број,Bosansko-podrinjski kanton,Ж,
2013,Број,Bosansko-podrinjski kanton,Ж,
2014,Број,Bosansko-podrinjski kanton,Ж,
2015,Број,Bosansko-podrinjski kanton,Ж,
2016,Број,Bosansko-podrinjski kanton,Ж,
2017,Број,Bosansko-podrinjski kanton,Ж,
2018,Број,Bosansko-podrinjski kanton,Ж,
2019,Број,Bosansko-podrinjski kanton,Ж,
2010,Број,Srednjobosanski kanton,Оба пола,10688.0
2011,Број,Srednjobosanski kanton,Оба пола,11531.0
