Year,UNIT_MEASURE,Admin_Area,Врста школе,Value
2016,Број,federation_of_bih,Гимназијe,
2016,Број,federation_of_bih,Средње техничке школе,
2016,Број,federation_of_bih,Средње стручне школе,
2016,Број,federation_of_bih,Умјетничке школе,
2016,Број,federation_of_bih,Вјерске школе,
2016,Број,federation_of_bih,Средње школе за ученике са сметњама у развоју,
2017,Број,federation_of_bih,Гимназијe,
2017,Број,federation_of_bih,Средње техничке школе,
2017,Број,federation_of_bih,Средње стручне школе,
2017,Број,federation_of_bih,Умјетничке школе,
2017,Број,federation_of_bih,Вјерске школе,
2017,Број,federation_of_bih,Средње школе за ученике са сметњама у развоју,
2018,Број,federation_of_bih,Гимназијe,
2018,Број,federation_of_bih,Средње техничке школе,
2018,Број,federation_of_bih,Средње стручне школе,
2018,Број,federation_of_bih,Умјетничке школе,
2018,Број,federation_of_bih,Вјерске школе,
2018,Број,federation_of_bih,Средње школе за ученике са сметњама у развоју,
2019,Број,federation_of_bih,Гимназијe,
2019,Број,federation_of_bih,Средње техничке школе,
2019,Број,federation_of_bih,Средње стручне школе,
2019,Број,federation_of_bih,Умјетничке школе,
2019,Број,federation_of_bih,Вјерске школе,
2019,Број,federation_of_bih,Средње школе за ученике са сметњама у развоју,
2020,Број,federation_of_bih,Гимназијe,
2020,Број,federation_of_bih,Средње техничке школе,
2020,Број,federation_of_bih,Средње стручне школе,
2020,Број,federation_of_bih,Умјетничке школе,
2020,Број,federation_of_bih,Вјерске школе,
2020,Број,federation_of_bih,Средње школе за ученике са сметњама у развоју,
2016,Број,una-sana_canton,Гимназијe,
2016,Број,una-sana_canton,Средње техничке школе,
2016,Број,una-sana_canton,Средње стручне школе,
2016,Број,una-sana_canton,Умјетничке школе,
2016,Број,una-sana_canton,Вјерске школе,
2016,Број,una-sana_canton,Средње школе за ученике са сметњама у развоју,
2017,Број,una-sana_canton,Гимназијe,
2017,Број,una-sana_canton,Средње техничке школе,
2017,Број,una-sana_canton,Средње стручне школе,
2017,Број,una-sana_canton,Умјетничке школе,
2017,Број,una-sana_canton,Вјерске школе,
2017,Број,una-sana_canton,Средње школе за ученике са сметњама у развоју,
2018,Број,una-sana_canton,Гимназијe,
2018,Број,una-sana_canton,Средње техничке школе,
2018,Број,una-sana_canton,Средње стручне школе,
2018,Број,una-sana_canton,Умјетничке школе,
2018,Број,una-sana_canton,Вјерске школе,
2018,Број,una-sana_canton,Средње школе за ученике са сметњама у развоју,
2019,Број,una-sana_canton,Гимназијe,
2019,Број,una-sana_canton,Средње техничке школе,
2019,Број,una-sana_canton,Средње стручне школе,
2019,Број,una-sana_canton,Умјетничке школе,
2019,Број,una-sana_canton,Вјерске школе,
2019,Број,una-sana_canton,Средње школе за ученике са сметњама у развоју,
2020,Број,una-sana_canton,Гимназијe,
2020,Број,una-sana_canton,Средње техничке школе,
