Year,UNIT_MEASURE,Административно подручје,Пол,Value
2016,Број,federation_of_bih,Оба пола,
2016,Број,federation_of_bih,M,
2016,Број,federation_of_bih,Ж,
2017,Број,federation_of_bih,Оба пола,
2017,Број,federation_of_bih,M,
2017,Број,federation_of_bih,Ж,
2018,Број,federation_of_bih,Оба пола,
2018,Број,federation_of_bih,M,
2018,Број,federation_of_bih,Ж,
2019,Број,federation_of_bih,Оба пола,
2019,Број,federation_of_bih,M,
2019,Број,federation_of_bih,Ж,
2020,Број,federation_of_bih,Оба пола,
2020,Број,federation_of_bih,M,
2020,Број,federation_of_bih,Ж,
2016,Број,una-sana_canton,Оба пола,
2016,Број,una-sana_canton,M,
2016,Број,una-sana_canton,Ж,
2017,Број,una-sana_canton,Оба пола,
2017,Број,una-sana_canton,M,
2017,Број,una-sana_canton,Ж,
2018,Број,una-sana_canton,Оба пола,
2018,Број,una-sana_canton,M,
2018,Број,una-sana_canton,Ж,
2019,Број,una-sana_canton,Оба пола,
2019,Број,una-sana_canton,M,
2019,Број,una-sana_canton,Ж,
2020,Број,una-sana_canton,Оба пола,
2020,Број,una-sana_canton,M,
2020,Број,una-sana_canton,Ж,
2016,Број,posavina_canton,Оба пола,
2016,Број,posavina_canton,M,
2016,Број,posavina_canton,Ж,
2017,Број,posavina_canton,Оба пола,
2017,Број,posavina_canton,M,
2017,Број,posavina_canton,Ж,
2018,Број,posavina_canton,Оба пола,
2018,Број,posavina_canton,M,
2018,Број,posavina_canton,Ж,
2019,Број,posavina_canton,Оба пола,
2019,Број,posavina_canton,M,
2019,Број,posavina_canton,Ж,
2020,Број,posavina_canton,Оба пола,
2020,Број,posavina_canton,M,
2020,Број,posavina_canton,Ж,
2016,Број,tuzla_canton,Оба пола,
2016,Број,tuzla_canton,M,
2016,Број,tuzla_canton,Ж,
2017,Број,tuzla_canton,Оба пола,
2017,Број,tuzla_canton,M,
2017,Број,tuzla_canton,Ж,
2018,Број,tuzla_canton,Оба пола,
2018,Број,tuzla_canton,M,
2018,Број,tuzla_canton,Ж,
2019,Број,tuzla_canton,Оба пола,
2019,Број,tuzla_canton,M,
2019,Број,tuzla_canton,Ж,
2020,Број,tuzla_canton,Оба пола,
2020,Број,tuzla_canton,M,
2020,Број,tuzla_canton,Ж,
2016,Број,zenica-doboj_canton,Оба пола,
2016,Број,zenica-doboj_canton,M,
2016,Број,zenica-doboj_canton,Ж,
2017,Број,zenica-doboj_canton,Оба пола,
2017,Број,zenica-doboj_canton,M,
2017,Број,zenica-doboj_canton,Ж,
2018,Број,zenica-doboj_canton,Оба пола,
2018,Број,zenica-doboj_canton,M,
2018,Број,zenica-doboj_canton,Ж,
2019,Број,zenica-doboj_canton,Оба пола,
2019,Број,zenica-doboj_canton,M,
2019,Број,zenica-doboj_canton,Ж,
2020,Број,zenica-doboj_canton,Оба пола,
2020,Број,zenica-doboj_canton,M,
