Year,UNIT_MEASURE,Административна јединица,Врста школе,Пол,Value
2016,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,218
2017,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,136
2018,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,232
2019,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,217
2020,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,181
2021,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,169
2022,Број,Федерација Босне и Херцеговине,Умјетничке школе,Оба пола,162
2016,Број,Унско-сански кантон,Умјетничке школе,Оба пола,28
2017,Број,Унско-сански кантон,Умјетничке школе,Оба пола,23
2018,Број,Унско-сански кантон,Умјетничке школе,Оба пола,18
2019,Број,Унско-сански кантон,Умјетничке школе,Оба пола,16
2020,Број,Унско-сански кантон,Умјетничке школе,Оба пола,8
2021,Број,Унско-сански кантон,Умјетничке школе,Оба пола,11
2022,Број,Унско-сански кантон,Умјетничке школе,Оба пола,14
2016,Број,Тузлански кантон,Умјетничке школе,Оба пола,26
2017,Број,Тузлански кантон,Умјетничке школе,Оба пола,15
2018,Број,Тузлански кантон,Умјетничке школе,Оба пола,38
2019,Број,Тузлански кантон,Умјетничке школе,Оба пола,43
2020,Број,Тузлански кантон,Умјетничке школе,Оба пола,47
2021,Број,Тузлански кантон,Умјетничке школе,Оба пола,33
2022,Број,Тузлански кантон,Умјетничке школе,Оба пола,38
2016,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,24
2017,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,16
2018,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,29
2019,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,6
2020,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,18
2021,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,8
2022,Број,Зеничко-добојски кантон,Умјетничке школе,Оба пола,8
2016,Број,Средњобосански кантон,Умјетничке школе,Оба пола,27
2017,Број,Средњобосански кантон,Умјетничке школе,Оба пола,19
2018,Број,Средњобосански кантон,Умјетничке школе,Оба пола,29
2019,Број,Средњобосански кантон,Умјетничке школе,Оба пола,23
2020,Број,Средњобосански кантон,Умјетничке школе,Оба пола,17
2021,Број,Средњобосански кантон,Умјетничке школе,Оба пола,8
2022,Број,Средњобосански кантон,Умјетничке школе,Оба пола,18
2016,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,37
2017,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,16
2018,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,38
2019,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,42
2020,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,29
2021,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,16
2022,Број,Херцеговачко-неретвански кантон,Умјетничке школе,Оба пола,14
2016,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,8
2017,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,5
2018,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,2
2019,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,5
2021,Број,Западнохерцеговчки кантон,Умјетничке школе,Оба пола,12
