Year,UNIT_MEASURE,Admin_Area,Пол,Value
2009,Број,federation_of_bih,Оба пола,71610
2010,Број,federation_of_bih,Оба пола,74594
2011,Број,federation_of_bih,Оба пола,74565
2012,Број,federation_of_bih,Оба пола,72460
2013,Број,federation_of_bih,Оба пола,72601
2014,Број,federation_of_bih,Оба пола,71873
2015,Број,federation_of_bih,Оба пола,72112
2016,Број,federation_of_bih,Оба пола,69969
2017,Број,federation_of_bih,Оба пола,66027
2018,Број,federation_of_bih,Оба пола,62285
2009,Број,federation_of_bih,M,31404
2010,Број,federation_of_bih,M,32651
2011,Број,federation_of_bih,M,32767
2012,Број,federation_of_bih,M,31970
2013,Број,federation_of_bih,M,31732
2014,Број,federation_of_bih,M,31305
2015,Број,federation_of_bih,M,31317
2016,Број,federation_of_bih,M,30064
2017,Број,federation_of_bih,M,28095
2018,Број,federation_of_bih,M,25544
2009,Број,federation_of_bih,Ж,40206
2010,Број,federation_of_bih,Ж,41943
2011,Број,federation_of_bih,Ж,41798
2012,Број,federation_of_bih,Ж,40490
2013,Број,federation_of_bih,Ж,40869
2014,Број,federation_of_bih,Ж,40568
2015,Број,federation_of_bih,Ж,40795
2016,Број,federation_of_bih,Ж,39905
2017,Број,federation_of_bih,Ж,37932
2018,Број,federation_of_bih,Ж,36741
2009,Број,una-sana_canton,Оба пола,5008
2010,Број,una-sana_canton,Оба пола,4732
2011,Број,una-sana_canton,Оба пола,4588
2012,Број,una-sana_canton,Оба пола,3896
2013,Број,una-sana_canton,Оба пола,3355
2014,Број,una-sana_canton,Оба пола,3038
2015,Број,una-sana_canton,Оба пола,3011
2016,Број,una-sana_canton,Оба пола,2894
2017,Број,una-sana_canton,Оба пола,2547
2018,Број,una-sana_canton,Оба пола,2322
2009,Број,una-sana_canton,M,2019
2010,Број,una-sana_canton,M,1946
2011,Број,una-sana_canton,M,1919
2012,Број,una-sana_canton,M,1647
2013,Број,una-sana_canton,M,1422
2014,Број,una-sana_canton,M,1307
2015,Број,una-sana_canton,M,1268
2016,Број,una-sana_canton,M,1216
2017,Број,una-sana_canton,M,1016
2018,Број,una-sana_canton,M,893
2009,Број,una-sana_canton,Ж,2989
2010,Број,una-sana_canton,Ж,2786
2011,Број,una-sana_canton,Ж,2669
2012,Број,una-sana_canton,Ж,2249
2013,Број,una-sana_canton,Ж,1933
2014,Број,una-sana_canton,Ж,1731
2015,Број,una-sana_canton,Ж,1743
2016,Број,una-sana_canton,Ж,1678
2017,Број,una-sana_canton,Ж,1531
2018,Број,una-sana_canton,Ж,1429
