Year,UNIT_MEASURE,Административна јединица,Врста образовања,Пол,Value
2016,Број,Федерација Босне и Херцеговине,Магистри наука,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Магистри наука,M,
2016,Број,Федерација Босне и Херцеговине,Магистри наука,Ж,
2017,Број,Федерација Босне и Херцеговине,Магистри наука,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Магистри наука,M,
2017,Број,Федерација Босне и Херцеговине,Магистри наука,Ж,
2018,Број,Федерација Босне и Херцеговине,Магистри наука,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Магистри наука,M,
2018,Број,Федерација Босне и Херцеговине,Магистри наука,Ж,
2019,Број,Федерација Босне и Херцеговине,Магистри наука,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Магистри наука,M,
2019,Број,Федерација Босне и Херцеговине,Магистри наука,Ж,
2020,Број,Федерација Босне и Херцеговине,Магистри наука,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Магистри наука,M,
2020,Број,Федерација Босне и Херцеговине,Магистри наука,Ж,
2016,Број,Федерација Босне и Херцеговине,Мастери,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Мастери,M,
2016,Број,Федерација Босне и Херцеговине,Мастери,Ж,
2017,Број,Федерација Босне и Херцеговине,Мастери,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Мастери,M,
2017,Број,Федерација Босне и Херцеговине,Мастери,Ж,
2018,Број,Федерација Босне и Херцеговине,Мастери,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Мастери,M,
2018,Број,Федерација Босне и Херцеговине,Мастери,Ж,
2019,Број,Федерација Босне и Херцеговине,Мастери,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Мастери,M,
2019,Број,Федерација Босне и Херцеговине,Мастери,Ж,
2020,Број,Федерација Босне и Херцеговине,Мастери,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Мастери,M,
2020,Број,Федерација Босне и Херцеговине,Мастери,Ж,
2016,Број,Федерација Босне и Херцеговине,Специјалисти,Оба пола,
2016,Број,Федерација Босне и Херцеговине,Специјалисти,M,
2016,Број,Федерација Босне и Херцеговине,Специјалисти,Ж,
2017,Број,Федерација Босне и Херцеговине,Специјалисти,Оба пола,
2017,Број,Федерација Босне и Херцеговине,Специјалисти,M,
2017,Број,Федерација Босне и Херцеговине,Специјалисти,Ж,
2018,Број,Федерација Босне и Херцеговине,Специјалисти,Оба пола,
2018,Број,Федерација Босне и Херцеговине,Специјалисти,M,
2018,Број,Федерација Босне и Херцеговине,Специјалисти,Ж,
2019,Број,Федерација Босне и Херцеговине,Специјалисти,Оба пола,
2019,Број,Федерација Босне и Херцеговине,Специјалисти,M,
2019,Број,Федерација Босне и Херцеговине,Специјалисти,Ж,
2020,Број,Федерација Босне и Херцеговине,Специјалисти,Оба пола,
2020,Број,Федерација Босне и Херцеговине,Специјалисти,M,
2020,Број,Федерација Босне и Херцеговине,Специјалисти,Ж,
2016,Број,Тузлански кантон,Магистри наука,Оба пола,
2016,Број,Тузлански кантон,Магистри наука,M,
2016,Број,Тузлански кантон,Магистри наука,Ж,
2017,Број,Тузлански кантон,Магистри наука,Оба пола,
2017,Број,Тузлански кантон,Магистри наука,M,
2017,Број,Тузлански кантон,Магистри наука,Ж,
2018,Број,Тузлански кантон,Магистри наука,Оба пола,
2018,Број,Тузлански кантон,Магистри наука,M,
2018,Број,Тузлански кантон,Магистри наука,Ж,
2019,Број,Тузлански кантон,Магистри наука,Оба пола,
2019,Број,Тузлански кантон,Магистри наука,M,
2019,Број,Тузлански кантон,Магистри наука,Ж,
2020,Број,Тузлански кантон,Магистри наука,Оба пола,
2020,Број,Тузлански кантон,Магистри наука,M,
2020,Број,Тузлански кантон,Магистри наука,Ж,
2016,Број,Тузлански кантон,Мастери,Оба пола,
2016,Број,Тузлански кантон,Мастери,M,
2016,Број,Тузлански кантон,Мастери,Ж,
2017,Број,Тузлански кантон,Мастери,Оба пола,
2017,Број,Тузлански кантон,Мастери,M,
2017,Број,Тузлански кантон,Мастери,Ж,
2018,Број,Тузлански кантон,Мастери,Оба пола,
2018,Број,Тузлански кантон,Мастери,M,
2018,Број,Тузлански кантон,Мастери,Ж,
2019,Број,Тузлански кантон,Мастери,Оба пола,
2019,Број,Тузлански кантон,Мастери,M,
2019,Број,Тузлански кантон,Мастери,Ж,
2020,Број,Тузлански кантон,Мастери,Оба пола,
2020,Број,Тузлански кантон,Мастери,M,
2020,Број,Тузлански кантон,Мастери,Ж,
2016,Број,Тузлански кантон,Специјалисти,Оба пола,
2016,Број,Тузлански кантон,Специјалисти,M,
2016,Број,Тузлански кантон,Специјалисти,Ж,
2017,Број,Тузлански кантон,Специјалисти,Оба пола,
2017,Број,Тузлански кантон,Специјалисти,M,
2017,Број,Тузлански кантон,Специјалисти,Ж,
2018,Број,Тузлански кантон,Специјалисти,Оба пола,
2018,Број,Тузлански кантон,Специјалисти,M,
2018,Број,Тузлански кантон,Специјалисти,Ж,
2019,Број,Тузлански кантон,Специјалисти,Оба пола,
2019,Број,Тузлански кантон,Специјалисти,M,
2019,Број,Тузлански кантон,Специјалисти,Ж,
2020,Број,Тузлански кантон,Специјалисти,Оба пола,
2020,Број,Тузлански кантон,Специјалисти,M,
2020,Број,Тузлански кантон,Специјалисти,Ж,
2016,Број,Унско-сански кантон,Магистри наука,Оба пола,
2016,Број,Унско-сански кантон,Магистри наука,M,
2016,Број,Унско-сански кантон,Магистри наука,Ж,
2017,Број,Унско-сански кантон,Магистри наука,Оба пола,
2017,Број,Унско-сански кантон,Магистри наука,M,
2017,Број,Унско-сански кантон,Магистри наука,Ж,
2018,Број,Унско-сански кантон,Магистри наука,Оба пола,
2018,Број,Унско-сански кантон,Магистри наука,M,
2018,Број,Унско-сански кантон,Магистри наука,Ж,
2019,Број,Унско-сански кантон,Магистри наука,Оба пола,
2019,Број,Унско-сански кантон,Магистри наука,M,
2019,Број,Унско-сански кантон,Магистри наука,Ж,
2020,Број,Унско-сански кантон,Магистри наука,Оба пола,
2020,Број,Унско-сански кантон,Магистри наука,M,
2020,Број,Унско-сански кантон,Магистри наука,Ж,
2016,Број,Унско-сански кантон,Мастери,Оба пола,
2016,Број,Унско-сански кантон,Мастери,M,
2016,Број,Унско-сански кантон,Мастери,Ж,
2017,Број,Унско-сански кантон,Мастери,Оба пола,
2017,Број,Унско-сански кантон,Мастери,M,
2017,Број,Унско-сански кантон,Мастери,Ж,
2018,Број,Унско-сански кантон,Мастери,Оба пола,
2018,Број,Унско-сански кантон,Мастери,M,
2018,Број,Унско-сански кантон,Мастери,Ж,
2019,Број,Унско-сански кантон,Мастери,Оба пола,
2019,Број,Унско-сански кантон,Мастери,M,
2019,Број,Унско-сански кантон,Мастери,Ж,
2020,Број,Унско-сански кантон,Мастери,Оба пола,
2020,Број,Унско-сански кантон,Мастери,M,
2020,Број,Унско-сански кантон,Мастери,Ж,
2016,Број,Унско-сански кантон,Специјалисти,Оба пола,
2016,Број,Унско-сански кантон,Специјалисти,M,
2016,Број,Унско-сански кантон,Специјалисти,Ж,
2017,Број,Унско-сански кантон,Специјалисти,Оба пола,
2017,Број,Унско-сански кантон,Специјалисти,M,
2017,Број,Унско-сански кантон,Специјалисти,Ж,
2018,Број,Унско-сански кантон,Специјалисти,Оба пола,
2018,Број,Унско-сански кантон,Специјалисти,M,
2018,Број,Унско-сански кантон,Специјалисти,Ж,
2019,Број,Унско-сански кантон,Специјалисти,Оба пола,
2019,Број,Унско-сански кантон,Специјалисти,M,
2019,Број,Унско-сански кантон,Специјалисти,Ж,
2020,Број,Унско-сански кантон,Специјалисти,Оба пола,
2020,Број,Унско-сански кантон,Специјалисти,M,
2020,Број,Унско-сански кантон,Специјалисти,Ж,
2016,Број,Зеничко-добојски кантон,Магистри наука,Оба пола,
2016,Број,Зеничко-добојски кантон,Магистри наука,M,
2016,Број,Зеничко-добојски кантон,Магистри наука,Ж,
2017,Број,Зеничко-добојски кантон,Магистри наука,Оба пола,
2017,Број,Зеничко-добојски кантон,Магистри наука,M,
2017,Број,Зеничко-добојски кантон,Магистри наука,Ж,
2018,Број,Зеничко-добојски кантон,Магистри наука,Оба пола,
2018,Број,Зеничко-добојски кантон,Магистри наука,M,
2018,Број,Зеничко-добојски кантон,Магистри наука,Ж,
2019,Број,Зеничко-добојски кантон,Магистри наука,Оба пола,
2019,Број,Зеничко-добојски кантон,Магистри наука,M,
2019,Број,Зеничко-добојски кантон,Магистри наука,Ж,
2020,Број,Зеничко-добојски кантон,Магистри наука,Оба пола,
2020,Број,Зеничко-добојски кантон,Магистри наука,M,
2020,Број,Зеничко-добојски кантон,Магистри наука,Ж,
2016,Број,Зеничко-добојски кантон,Мастери,Оба пола,
2016,Број,Зеничко-добојски кантон,Мастери,M,
2016,Број,Зеничко-добојски кантон,Мастери,Ж,
2017,Број,Зеничко-добојски кантон,Мастери,Оба пола,
2017,Број,Зеничко-добојски кантон,Мастери,M,
2017,Број,Зеничко-добојски кантон,Мастери,Ж,
2018,Број,Зеничко-добојски кантон,Мастери,Оба пола,
2018,Број,Зеничко-добојски кантон,Мастери,M,
2018,Број,Зеничко-добојски кантон,Мастери,Ж,
2019,Број,Зеничко-добојски кантон,Мастери,Оба пола,
2019,Број,Зеничко-добојски кантон,Мастери,M,
2019,Број,Зеничко-добојски кантон,Мастери,Ж,
2020,Број,Зеничко-добојски кантон,Мастери,Оба пола,
2020,Број,Зеничко-добојски кантон,Мастери,M,
2020,Број,Зеничко-добојски кантон,Мастери,Ж,
2016,Број,Зеничко-добојски кантон,Специјалисти,Оба пола,
2016,Број,Зеничко-добојски кантон,Специјалисти,M,
2016,Број,Зеничко-добојски кантон,Специјалисти,Ж,
