Year,UNIT_MEASURE,type_of_institution,Value
2011,Број,_T,
2012,Број,_T,
2013,Број,_T,
2014,Број,_T,
2015,Број,_T,
2016,Број,_T,
2017,Број,_T,
2018,Број,_T,
2019,Број,_T,
2020,Број,_T,
2011,Број,public,
2012,Број,public,
2013,Број,public,
2014,Број,public,
2015,Број,public,
2016,Број,public,
2017,Број,public,
2018,Број,public,
2019,Број,public,
2020,Број,public,
2011,Број,private,
2012,Број,private,
2013,Број,private,
2014,Број,private,
2015,Број,private,
2016,Број,private,
2017,Број,private,
2018,Број,private,
2019,Број,private,
2020,Број,private,
