Year,UNIT_MEASURE,Administrativna jedinica,scientific_field,Value
2010,Број,Federacija Bosne i Hercegovine,Образовање,
2010,Број,Federacija Bosne i Hercegovine,Умјетност и хуманистичке науке,
2010,Број,Federacija Bosne i Hercegovine,"social_sciences,_journalism_and_information",
2010,Број,Federacija Bosne i Hercegovine,"business,_administration_and_law",
2010,Број,Federacija Bosne i Hercegovine,"natural_sciences,_mathematics_and_statistics",
2010,Број,Federacija Bosne i Hercegovine,Информационе и комуникационе технологије,
2010,Број,Federacija Bosne i Hercegovine,"engineering,_production_and_construction",
2010,Број,Federacija Bosne i Hercegovine,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Federacija Bosne i Hercegovine,Здравство и социјална заштита,
2010,Број,Federacija Bosne i Hercegovine,Услуге,
2010,Број,Unsko-sanski kanton,Образовање,
2010,Број,Unsko-sanski kanton,Умјетност и хуманистичке науке,
2010,Број,Unsko-sanski kanton,"social_sciences,_journalism_and_information",
2010,Број,Unsko-sanski kanton,"business,_administration_and_law",
2010,Број,Unsko-sanski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Број,Unsko-sanski kanton,Информационе и комуникационе технологије,
2010,Број,Unsko-sanski kanton,"engineering,_production_and_construction",
2010,Број,Unsko-sanski kanton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Unsko-sanski kanton,Здравство и социјална заштита,
2010,Број,Unsko-sanski kanton,Услуге,
2010,Број,Tuzlanski kanton,Образовање,
2010,Број,Tuzlanski kanton,Умјетност и хуманистичке науке,
2010,Број,Tuzlanski kanton,"social_sciences,_journalism_and_information",
2010,Број,Tuzlanski kanton,"business,_administration_and_law",
2010,Број,Tuzlanski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Број,Tuzlanski kanton,Информационе и комуникационе технологије,
2010,Број,Tuzlanski kanton,"engineering,_production_and_construction",
2010,Број,Tuzlanski kanton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Tuzlanski kanton,Здравство и социјална заштита,
2010,Број,Tuzlanski kanton,Услуге,
2010,Број,Zeničko-dobojski kanton,Образовање,
2010,Број,Zeničko-dobojski kanton,Умјетност и хуманистичке науке,
2010,Број,Zeničko-dobojski kanton,"social_sciences,_journalism_and_information",
2010,Број,Zeničko-dobojski kanton,"business,_administration_and_law",
2010,Број,Zeničko-dobojski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Број,Zeničko-dobojski kanton,Информационе и комуникационе технологије,
2010,Број,Zeničko-dobojski kanton,"engineering,_production_and_construction",
2010,Број,Zeničko-dobojski kanton,"agriculture,_forestry,_fisheries_and_veterinary_medicine",
2010,Број,Zeničko-dobojski kanton,Здравство и социјална заштита,
2010,Број,Zeničko-dobojski kanton,Услуге,
2010,Број,Bosansko-podrinjski kanton,Образовање,
2010,Број,Bosansko-podrinjski kanton,Умјетност и хуманистичке науке,
2010,Број,Bosansko-podrinjski kanton,"social_sciences,_journalism_and_information",
2010,Број,Bosansko-podrinjski kanton,"business,_administration_and_law",
2010,Број,Bosansko-podrinjski kanton,"natural_sciences,_mathematics_and_statistics",
2010,Број,Bosansko-podrinjski kanton,Информационе и комуникационе технологије,
2010,Број,Bosansko-podrinjski kanton,"engineering,_production_and_construction",
