Year,UNIT_MEASURE,Врста образовања,Пол,Value
2017,Број,TOTAL,Оба пола,54
2017,Број,Образовање,Оба пола,4
2017,Број,humanities_and_arts,Оба пола,6
2017,Број,"social_sciences,_journalism_and_information",Оба пола,4
2017,Број,"business,_administration_and_law",Оба пола,1
2017,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,2
2017,Број,information_and_communication_technologie,Оба пола,14
2017,Број,"engineering,_production_and_construction",Оба пола,16
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,0
2017,Број,Здравство и социјална заштита,Оба пола,7
2017,Број,Услуге,Оба пола,0
2017,Број,TOTAL,M,37
2017,Број,Образовање,M,2
2017,Број,humanities_and_arts,M,3
2017,Број,"social_sciences,_journalism_and_information",M,3
2017,Број,"business,_administration_and_law",M,1
2017,Број,"natural_sciences,_mathematics_and_statistics",M,2
2017,Број,information_and_communication_technologie,M,10
2017,Број,"engineering,_production_and_construction",M,13
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",M,0
2017,Број,Здравство и социјална заштита,M,3
2017,Број,Услуге,M,0
2017,Број,TOTAL,Ж,17
2017,Број,Образовање,Ж,2
2017,Број,humanities_and_arts,Ж,3
2017,Број,"social_sciences,_journalism_and_information",Ж,1
2017,Број,"business,_administration_and_law",Ж,0
2017,Број,"natural_sciences,_mathematics_and_statistics",Ж,0
2017,Број,information_and_communication_technologie,Ж,4
2017,Број,"engineering,_production_and_construction",Ж,3
2017,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Ж,0
2017,Број,Здравство и социјална заштита,Ж,4
2017,Број,Услуге,Ж,0
2018,Број,TOTAL,Оба пола,43
2018,Број,Образовање,Оба пола,1
2018,Број,humanities_and_arts,Оба пола,3
2018,Број,"social_sciences,_journalism_and_information",Оба пола,3
2018,Број,"business,_administration_and_law",Оба пола,0
2018,Број,"natural_sciences,_mathematics_and_statistics",Оба пола,4
2018,Број,information_and_communication_technologie,Оба пола,14
2018,Број,"engineering,_production_and_construction",Оба пола,12
2018,Број,"agriculture,_forestry,_fisheries_and_veterinary_medicine: ",Оба пола,1
2018,Број,Здравство и социјална заштита,Оба пола,5
2018,Број,Услуге,Оба пола,0
2018,Број,TOTAL,M,28
2018,Број,Образовање,M,1
2018,Број,humanities_and_arts,M,1
2018,Број,"social_sciences,_journalism_and_information",M,3
2018,Број,"business,_administration_and_law",M,0
