Year,Value,UNIT_MEASURE
1996,6.5,Стопа нупцијалитета
1997,6.8,Стопа нупцијалитета
1998,6.7,Стопа нупцијалитета
1999,6.3,Стопа нупцијалитета
2000,6.0,Стопа нупцијалитета
2001,5.5,Стопа нупцијалитета
2002,5.6,Стопа нупцијалитета
2003,5.6,Стопа нупцијалитета
2004,5.9,Стопа нупцијалитета
2005,5.8,Стопа нупцијалитета
2006,5.6,Стопа нупцијалитета
2007,6.4,Стопа нупцијалитета
2008,6.4,Стопа нупцијалитета
2009,5.9,Стопа нупцијалитета
2010,5.6,Стопа нупцијалитета
2011,5.4,Стопа нупцијалитета
2012,5.2,Стопа нупцијалитета
2013,4.9,Стопа нупцијалитета
2014,5.4,Стопа нупцијалитета
2015,5.9,Стопа нупцијалитета
2016,5.8,Стопа нупцијалитета
2017,5.9,Стопа нупцијалитета
2018,5.9,Стопа нупцијалитета
2019,5.6,Стопа нупцијалитета
