Year,UNIT_MEASURE,Sex,AGE,Cause_of_death,Value
2008,NUMBER,_T,T,diseases_of_the_eye,1.0
2008,NUMBER,_T,T,pregnancy_childbirth_and_the,3.0
2008,NUMBER,_T,T,infectious_and_parasitic,154.0
2008,NUMBER,_T,T,neoplasms,3832.0
2008,NUMBER,_T,T,diseases_of_the_blood,27.0
2008,NUMBER,_T,T,endocrine_metabolic_and_nutritional,774.0
2008,NUMBER,_T,T,mental_and_behavioural_disorders,61.0
2008,NUMBER,_T,T,diseases_of_the_nervous,141.0
2008,NUMBER,_T,T,diseases_of_the_circulatory,10509.0
2008,NUMBER,_T,T,diseases_of_the_respiratory,558.0
2008,NUMBER,_T,T,diseases_of_the_digestive,468.0
2008,NUMBER,_T,T,diseases_of_the_skin,8.0
2008,NUMBER,_T,T,diseases_of_the_musculoskeletal,23.0
2008,NUMBER,_T,T,diseases_of_the_genitourinary,279.0
2008,NUMBER,_T,T,certain_conditions_originating,116.0
2008,NUMBER,_T,T,congenital_malformations_deformations,46.0
2008,NUMBER,_T,T,symptoms_signs_and_abnormal,1062.0
2008,NUMBER,_T,T,unknown,813.0
2008,NUMBER,_T,T,injuries_poisoning_and_consequences,605.0
2008,NUMBER,M,T,pregnancy_childbirth_and_the,0.0
2008,NUMBER,M,T,diseases_of_the_eye,0.0
2008,NUMBER,M,T,diseases_of_the_skin,3.0
2008,NUMBER,M,T,injuries_poisoning_and_consequences,483.0
2008,NUMBER,M,T,infectious_and_parasitic,96.0
2008,NUMBER,M,T,neoplasms,2286.0
2008,NUMBER,M,T,diseases_of_the_blood,12.0
2008,NUMBER,M,T,endocrine_metabolic_and_nutritional,298.0
2008,NUMBER,M,T,mental_and_behavioural_disorders,38.0
2008,NUMBER,M,T,diseases_of_the_nervous,76.0
2008,NUMBER,M,T,diseases_of_the_circulatory,4949.0
2008,NUMBER,M,T,diseases_of_the_respiratory,336.0
2008,NUMBER,M,T,diseases_of_the_digestive,270.0
2008,NUMBER,M,T,diseases_of_the_musculoskeletal,11.0
2008,NUMBER,M,T,diseases_of_the_genitourinary,137.0
2008,NUMBER,M,T,certain_conditions_originating,63.0
2008,NUMBER,M,T,congenital_malformations_deformations,27.0
2008,NUMBER,M,T,symptoms_signs_and_abnormal,542.0
2008,NUMBER,M,T,unknown,443.0
2008,NUMBER,F,T,diseases_of_the_eye,1.0
2008,NUMBER,F,T,pregnancy_childbirth_and_the,3.0
2008,NUMBER,F,T,diseases_of_the_skin,5.0
2008,NUMBER,F,T,infectious_and_parasitic,58.0
2008,NUMBER,F,T,neoplasms,1546.0
2008,NUMBER,F,T,diseases_of_the_blood,15.0
2008,NUMBER,F,T,endocrine_metabolic_and_nutritional,476.0
2008,NUMBER,F,T,mental_and_behavioural_disorders,23.0
2008,NUMBER,F,T,diseases_of_the_nervous,65.0
2008,NUMBER,F,T,diseases_of_the_circulatory,5560.0
2008,NUMBER,F,T,diseases_of_the_respiratory,222.0
2008,NUMBER,F,T,diseases_of_the_digestive,198.0
2008,NUMBER,F,T,diseases_of_the_musculoskeletal,12.0
2008,NUMBER,F,T,diseases_of_the_genitourinary,142.0
2008,NUMBER,F,T,certain_conditions_originating,53.0
2008,NUMBER,F,T,congenital_malformations_deformations,19.0
2008,NUMBER,F,T,symptoms_signs_and_abnormal,520.0
2008,NUMBER,F,T,injuries_poisoning_and_consequences,122.0
2008,NUMBER,F,T,unknown,370.0
2008,NUMBER,_T,0,diseases_of_the_skin,0.0
2008,NUMBER,_T,0,diseases_of_the_eye,0.0
2008,NUMBER,_T,0,pregnancy_childbirth_and_the,0.0
2008,NUMBER,_T,0,diseases_of_the_blood,0.0
2008,NUMBER,_T,0,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,_T,0,mental_and_behavioural_disorders,0.0
2008,NUMBER,_T,0,neoplasms,0.0
2008,NUMBER,_T,0,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,_T,0,diseases_of_the_nervous,0.0
2008,NUMBER,_T,0,diseases_of_the_genitourinary,0.0
2008,NUMBER,_T,0,injuries_poisoning_and_consequences,2.0
2008,NUMBER,_T,0,diseases_of_the_respiratory,3.0
2008,NUMBER,_T,0,diseases_of_the_digestive,3.0
2008,NUMBER,_T,0,symptoms_signs_and_abnormal,10.0
2008,NUMBER,_T,0,certain_conditions_originating,116.0
2008,NUMBER,_T,0,congenital_malformations_deformations,35.0
2008,NUMBER,_T,0,unknown,9.0
2008,NUMBER,_T,0,diseases_of_the_circulatory,11.0
2008,NUMBER,_T,0,infectious_and_parasitic,5.0
2008,NUMBER,M,0,neoplasms,0.0
2008,NUMBER,M,0,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,M,0,diseases_of_the_nervous,0.0
2008,NUMBER,M,0,diseases_of_the_genitourinary,0.0
2008,NUMBER,M,0,mental_and_behavioural_disorders,0.0
2008,NUMBER,M,0,pregnancy_childbirth_and_the,0.0
2008,NUMBER,M,0,diseases_of_the_eye,0.0
2008,NUMBER,M,0,diseases_of_the_blood,0.0
2008,NUMBER,M,0,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,M,0,diseases_of_the_skin,0.0
2008,NUMBER,M,0,injuries_poisoning_and_consequences,1.0
2008,NUMBER,M,0,infectious_and_parasitic,2.0
2008,NUMBER,M,0,diseases_of_the_respiratory,2.0
2008,NUMBER,M,0,diseases_of_the_digestive,3.0
2008,NUMBER,M,0,unknown,4.0
2008,NUMBER,M,0,certain_conditions_originating,63.0
2008,NUMBER,M,0,congenital_malformations_deformations,22.0
2008,NUMBER,M,0,symptoms_signs_and_abnormal,7.0
2008,NUMBER,M,0,diseases_of_the_circulatory,6.0
2008,NUMBER,F,0,diseases_of_the_skin,0.0
2008,NUMBER,F,0,neoplasms,0.0
2008,NUMBER,F,0,diseases_of_the_blood,0.0
2008,NUMBER,F,0,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,F,0,mental_and_behavioural_disorders,0.0
2008,NUMBER,F,0,diseases_of_the_nervous,0.0
2008,NUMBER,F,0,diseases_of_the_eye,0.0
2008,NUMBER,F,0,diseases_of_the_digestive,0.0
2008,NUMBER,F,0,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,F,0,diseases_of_the_genitourinary,0.0
2008,NUMBER,F,0,pregnancy_childbirth_and_the,0.0
2008,NUMBER,F,0,diseases_of_the_respiratory,1.0
2008,NUMBER,F,0,injuries_poisoning_and_consequences,1.0
2008,NUMBER,F,0,infectious_and_parasitic,3.0
2008,NUMBER,F,0,symptoms_signs_and_abnormal,3.0
2008,NUMBER,F,0,diseases_of_the_circulatory,5.0
2008,NUMBER,F,0,unknown,5.0
2008,NUMBER,F,0,certain_conditions_originating,53.0
2008,NUMBER,F,0,congenital_malformations_deformations,13.0
2008,NUMBER,_T, 1-4,certain_conditions_originating,0.0
2008,NUMBER,_T, 1-4,diseases_of_the_skin,0.0
2008,NUMBER,_T, 1-4,diseases_of_the_eye,0.0
2008,NUMBER,_T, 1-4,pregnancy_childbirth_and_the,0.0
2008,NUMBER,_T, 1-4,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,_T, 1-4,mental_and_behavioural_disorders,0.0
2008,NUMBER,_T, 1-4,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,_T, 1-4,diseases_of_the_digestive,0.0
2008,NUMBER,_T, 1-4,symptoms_signs_and_abnormal,0.0
2008,NUMBER,_T, 1-4,diseases_of_the_blood,1.0
2008,NUMBER,_T, 1-4,diseases_of_the_nervous,1.0
2008,NUMBER,_T, 1-4,diseases_of_the_respiratory,1.0
2008,NUMBER,_T, 1-4,diseases_of_the_genitourinary,1.0
2008,NUMBER,_T, 1-4,infectious_and_parasitic,2.0
2008,NUMBER,_T, 1-4,unknown,2.0
2008,NUMBER,_T, 1-4,neoplasms,3.0
2008,NUMBER,_T, 1-4,congenital_malformations_deformations,4.0
2008,NUMBER,_T, 1-4,diseases_of_the_circulatory,6.0
2008,NUMBER,_T, 1-4,injuries_poisoning_and_consequences,6.0
2008,NUMBER,M, 1-4,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,M, 1-4,diseases_of_the_nervous,0.0
2008,NUMBER,M, 1-4,diseases_of_the_digestive,0.0
2008,NUMBER,M, 1-4,symptoms_signs_and_abnormal,0.0
2008,NUMBER,M, 1-4,unknown,0.0
2008,NUMBER,M, 1-4,mental_and_behavioural_disorders,0.0
2008,NUMBER,M, 1-4,pregnancy_childbirth_and_the,0.0
2008,NUMBER,M, 1-4,diseases_of_the_eye,0.0
2008,NUMBER,M, 1-4,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,M, 1-4,diseases_of_the_skin,0.0
2008,NUMBER,M, 1-4,certain_conditions_originating,0.0
2008,NUMBER,M, 1-4,diseases_of_the_blood,1.0
2008,NUMBER,M, 1-4,diseases_of_the_respiratory,1.0
2008,NUMBER,M, 1-4,diseases_of_the_genitourinary,1.0
2008,NUMBER,M, 1-4,infectious_and_parasitic,2.0
2008,NUMBER,M, 1-4,neoplasms,2.0
2008,NUMBER,M, 1-4,diseases_of_the_circulatory,2.0
2008,NUMBER,M, 1-4,congenital_malformations_deformations,3.0
2008,NUMBER,M, 1-4,injuries_poisoning_and_consequences,5.0
2008,NUMBER,F, 1-4,certain_conditions_originating,0.0
2008,NUMBER,F, 1-4,diseases_of_the_skin,0.0
2008,NUMBER,F, 1-4,infectious_and_parasitic,0.0
2008,NUMBER,F, 1-4,diseases_of_the_blood,0.0
2008,NUMBER,F, 1-4,endocrine_metabolic_and_nutritional,0.0
2008,NUMBER,F, 1-4,mental_and_behavioural_disorders,0.0
2008,NUMBER,F, 1-4,diseases_of_the_eye,0.0
2008,NUMBER,F, 1-4,diseases_of_the_respiratory,0.0
2008,NUMBER,F, 1-4,diseases_of_the_digestive,0.0
2008,NUMBER,F, 1-4,diseases_of_the_musculoskeletal,0.0
2008,NUMBER,F, 1-4,diseases_of_the_genitourinary,0.0
2008,NUMBER,F, 1-4,pregnancy_childbirth_and_the,0.0
