Year,UNIT_MEASURE,Sex,Value
2006,NUMBER,M,39.5
2007,NUMBER,M,39.0
2008,NUMBER,M,38.8
2009,NUMBER,M,39.6
2010,NUMBER,M,40.3
2011,NUMBER,M,41.4
2012,NUMBER,M,42.3
2013,NUMBER,M,39.1
2014,NUMBER,M,40.1
2015,NUMBER,M,40.0
2016,NUMBER,M,40.3
2017,NUMBER,M,40.8
2018,NUMBER,M,40.1
2019,NUMBER,M,40.8
2020,NUMBER,M,40.6
2021,NUMBER,M,40.5
2022,NUMBER,M,41.4
2023,NUMBER,M,41.1
2006,NUMBER,F,35.7
2007,NUMBER,F,35.5
2008,NUMBER,F,35.4
2009,NUMBER,F,35.8
2010,NUMBER,F,36.6
2011,NUMBER,F,39.2
2012,NUMBER,F,36.8
2013,NUMBER,F,35.3
2014,NUMBER,F,35.6
2015,NUMBER,F,36.2
2016,NUMBER,F,36.5
2017,NUMBER,F,37.0
2018,NUMBER,F,36.4
2019,NUMBER,F,36.9
2020,NUMBER,F,36.6
2021,NUMBER,F,36.7
2022,NUMBER,F,37.8
2023,NUMBER,F,37.6
