Year,UNIT_MEASURE,Admin_Area,Value
1996,NUMBER,federation_of_bih,14019
1996,NUMBER,una-sana_canton,2499
1996,NUMBER,posavina_canton,138
1996,NUMBER,tuzla_canton,2245
1996,NUMBER,zenica-doboj_canton,2907
1996,NUMBER,bosnian-podrinje_canton,263
1996,NUMBER,central_bosnia_canton,1919
1996,NUMBER,herzegovina-neretva_canton,1097
1996,NUMBER,west_herzegovina_canton,413
1996,NUMBER,sarajevo_canton,2238
1996,NUMBER,canton_10,300
1997,NUMBER,federation_of_bih,15352
1997,NUMBER,una-sana_canton,2890
1997,NUMBER,posavina_canton,143
1997,NUMBER,tuzla_canton,2310
1997,NUMBER,zenica-doboj_canton,3000
1997,NUMBER,bosnian-podrinje_canton,228
1997,NUMBER,central_bosnia_canton,2038
1997,NUMBER,herzegovina-neretva_canton,1243
1997,NUMBER,west_herzegovina_canton,476
1997,NUMBER,sarajevo_canton,2631
1997,NUMBER,canton_10,393
1998,NUMBER,federation_of_bih,14218
1998,NUMBER,una-sana_canton,2394
1998,NUMBER,posavina_canton,107
1998,NUMBER,tuzla_canton,2237
1998,NUMBER,zenica-doboj_canton,2918
1998,NUMBER,bosnian-podrinje_canton,216
1998,NUMBER,central_bosnia_canton,1860
1998,NUMBER,herzegovina-neretva_canton,1174
1998,NUMBER,west_herzegovina_canton,424
1998,NUMBER,sarajevo_canton,2506
1998,NUMBER,canton_10,382
1999,NUMBER,federation_of_bih,13804
1999,NUMBER,una-sana_canton,2257
1999,NUMBER,posavina_canton,269
1999,NUMBER,tuzla_canton,2261
1999,NUMBER,zenica-doboj_canton,3080
1999,NUMBER,bosnian-podrinje_canton,223
1999,NUMBER,central_bosnia_canton,1841
1999,NUMBER,herzegovina-neretva_canton,724
1999,NUMBER,west_herzegovina_canton,255
1999,NUMBER,sarajevo_canton,2503
1999,NUMBER,canton_10,391
2000,NUMBER,federation_of_bih,13752
2000,NUMBER,una-sana_canton,1982
2000,NUMBER,posavina_canton,285
2000,NUMBER,tuzla_canton,2644
2000,NUMBER,zenica-doboj_canton,2676
2000,NUMBER,bosnian-podrinje_canton,180
2000,NUMBER,central_bosnia_canton,1688
2000,NUMBER,herzegovina-neretva_canton,1088
2000,NUMBER,west_herzegovina_canton,261
2000,NUMBER,sarajevo_canton,2596
2000,NUMBER,canton_10,352
2001,NUMBER,federation_of_bih,12619
2001,NUMBER,una-sana_canton,1913
2001,NUMBER,posavina_canton,268
2001,NUMBER,tuzla_canton,2365
2001,NUMBER,zenica-doboj_canton,2488
2001,NUMBER,bosnian-podrinje_canton,160
2001,NUMBER,central_bosnia_canton,1557
2001,NUMBER,herzegovina-neretva_canton,1010
2001,NUMBER,west_herzegovina_canton,265
2001,NUMBER,sarajevo_canton,2278
2001,NUMBER,canton_10,315
2002,NUMBER,federation_of_bih,12731
2002,NUMBER,una-sana_canton,1952
2002,NUMBER,posavina_canton,246
2002,NUMBER,tuzla_canton,2619
2002,NUMBER,zenica-doboj_canton,2406
2002,NUMBER,bosnian-podrinje_canton,153
2002,NUMBER,central_bosnia_canton,1526
2002,NUMBER,herzegovina-neretva_canton,1018
2002,NUMBER,west_herzegovina_canton,237
2002,NUMBER,sarajevo_canton,2266
2002,NUMBER,canton_10,308
2003,NUMBER,federation_of_bih,12917
2003,NUMBER,una-sana_canton,1994
2003,NUMBER,posavina_canton,220
2003,NUMBER,tuzla_canton,2650
2003,NUMBER,zenica-doboj_canton,2405
2003,NUMBER,bosnian-podrinje_canton,138
2003,NUMBER,central_bosnia_canton,1468
2003,NUMBER,herzegovina-neretva_canton,992
2003,NUMBER,west_herzegovina_canton,405
2003,NUMBER,sarajevo_canton,2312
2003,NUMBER,canton_10,333
2004,NUMBER,federation_of_bih,13573
2004,NUMBER,una-sana_canton,2179
2004,NUMBER,posavina_canton,261
2004,NUMBER,tuzla_canton,2598
2004,NUMBER,zenica-doboj_canton,2561
2004,NUMBER,bosnian-podrinje_canton,157
2004,NUMBER,central_bosnia_canton,1504
2004,NUMBER,herzegovina-neretva_canton,1133
2004,NUMBER,west_herzegovina_canton,369
2004,NUMBER,sarajevo_canton,2513
2004,NUMBER,canton_10,298
2005,NUMBER,federation_of_bih,13526
2005,NUMBER,una-sana_canton,2009
2005,NUMBER,posavina_canton,217
2005,NUMBER,tuzla_canton,2590
2005,NUMBER,zenica-doboj_canton,2524
2005,NUMBER,bosnian-podrinje_canton,141
2005,NUMBER,central_bosnia_canton,1544
2005,NUMBER,herzegovina-neretva_canton,1161
2005,NUMBER,west_herzegovina_canton,415
2005,NUMBER,sarajevo_canton,2617
