Year,Type_of_disability,SEX,AGE,UNIT_MEASURE,Value
2013.0,Seeing,_T,0-14,NUMBER,1084.0
2013.0,Hearing,_T,0-14,NUMBER,262.0
2013.0,walking_or_climbing_up_the_stairs,_T,0-14,NUMBER,671.0
2013.0,remembering_or_concentration,_T,0-14,NUMBER,200.0
2013.0,self_care,_T,0-14,NUMBER,164.0
2013.0,Communication,_T,0-14,NUMBER,318.0
2013.0,multiple_disabilities,_T,0-14,NUMBER,1826.0
2013.0,Seeing,_T,15-19,NUMBER,862.0
2013.0,Hearing,_T,15-19,NUMBER,191.0
2013.0,walking_or_climbing_up_the_stairs,_T,15-19,NUMBER,478.0
2013.0,remembering_or_concentration,_T,15-19,NUMBER,129.0
2013.0,self_care,_T,15-19,NUMBER,32.0
2013.0,Communication,_T,15-19,NUMBER,112.0
2013.0,multiple_disabilities,_T,15-19,NUMBER,1082.0
2013.0,Seeing,_T,20-29,NUMBER,1819.0
2013.0,Hearing,_T,20-29,NUMBER,370.0
2013.0,walking_or_climbing_up_the_stairs,_T,20-29,NUMBER,1350.0
2013.0,remembering_or_concentration,_T,20-29,NUMBER,380.0
2013.0,self_care,_T,20-29,NUMBER,72.0
2013.0,Communication,_T,20-29,NUMBER,208.0
2013.0,multiple_disabilities,_T,20-29,NUMBER,2199.0
2013.0,Seeing,_T,30-49,NUMBER,7841.0
2013.0,Hearing,_T,30-49,NUMBER,2460.0
2013.0,walking_or_climbing_up_the_stairs,_T,30-49,NUMBER,15862.0
2013.0,remembering_or_concentration,_T,30-49,NUMBER,2337.0
2013.0,self_care,_T,30-49,NUMBER,319.0
2013.0,Communication,_T,30-49,NUMBER,683.0
2013.0,multiple_disabilities,_T,30-49,NUMBER,10694.0
2013.0,Seeing,_T,50-59,NUMBER,12870.0
2013.0,Hearing,_T,50-59,NUMBER,3498.0
2013.0,walking_or_climbing_up_the_stairs,_T,50-59,NUMBER,21484.0
2013.0,remembering_or_concentration,_T,50-59,NUMBER,2035.0
2013.0,self_care,_T,50-59,NUMBER,259.0
2013.0,Communication,_T,50-59,NUMBER,488.0
2013.0,multiple_disabilities,_T,50-59,NUMBER,16861.0
2013.0,Seeing,_T,60-64,NUMBER,7189.0
2013.0,Hearing,_T,60-64,NUMBER,2289.0
2013.0,walking_or_climbing_up_the_stairs,_T,60-64,NUMBER,12727.0
2013.0,remembering_or_concentration,_T,60-64,NUMBER,870.0
2013.0,self_care,_T,60-64,NUMBER,100.0
2013.0,Communication,_T,60-64,NUMBER,259.0
2013.0,multiple_disabilities,_T,60-64,NUMBER,11125.0
2013.0,Seeing,_T,60-64,NUMBER,20636.0
2013.0,Hearing,_T,60-64,NUMBER,12505.0
2013.0,walking_or_climbing_up_the_stairs,_T,60-64,NUMBER,44406.0
2013.0,remembering_or_concentration,_T,60-64,NUMBER,2836.0
2013.0,self_care,_T,60-64,NUMBER,587.0
2013.0,Communication,_T,60-64,NUMBER,586.0
2013.0,multiple_disabilities,_T,60-64,NUMBER,66443.0
2013.0,Seeing,_T,65+,NUMBER,20636.0
2013.0,Hearing,_T,65+,NUMBER,12505.0
2013.0,walking_or_climbing_up_the_stairs,_T,65+,NUMBER,44406.0
2013.0,remembering_or_concentration,_T,65+,NUMBER,2836.0
2013.0,self_care,_T,65+,NUMBER,587.0
2013.0,Communication,_T,65+,NUMBER,586.0
2013.0,multiple_disabilities,_T,65+,NUMBER,66443.0
2013.0,Seeing,M,0-14,NUMBER,571.0
2013.0,Hearing,M,0-14,NUMBER,146.0
