Year,UNIT_MEASURE,ADMIN_AREA,SEX,Value
2010,NUMBER,federation_of_bih,_T,10179
2010,NUMBER,una-sana_canton,_T,996
2010,NUMBER,posavina_canton,_T,117
2010,NUMBER,tuzla_canton,_T,1865
2010,NUMBER,zenica-doboj_canton,_T,1032
2010,NUMBER,bosnian-podrinje_canton,_T,158
2010,NUMBER,central_bosnia_canton,_T,703
2010,NUMBER,herzegovina-neretva_canton,_T,1445
2010,NUMBER,west_herzegovina_canton,_T,679
2010,NUMBER,sarajevo_canton,_T,2811
2010,NUMBER,canton_10,_T,373
2010,NUMBER,federation_of_bih,M,5359
2010,NUMBER,una-sana_canton,M,534
2010,NUMBER,posavina_canton,M,55
2010,NUMBER,tuzla_canton,M,953
2010,NUMBER,zenica-doboj_canton,M,563
2010,NUMBER,bosnian-podrinje_canton,M,82
2010,NUMBER,central_bosnia_canton,M,400
2010,NUMBER,herzegovina-neretva_canton,M,746
2010,NUMBER,west_herzegovina_canton,M,372
2010,NUMBER,sarajevo_canton,M,1456
2010,NUMBER,canton_10,M,198
2010,NUMBER,federation_of_bih,F,4820
2010,NUMBER,una-sana_canton,F,462
2010,NUMBER,posavina_canton,F,62
2010,NUMBER,tuzla_canton,F,912
2010,NUMBER,zenica-doboj_canton,F,469
2010,NUMBER,bosnian-podrinje_canton,F,76
2010,NUMBER,central_bosnia_canton,F,303
2010,NUMBER,herzegovina-neretva_canton,F,699
2010,NUMBER,west_herzegovina_canton,F,307
2010,NUMBER,sarajevo_canton,F,1355
2010,NUMBER,canton_10,F,175
2011,NUMBER,federation_of_bih,_T,10179
2011,NUMBER,una-sana_canton,_T,996
2011,NUMBER,posavina_canton,_T,117
2011,NUMBER,tuzla_canton,_T,1865
2011,NUMBER,zenica-doboj_canton,_T,1032
2011,NUMBER,bosnian-podrinje_canton,_T,158
2011,NUMBER,central_bosnia_canton,_T,703
2011,NUMBER,herzegovina-neretva_canton,_T,1445
2011,NUMBER,west_herzegovina_canton,_T,679
2011,NUMBER,sarajevo_canton,_T,2811
2011,NUMBER,canton_10,_T,373
2011,NUMBER,federation_of_bih,M,5359
2011,NUMBER,una-sana_canton,M,534
2011,NUMBER,posavina_canton,M,55
2011,NUMBER,tuzla_canton,M,953
2011,NUMBER,zenica-doboj_canton,M,563
2011,NUMBER,bosnian-podrinje_canton,M,82
2011,NUMBER,central_bosnia_canton,M,400
2011,NUMBER,herzegovina-neretva_canton,M,746
2011,NUMBER,west_herzegovina_canton,M,372
2011,NUMBER,sarajevo_canton,M,1456
2011,NUMBER,canton_10,M,198
2011,NUMBER,federation_of_bih,F,4820
2011,NUMBER,una-sana_canton,F,462
2011,NUMBER,posavina_canton,F,62
2011,NUMBER,tuzla_canton,F,912
2011,NUMBER,zenica-doboj_canton,F,469
2011,NUMBER,bosnian-podrinje_canton,F,76
2011,NUMBER,central_bosnia_canton,F,303
2011,NUMBER,herzegovina-neretva_canton,F,699
2011,NUMBER,west_herzegovina_canton,F,307
2011,NUMBER,sarajevo_canton,F,1355
2011,NUMBER,canton_10,F,175
2012,NUMBER,federation_of_bih,_T,10969
2012,NUMBER,una-sana_canton,_T,1065
2012,NUMBER,posavina_canton,_T,141
2012,NUMBER,tuzla_canton,_T,2011
2012,NUMBER,zenica-doboj_canton,_T,1251
2012,NUMBER,bosnian-podrinje_canton,_T,192
2012,NUMBER,central_bosnia_canton,_T,656
2012,NUMBER,herzegovina-neretva_canton,_T,1421
2012,NUMBER,west_herzegovina_canton,_T,756
2012,NUMBER,sarajevo_canton,_T,3101
2012,NUMBER,canton_10,_T,375
2012,NUMBER,federation_of_bih,M,5700
2012,NUMBER,una-sana_canton,M,564
2012,NUMBER,posavina_canton,M,91
2012,NUMBER,tuzla_canton,M,1096
2012,NUMBER,zenica-doboj_canton,M,651
2012,NUMBER,bosnian-podrinje_canton,M,92
2012,NUMBER,central_bosnia_canton,M,332
2012,NUMBER,herzegovina-neretva_canton,M,721
2012,NUMBER,west_herzegovina_canton,M,411
2012,NUMBER,sarajevo_canton,M,1550
2012,NUMBER,canton_10,M,192
2012,NUMBER,federation_of_bih,F,5269
2012,NUMBER,una-sana_canton,F,501
2012,NUMBER,posavina_canton,F,50
2012,NUMBER,tuzla_canton,F,915
2012,NUMBER,zenica-doboj_canton,F,600
2012,NUMBER,bosnian-podrinje_canton,F,100
2012,NUMBER,central_bosnia_canton,F,324
2012,NUMBER,herzegovina-neretva_canton,F,700
2012,NUMBER,west_herzegovina_canton,F,345
2012,NUMBER,sarajevo_canton,F,1551
2012,NUMBER,canton_10,F,183
2013,NUMBER,federation_of_bih,_T,156
2013,NUMBER,una-sana_canton,_T,14
2013,NUMBER,posavina_canton,_T,3
2013,NUMBER,tuzla_canton,_T,21
2013,NUMBER,zenica-doboj_canton,_T,24
2013,NUMBER,bosnian-podrinje_canton,_T,2
2013,NUMBER,central_bosnia_canton,_T,12
2013,NUMBER,herzegovina-neretva_canton,_T,22
2013,NUMBER,west_herzegovina_canton,_T,12
2013,NUMBER,sarajevo_canton,_T,40
2013,NUMBER,canton_10,_T,6
2013,NUMBER,federation_of_bih,M,6229
2013,NUMBER,una-sana_canton,M,587
2013,NUMBER,posavina_canton,M,74
2013,NUMBER,tuzla_canton,M,1054
2013,NUMBER,zenica-doboj_canton,M,711
2013,NUMBER,bosnian-podrinje_canton,M,91
2013,NUMBER,central_bosnia_canton,M,290
2013,NUMBER,herzegovina-neretva_canton,M,780
2013,NUMBER,west_herzegovina_canton,M,424
2013,NUMBER,sarajevo_canton,M,2028
2013,NUMBER,canton_10,M,190
2013,NUMBER,federation_of_bih,F,5579
2013,NUMBER,una-sana_canton,F,533
2013,NUMBER,posavina_canton,F,68
2013,NUMBER,tuzla_canton,F,858
2013,NUMBER,zenica-doboj_canton,F,687
2013,NUMBER,bosnian-podrinje_canton,F,80
2013,NUMBER,central_bosnia_canton,F,318
2013,NUMBER,herzegovina-neretva_canton,F,739
2013,NUMBER,west_herzegovina_canton,F,371
2013,NUMBER,sarajevo_canton,F,1745
2013,NUMBER,canton_10,F,180
2014,NUMBER,federation_of_bih,_T,12737
2014,NUMBER,una-sana_canton,_T,1244
2014,NUMBER,posavina_canton,_T,149
2014,NUMBER,tuzla_canton,_T,2033
2014,NUMBER,zenica-doboj_canton,_T,1406
2014,NUMBER,bosnian-podrinje_canton,_T,139
2014,NUMBER,central_bosnia_canton,_T,821
2014,NUMBER,herzegovina-neretva_canton,_T,1794
2014,NUMBER,west_herzegovina_canton,_T,789
2014,NUMBER,sarajevo_canton,_T,4003
2014,NUMBER,canton_10,_T,359
2014,NUMBER,federation_of_bih,M,6632
2014,NUMBER,una-sana_canton,M,651
2014,NUMBER,posavina_canton,M,74
2014,NUMBER,tuzla_canton,M,1108
2014,NUMBER,zenica-doboj_canton,M,731
2014,NUMBER,bosnian-podrinje_canton,M,64
2014,NUMBER,central_bosnia_canton,M,420
2014,NUMBER,herzegovina-neretva_canton,M,914
2014,NUMBER,west_herzegovina_canton,M,421
2014,NUMBER,sarajevo_canton,M,2070
2014,NUMBER,canton_10,M,179
2014,NUMBER,federation_of_bih,F,6105
2014,NUMBER,una-sana_canton,F,593
2014,NUMBER,posavina_canton,F,75
2014,NUMBER,tuzla_canton,F,925
2014,NUMBER,zenica-doboj_canton,F,675
2014,NUMBER,bosnian-podrinje_canton,F,75
2014,NUMBER,central_bosnia_canton,F,401
2014,NUMBER,herzegovina-neretva_canton,F,880
2014,NUMBER,west_herzegovina_canton,F,368
2014,NUMBER,sarajevo_canton,F,1933
2014,NUMBER,canton_10,F,180
2015,NUMBER,federation_of_bih,_T,13268
2015,NUMBER,una-sana_canton,_T,1311
2015,NUMBER,posavina_canton,_T,161
2015,NUMBER,tuzla_canton,_T,2213
2015,NUMBER,zenica-doboj_canton,_T,1594
2015,NUMBER,bosnian-podrinje_canton,_T,141
2015,NUMBER,central_bosnia_canton,_T,889
2015,NUMBER,herzegovina-neretva_canton,_T,1975
2015,NUMBER,west_herzegovina_canton,_T,738
2015,NUMBER,sarajevo_canton,_T,3856
2015,NUMBER,canton_10,_T,390
2015,NUMBER,federation_of_bih,M,6906
2015,NUMBER,una-sana_canton,M,695
2015,NUMBER,posavina_canton,M,81
2015,NUMBER,tuzla_canton,M,1187
2015,NUMBER,zenica-doboj_canton,M,835
2015,NUMBER,bosnian-podrinje_canton,M,67
2015,NUMBER,central_bosnia_canton,M,447
2015,NUMBER,herzegovina-neretva_canton,M,999
2015,NUMBER,west_herzegovina_canton,M,365
2015,NUMBER,sarajevo_canton,M,2037
2015,NUMBER,canton_10,M,193
2015,NUMBER,federation_of_bih,F,6362
2015,NUMBER,una-sana_canton,F,616
2015,NUMBER,posavina_canton,F,80
2015,NUMBER,tuzla_canton,F,1026
2015,NUMBER,zenica-doboj_canton,F,759
2015,NUMBER,bosnian-podrinje_canton,F,74
2015,NUMBER,central_bosnia_canton,F,442
2015,NUMBER,herzegovina-neretva_canton,F,976
2015,NUMBER,west_herzegovina_canton,F,373
2015,NUMBER,sarajevo_canton,F,1819
2015,NUMBER,canton_10,F,197
2016,NUMBER,federation_of_bih,_T,14405
2016,NUMBER,una-sana_canton,_T,1351
2016,NUMBER,posavina_canton,_T,160
2016,NUMBER,tuzla_canton,_T,2337
2016,NUMBER,zenica-doboj_canton,_T,1893
2016,NUMBER,bosnian-podrinje_canton,_T,146
2016,NUMBER,central_bosnia_canton,_T,970
2016,NUMBER,herzegovina-neretva_canton,_T,2100
2016,NUMBER,west_herzegovina_canton,_T,851
2016,NUMBER,sarajevo_canton,_T,4206
2016,NUMBER,canton_10,_T,391
2016,NUMBER,federation_of_bih,M,7604
2016,NUMBER,una-sana_canton,M,743
2016,NUMBER,posavina_canton,M,83
2016,NUMBER,tuzla_canton,M,1252
2016,NUMBER,zenica-doboj_canton,M,968
2016,NUMBER,bosnian-podrinje_canton,M,68
2016,NUMBER,central_bosnia_canton,M,495
2016,NUMBER,herzegovina-neretva_canton,M,1071
2016,NUMBER,west_herzegovina_canton,M,437
2016,NUMBER,sarajevo_canton,M,2298
2016,NUMBER,canton_10,M,189
2016,NUMBER,federation_of_bih,F,6801
2016,NUMBER,una-sana_canton,F,608
2016,NUMBER,posavina_canton,F,77
2016,NUMBER,tuzla_canton,F,1085
2016,NUMBER,zenica-doboj_canton,F,925
2016,NUMBER,bosnian-podrinje_canton,F,78
2016,NUMBER,central_bosnia_canton,F,475
2016,NUMBER,herzegovina-neretva_canton,F,1029
2016,NUMBER,west_herzegovina_canton,F,414
2016,NUMBER,sarajevo_canton,F,1908
2016,NUMBER,canton_10,F,202
2017,NUMBER,federation_of_bih,_T,15093
