Year,UNIT_MEASURE,Admin_Area,SEX,Value
2010,NUMBER,federation_of_bih,_T,223304.0
2011,NUMBER,federation_of_bih,_T,208491.0
2012,NUMBER,federation_of_bih,_T,199569.0
2013,NUMBER,federation_of_bih,_T,198840.0
2014,NUMBER,federation_of_bih,_T,194867.0
2015,NUMBER,federation_of_bih,_T,191210.0
2016,NUMBER,federation_of_bih,_T,189019.0
2017,NUMBER,federation_of_bih,_T,185605.0
2018,NUMBER,federation_of_bih,_T,184053.0
2010,NUMBER,federation_of_bih,M,114717.0
2011,NUMBER,federation_of_bih,M,107015.0
2012,NUMBER,federation_of_bih,M,102236.0
2013,NUMBER,federation_of_bih,M,101958.0
2014,NUMBER,federation_of_bih,M,100034.0
2015,NUMBER,federation_of_bih,M,98504.0
2016,NUMBER,federation_of_bih,M,97635.0
2017,NUMBER,federation_of_bih,M,95408.0
2018,NUMBER,federation_of_bih,M,94664.0
2010,NUMBER,federation_of_bih,F,108587.0
2011,NUMBER,federation_of_bih,F,101476.0
2012,NUMBER,federation_of_bih,F,97333.0
2013,NUMBER,federation_of_bih,F,96882.0
2014,NUMBER,federation_of_bih,F,94833.0
2015,NUMBER,federation_of_bih,F,92706.0
2016,NUMBER,federation_of_bih,F,91384.0
2017,NUMBER,federation_of_bih,F,90197.0
2018,NUMBER,federation_of_bih,F,89389.0
2010,NUMBER,una-sana_canton,_T,
2011,NUMBER,una-sana_canton,_T,
2012,NUMBER,una-sana_canton,_T,
2013,NUMBER,una-sana_canton,_T,
2014,NUMBER,una-sana_canton,_T,
2015,NUMBER,una-sana_canton,_T,
2016,NUMBER,una-sana_canton,_T,
2017,NUMBER,una-sana_canton,_T,
2018,NUMBER,una-sana_canton,_T,
2010,NUMBER,una-sana_canton,M,
2011,NUMBER,una-sana_canton,M,
2012,NUMBER,una-sana_canton,M,
2013,NUMBER,una-sana_canton,M,
2014,NUMBER,una-sana_canton,M,
2015,NUMBER,una-sana_canton,M,
2016,NUMBER,una-sana_canton,M,
2017,NUMBER,una-sana_canton,M,
2018,NUMBER,una-sana_canton,M,
2010,NUMBER,una-sana_canton,F,
2011,NUMBER,una-sana_canton,F,
2012,NUMBER,una-sana_canton,F,
2013,NUMBER,una-sana_canton,F,
2014,NUMBER,una-sana_canton,F,
2015,NUMBER,una-sana_canton,F,
