Year,UNIT_MEASURE,Admin_Area,type_of_school,Value
2016,NUMBER,federation_of_bih,gymnasium,20668
2016,NUMBER,federation_of_bih,technical_high_schools,41964
2016,NUMBER,federation_of_bih,vocational_high_schools,16751
2016,NUMBER,federation_of_bih,art_schools,896
2016,NUMBER,federation_of_bih,religious_schools,2139
2016,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,257
2017,NUMBER,federation_of_bih,gymnasium,20253
2017,NUMBER,federation_of_bih,technical_high_schools,41503
2017,NUMBER,federation_of_bih,vocational_high_schools,16335
2017,NUMBER,federation_of_bih,art_schools,879
2017,NUMBER,federation_of_bih,religious_schools,2229
2017,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,255
2018,NUMBER,federation_of_bih,gymnasium,17917
2018,NUMBER,federation_of_bih,technical_high_schools,39424
2018,NUMBER,federation_of_bih,vocational_high_schools,15523
2018,NUMBER,federation_of_bih,art_schools,879
2018,NUMBER,federation_of_bih,religious_schools,2180
2018,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,241
2019,NUMBER,federation_of_bih,gymnasium,16637
2019,NUMBER,federation_of_bih,technical_high_schools,38135
2019,NUMBER,federation_of_bih,vocational_high_schools,14905
2019,NUMBER,federation_of_bih,art_schools,846
2019,NUMBER,federation_of_bih,religious_schools,2139
2019,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,230
2020,NUMBER,federation_of_bih,gymnasium,16195
2020,NUMBER,federation_of_bih,technical_high_schools,37357
2020,NUMBER,federation_of_bih,vocational_high_schools,14547
2020,NUMBER,federation_of_bih,art_schools,840
2020,NUMBER,federation_of_bih,religious_schools,2142
2020,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,247
2021,NUMBER,federation_of_bih,gymnasium,15617
2021,NUMBER,federation_of_bih,technical_high_schools,37112
2021,NUMBER,federation_of_bih,vocational_high_schools,14053
2021,NUMBER,federation_of_bih,art_schools,939
2021,NUMBER,federation_of_bih,religious_schools,2108
2021,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,195
2022,NUMBER,federation_of_bih,gymnasium,15425
2022,NUMBER,federation_of_bih,technical_high_schools,37855
2022,NUMBER,federation_of_bih,vocational_high_schools,13829
2022,NUMBER,federation_of_bih,art_schools,924
2022,NUMBER,federation_of_bih,religious_schools,2126
2022,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,166
2016,NUMBER,una-sana_canton,gymnasium,1905
2016,NUMBER,una-sana_canton,technical_high_schools,4610
2016,NUMBER,una-sana_canton,vocational_high_schools,2755
2016,NUMBER,una-sana_canton,art_schools,85
2016,NUMBER,una-sana_canton,religious_schools,264
2017,NUMBER,una-sana_canton,gymnasium,1820
2017,NUMBER,una-sana_canton,technical_high_schools,4719
2017,NUMBER,una-sana_canton,vocational_high_schools,2631
2017,NUMBER,una-sana_canton,art_schools,63
2017,NUMBER,una-sana_canton,religious_schools,263
2018,NUMBER,una-sana_canton,gymnasium,1585
2018,NUMBER,una-sana_canton,technical_high_schools,4262
2018,NUMBER,una-sana_canton,vocational_high_schools,2547
2018,NUMBER,una-sana_canton,art_schools,57
2018,NUMBER,una-sana_canton,religious_schools,247
2019,NUMBER,una-sana_canton,gymnasium,1398
2019,NUMBER,una-sana_canton,technical_high_schools,3943
2019,NUMBER,una-sana_canton,vocational_high_schools,2420
2019,NUMBER,una-sana_canton,art_schools,58
2019,NUMBER,una-sana_canton,religious_schools,227
2020,NUMBER,una-sana_canton,gymnasium,1543
2020,NUMBER,una-sana_canton,technical_high_schools,3463
2020,NUMBER,una-sana_canton,vocational_high_schools,2212
2020,NUMBER,una-sana_canton,art_schools,64
2020,NUMBER,una-sana_canton,religious_schools,219
2021,NUMBER,una-sana_canton,gymnasium,1458
2021,NUMBER,una-sana_canton,technical_high_schools,3283
2021,NUMBER,una-sana_canton,vocational_high_schools,2069
2021,NUMBER,una-sana_canton,art_schools,76
2021,NUMBER,una-sana_canton,religious_schools,221
2022,NUMBER,una-sana_canton,gymnasium,1085
2022,NUMBER,una-sana_canton,technical_high_schools,3421
2022,NUMBER,una-sana_canton,vocational_high_schools,2001
2022,NUMBER,una-sana_canton,art_schools,65
2022,NUMBER,una-sana_canton,religious_schools,220
2016,NUMBER,posavina_canton,gymnasium,228
2016,NUMBER,posavina_canton,technical_high_schools,803
2016,NUMBER,posavina_canton,vocational_high_schools,269
2017,NUMBER,posavina_canton,gymnasium,226
2017,NUMBER,posavina_canton,technical_high_schools,711
2017,NUMBER,posavina_canton,vocational_high_schools,223
2018,NUMBER,posavina_canton,gymnasium,225
2018,NUMBER,posavina_canton,technical_high_schools,611
2018,NUMBER,posavina_canton,vocational_high_schools,201
2019,NUMBER,posavina_canton,gymnasium,206
2019,NUMBER,posavina_canton,technical_high_schools,592
2019,NUMBER,posavina_canton,vocational_high_schools,188
2020,NUMBER,posavina_canton,gymnasium,183
2020,NUMBER,posavina_canton,technical_high_schools,549
2020,NUMBER,posavina_canton,vocational_high_schools,164
2021,NUMBER,posavina_canton,gymnasium,163
2021,NUMBER,posavina_canton,technical_high_schools,570
2021,NUMBER,posavina_canton,vocational_high_schools,132
2022,NUMBER,posavina_canton,gymnasium,160
2022,NUMBER,posavina_canton,technical_high_schools,542
2022,NUMBER,posavina_canton,vocational_high_schools,103
2016,NUMBER,tuzla_canton,gymnasium,2428
2016,NUMBER,tuzla_canton,technical_high_schools,8711
2016,NUMBER,tuzla_canton,vocational_high_schools,3898
2016,NUMBER,tuzla_canton,art_schools,163
2016,NUMBER,tuzla_canton,religious_schools,516
2016,NUMBER,tuzla_canton,high_schools_for_students_with_disabilities,35
2017,NUMBER,tuzla_canton,gymnasium,2792
2017,NUMBER,tuzla_canton,technical_high_schools,8462
2017,NUMBER,tuzla_canton,vocational_high_schools,3963
2017,NUMBER,tuzla_canton,art_schools,183
2017,NUMBER,tuzla_canton,religious_schools,536
2017,NUMBER,tuzla_canton,high_schools_for_students_with_disabilities,30
2018,NUMBER,tuzla_canton,gymnasium,2385
2018,NUMBER,tuzla_canton,technical_high_schools,8472
2018,NUMBER,tuzla_canton,vocational_high_schools,3980
2018,NUMBER,tuzla_canton,art_schools,184
2018,NUMBER,tuzla_canton,religious_schools,531
2018,NUMBER,tuzla_canton,high_schools_for_students_with_disabilities,30
2019,NUMBER,tuzla_canton,gymnasium,2274
2019,NUMBER,tuzla_canton,technical_high_schools,8132
2019,NUMBER,tuzla_canton,vocational_high_schools,3952
2019,NUMBER,tuzla_canton,art_schools,180
2019,NUMBER,tuzla_canton,religious_schools,508
2019,NUMBER,tuzla_canton,high_schools_for_students_with_disabilities,32
2020,NUMBER,tuzla_canton,gymnasium,2182
2020,NUMBER,tuzla_canton,technical_high_schools,8126
2020,NUMBER,tuzla_canton,vocational_high_schools,3876
2020,NUMBER,tuzla_canton,art_schools,191
2020,NUMBER,tuzla_canton,religious_schools,505
2020,NUMBER,tuzla_canton,high_schools_for_students_with_disabilities,43
2021,NUMBER,tuzla_canton,gymnasium,1941
2021,NUMBER,tuzla_canton,technical_high_schools,7975
2021,NUMBER,tuzla_canton,vocational_high_schools,3753
2021,NUMBER,tuzla_canton,art_schools,204
2021,NUMBER,tuzla_canton,religious_schools,511
2022,NUMBER,tuzla_canton,gymnasium,1853
2022,NUMBER,tuzla_canton,technical_high_schools,7843
2022,NUMBER,tuzla_canton,vocational_high_schools,3691
2022,NUMBER,tuzla_canton,art_schools,218
2022,NUMBER,tuzla_canton,religious_schools,523
2016,NUMBER,zenica-doboj_canton,gymnasium,3602
2016,NUMBER,zenica-doboj_canton,technical_high_schools,7104
2016,NUMBER,zenica-doboj_canton,vocational_high_schools,3417
2016,NUMBER,zenica-doboj_canton,art_schools,87
2016,NUMBER,zenica-doboj_canton,religious_schools,230
2016,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,38
2017,NUMBER,zenica-doboj_canton,gymnasium,3422
2017,NUMBER,zenica-doboj_canton,technical_high_schools,7044
2017,NUMBER,zenica-doboj_canton,vocational_high_schools,3185
2017,NUMBER,zenica-doboj_canton,art_schools,75
2017,NUMBER,zenica-doboj_canton,religious_schools,236
2017,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,44
2018,NUMBER,zenica-doboj_canton,gymnasium,3087
2018,NUMBER,zenica-doboj_canton,technical_high_schools,7121
2018,NUMBER,zenica-doboj_canton,vocational_high_schools,3022
2018,NUMBER,zenica-doboj_canton,art_schools,68
2018,NUMBER,zenica-doboj_canton,religious_schools,224
2018,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,36
2019,NUMBER,zenica-doboj_canton,gymnasium,2832
2019,NUMBER,zenica-doboj_canton,technical_high_schools,6486
2019,NUMBER,zenica-doboj_canton,vocational_high_schools,3035
2019,NUMBER,zenica-doboj_canton,art_schools,70
2019,NUMBER,zenica-doboj_canton,religious_schools,230
2019,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,35
2020,NUMBER,zenica-doboj_canton,gymnasium,2583
2020,NUMBER,zenica-doboj_canton,technical_high_schools,6509
2020,NUMBER,zenica-doboj_canton,vocational_high_schools,2924
2020,NUMBER,zenica-doboj_canton,art_schools,66
2020,NUMBER,zenica-doboj_canton,religious_schools,248
2020,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,35
2021,NUMBER,zenica-doboj_canton,gymnasium,2474
2021,NUMBER,zenica-doboj_canton,technical_high_schools,6249
2021,NUMBER,zenica-doboj_canton,vocational_high_schools,2832
2021,NUMBER,zenica-doboj_canton,art_schools,72
2021,NUMBER,zenica-doboj_canton,religious_schools,254
2021,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,27
2022,NUMBER,zenica-doboj_canton,gymnasium,2368
2022,NUMBER,zenica-doboj_canton,technical_high_schools,6239
2022,NUMBER,zenica-doboj_canton,vocational_high_schools,2930
2022,NUMBER,zenica-doboj_canton,art_schools,63
2022,NUMBER,zenica-doboj_canton,religious_schools,255
2022,NUMBER,zenica-doboj_canton,high_schools_for_students_with_disabilities,20
2016,NUMBER,bosnian-podrinje_canton,gymnasium,172
2016,NUMBER,bosnian-podrinje_canton,technical_high_schools,534
2016,NUMBER,bosnian-podrinje_canton,vocational_high_schools,242
2017,NUMBER,bosnian-podrinje_canton,gymnasium,184
2017,NUMBER,bosnian-podrinje_canton,technical_high_schools,536
2017,NUMBER,bosnian-podrinje_canton,vocational_high_schools,244
2018,NUMBER,bosnian-podrinje_canton,gymnasium,160
2018,NUMBER,bosnian-podrinje_canton,technical_high_schools,503
2018,NUMBER,bosnian-podrinje_canton,vocational_high_schools,223
2019,NUMBER,bosnian-podrinje_canton,gymnasium,137
2019,NUMBER,bosnian-podrinje_canton,technical_high_schools,695
2020,NUMBER,bosnian-podrinje_canton,gymnasium,139
2020,NUMBER,bosnian-podrinje_canton,technical_high_schools,512
2020,NUMBER,bosnian-podrinje_canton,vocational_high_schools,137
2021,NUMBER,bosnian-podrinje_canton,gymnasium,130
2021,NUMBER,bosnian-podrinje_canton,technical_high_schools,513
2021,NUMBER,bosnian-podrinje_canton,vocational_high_schools,105
2022,NUMBER,bosnian-podrinje_canton,gymnasium,108
2022,NUMBER,bosnian-podrinje_canton,technical_high_schools,495
2022,NUMBER,bosnian-podrinje_canton,vocational_high_schools,103
2016,NUMBER,central_bosnia_canton,gymnasium,2287
2016,NUMBER,central_bosnia_canton,technical_high_schools,5589
2016,NUMBER,central_bosnia_canton,vocational_high_schools,2265
2016,NUMBER,central_bosnia_canton,art_schools,91
