Year,UNIT_MEASURE,Admin_Area,Sex,Value
2010,NUMBER,federation_of_bih,_T,11350.0
2011,NUMBER,federation_of_bih,_T,11209.0
2012,NUMBER,federation_of_bih,_T,12231.0
2013,NUMBER,federation_of_bih,_T,13491.0
2014,NUMBER,federation_of_bih,_T,12183.0
2015,NUMBER,federation_of_bih,_T,11846.0
2016,NUMBER,federation_of_bih,_T,12149.0
2017,NUMBER,federation_of_bih,_T,12060.0
2018,NUMBER,federation_of_bih,_T,11747.0
2019,NUMBER,federation_of_bih,_T,12359.0
2020,NUMBER,federation_of_bih,_T,11476.0
2021,NUMBER,federation_of_bih,_T,11537.0
2022,NUMBER,federation_of_bih,_T,10374.0
2023,NUMBER,federation_of_bih,_T,9286.0
2010,NUMBER,federation_of_bih,M,4143.0
2011,NUMBER,federation_of_bih,M,4291.0
2012,NUMBER,federation_of_bih,M,4650.0
2013,NUMBER,federation_of_bih,M,5150.0
2014,NUMBER,federation_of_bih,M,4700.0
2015,NUMBER,federation_of_bih,M,4611.0
2016,NUMBER,federation_of_bih,M,4767.0
2017,NUMBER,federation_of_bih,M,4798.0
2018,NUMBER,federation_of_bih,M,4682.0
2019,NUMBER,federation_of_bih,M,4803.0
2020,NUMBER,federation_of_bih,M,4403.0
2021,NUMBER,federation_of_bih,M,4230.0
2022,NUMBER,federation_of_bih,M,3731.0
2023,NUMBER,federation_of_bih,M,3331.0
2010,NUMBER,federation_of_bih,F,7207.0
2011,NUMBER,federation_of_bih,F,6918.0
2012,NUMBER,federation_of_bih,F,7581.0
2013,NUMBER,federation_of_bih,F,8341.0
2014,NUMBER,federation_of_bih,F,7483.0
2015,NUMBER,federation_of_bih,F,7235.0
2016,NUMBER,federation_of_bih,F,7382.0
2017,NUMBER,federation_of_bih,F,7262.0
2018,NUMBER,federation_of_bih,F,7065.0
2019,NUMBER,federation_of_bih,F,7556.0
2020,NUMBER,federation_of_bih,F,7073.0
2021,NUMBER,federation_of_bih,F,7307.0
2022,NUMBER,federation_of_bih,F,6643.0
2023,NUMBER,federation_of_bih,F,5955.0
2010,NUMBER,una-sana_canton,_T,729.0
2011,NUMBER,una-sana_canton,_T,409.0
2012,NUMBER,una-sana_canton,_T,603.0
2013,NUMBER,una-sana_canton,_T,588.0
2014,NUMBER,una-sana_canton,_T,514.0
2015,NUMBER,una-sana_canton,_T,481.0
2016,NUMBER,una-sana_canton,_T,417.0
2017,NUMBER,una-sana_canton,_T,432.0
2018,NUMBER,una-sana_canton,_T,423.0
2019,NUMBER,una-sana_canton,_T,330.0
2020,NUMBER,una-sana_canton,_T,272.0
2021,NUMBER,una-sana_canton,_T,384.0
2022,NUMBER,una-sana_canton,_T,314.0
2023,NUMBER,una-sana_canton,_T,236.0
