Year,UNIT_MEASURE,SEX,AGE,Value
2010.0,NUMBER,_T,15-24,28.0
2011.0,NUMBER,_T,15-24,27.7
2012.0,NUMBER,_T,15-24,28.4
2013.0,NUMBER,_T,15-24,25.8
2014.0,NUMBER,_T,15-24,26.1
2015.0,NUMBER,_T,15-24,27.7
2016.0,NUMBER,_T,15-24,26.4
2017.0,NUMBER,_T,15-24,24.3
2018.0,NUMBER,_T,15-24,21.6
2019.0,NUMBER,_T,15-24,21.0
2020.0,NUMBER,_T,15-24,21.6
2015.0,NUMBER,_T,25-29,44.6
2016.0,NUMBER,_T,25-29,42.6
2017.0,NUMBER,_T,25-29,39.5
2018.0,NUMBER,_T,25-29,35.9
2019.0,NUMBER,_T,25-29,36.2
2020.0,NUMBER,_T,25-29,34.3
2015.0,NUMBER,_T,15-29,32.8
2016.0,NUMBER,_T,15-29,31.4
2017.0,NUMBER,_T,15-29,28.8
2018.0,NUMBER,_T,15-29,25.5
2019.0,NUMBER,_T,15-29,25.0
2020.0,NUMBER,_T,15-29,25.9
2010.0,NUMBER,M,15-24,28.1
2011.0,NUMBER,M,15-24,29.2
2012.0,NUMBER,M,15-24,30.5
2013.0,NUMBER,M,15-24,27.4
2014.0,NUMBER,M,15-24,27.9
2015.0,NUMBER,M,15-24,29.2
2016.0,NUMBER,M,15-24,28.0
2017.0,NUMBER,M,15-24,24.5
2018.0,NUMBER,M,15-24,22.1
2019.0,NUMBER,M,15-24,20.7
2020.0,NUMBER,M,15-24,20.3
2015.0,NUMBER,M,25-29,39.6
2016.0,NUMBER,M,25-29,35.7
2017.0,NUMBER,M,25-29,33.2
2018.0,NUMBER,M,25-29,28.7
2019.0,NUMBER,M,25-29,28.0
2020.0,NUMBER,M,25-29,25.2
2015.0,NUMBER,M,15-29,32.4
2016.0,NUMBER,M,15-29,30.4
2017.0,NUMBER,M,15-29,27.0
2018.0,NUMBER,M,15-29,24.0
2019.0,NUMBER,M,15-29,22.6
2020.0,NUMBER,M,15-29,22.0
2010.0,NUMBER,F,15-24,28.0
2011.0,NUMBER,F,15-24,26.1
2012.0,NUMBER,F,15-24,26.2
2013.0,NUMBER,F,15-24,24.1
2014.0,NUMBER,F,15-24,24.0
2015.0,NUMBER,F,15-24,26.0
2016.0,NUMBER,F,15-24,24.7
2017.0,NUMBER,F,15-24,24.0
2018.0,NUMBER,F,15-24,21.1
2019.0,NUMBER,F,15-24,21.4
2020.0,NUMBER,F,15-24,23.0
,,,,
