Year,UNIT_MEASURE,AGE,Sex,Cause_of_death,Value
2008,NUMBER,T,_T,diseases_of_the_eye,1
2008,NUMBER,T,_T,pregnancy_childbirth_and_the,3
2008,NUMBER,T,_T,infectious_and_parasitic,154
2008,NUMBER,T,_T,neoplasms,3832
2008,NUMBER,T,_T,diseases_of_the_blood,27
2008,NUMBER,T,_T,endocrine_metabolic_and_nutritional,774
2008,NUMBER,T,_T,mental_and_behavioural_disorders,61
2008,NUMBER,T,_T,diseases_of_the_nervous,141
2008,NUMBER,T,_T,diseases_of_the_circulatory,10509
2008,NUMBER,T,_T,diseases_of_the_respiratory,558
2008,NUMBER,T,_T,diseases_of_the_digestive,468
2008,NUMBER,T,_T,diseases_of_the_skin,8
2008,NUMBER,T,_T,diseases_of_the_musculoskeletal,23
2008,NUMBER,T,_T,diseases_of_the_genitourinary,279
2008,NUMBER,T,_T,certain_conditions_originating,116
2008,NUMBER,T,_T,congenital_malformations_deformations,46
2008,NUMBER,T,_T,symptoms_signs_and_abnormal,1062
2008,NUMBER,T,_T,unknown,813
2008,NUMBER,T,_T,injuries_poisoning_and_consequences,605
2008,NUMBER,T,M,pregnancy_childbirth_and_the,0
2008,NUMBER,T,M,diseases_of_the_eye,0
2008,NUMBER,T,M,diseases_of_the_skin,3
2008,NUMBER,T,M,injuries_poisoning_and_consequences,483
2008,NUMBER,T,M,infectious_and_parasitic,96
2008,NUMBER,T,M,neoplasms,2286
2008,NUMBER,T,M,diseases_of_the_blood,12
2008,NUMBER,T,M,endocrine_metabolic_and_nutritional,298
2008,NUMBER,T,M,mental_and_behavioural_disorders,38
2008,NUMBER,T,M,diseases_of_the_nervous,76
2008,NUMBER,T,M,diseases_of_the_circulatory,4949
2008,NUMBER,T,M,diseases_of_the_respiratory,336
2008,NUMBER,T,M,diseases_of_the_digestive,270
2008,NUMBER,T,M,diseases_of_the_musculoskeletal,11
2008,NUMBER,T,M,diseases_of_the_genitourinary,137
2008,NUMBER,T,M,certain_conditions_originating,63
2008,NUMBER,T,M,congenital_malformations_deformations,27
2008,NUMBER,T,M,symptoms_signs_and_abnormal,542
2008,NUMBER,T,M,unknown,443
2008,NUMBER,T,F,diseases_of_the_eye,1
2008,NUMBER,T,F,pregnancy_childbirth_and_the,3
2008,NUMBER,T,F,diseases_of_the_skin,5
2008,NUMBER,T,F,infectious_and_parasitic,58
2008,NUMBER,T,F,neoplasms,1546
2008,NUMBER,T,F,diseases_of_the_blood,15
2008,NUMBER,T,F,endocrine_metabolic_and_nutritional,476
2008,NUMBER,T,F,mental_and_behavioural_disorders,23
2008,NUMBER,T,F,diseases_of_the_nervous,65
2008,NUMBER,T,F,diseases_of_the_circulatory,5560
2008,NUMBER,T,F,diseases_of_the_respiratory,222
2008,NUMBER,T,F,diseases_of_the_digestive,198
2008,NUMBER,T,F,diseases_of_the_musculoskeletal,12
2008,NUMBER,T,F,diseases_of_the_genitourinary,142
2008,NUMBER,T,F,certain_conditions_originating,53
2008,NUMBER,T,F,congenital_malformations_deformations,19
2008,NUMBER,T,F,symptoms_signs_and_abnormal,520
