Year,UNIT_MEASURE,Admin_Area,AGE,Sex,Value
2013,NUMBER,federation_of_bih,T,_T,2219220
2013,NUMBER,federation_of_bih,0,_T,21718
2013,NUMBER,federation_of_bih,1,_T,22690
2013,NUMBER,federation_of_bih,2,_T,22691
2013,NUMBER,federation_of_bih,3,_T,23664
2013,NUMBER,federation_of_bih,4,_T,24080
2013,NUMBER,federation_of_bih,5,_T,23892
2013,NUMBER,federation_of_bih,6,_T,22901
2013,NUMBER,federation_of_bih,7,_T,22965
2013,NUMBER,federation_of_bih,8,_T,23147
2013,NUMBER,federation_of_bih,9,_T,23147
2013,NUMBER,federation_of_bih,10,_T,23884
2013,NUMBER,federation_of_bih,11,_T,24043
2013,NUMBER,federation_of_bih,12,_T,24989
2013,NUMBER,federation_of_bih,13,_T,25785
2013,NUMBER,federation_of_bih,14,_T,27352
2013,NUMBER,federation_of_bih,15,_T,30464
2013,NUMBER,federation_of_bih,16,_T,35091
2013,NUMBER,federation_of_bih,17,_T,35286
2013,NUMBER,federation_of_bih,18,_T,33903
2013,NUMBER,federation_of_bih,19,_T,27137
2013,NUMBER,federation_of_bih,20,_T,25325
2013,NUMBER,federation_of_bih,21,_T,29600
2013,NUMBER,federation_of_bih,22,_T,32119
2013,NUMBER,federation_of_bih,23,_T,31990
2013,NUMBER,federation_of_bih,24,_T,31868
2013,NUMBER,federation_of_bih,25,_T,32919
2013,NUMBER,federation_of_bih,26,_T,32539
2013,NUMBER,federation_of_bih,27,_T,32484
2013,NUMBER,federation_of_bih,28,_T,32610
2013,NUMBER,federation_of_bih,29,_T,33651
2013,NUMBER,federation_of_bih,30,_T,32390
2013,NUMBER,federation_of_bih,31,_T,32319
2013,NUMBER,federation_of_bih,32,_T,32749
2013,NUMBER,federation_of_bih,33,_T,31974
2013,NUMBER,federation_of_bih,34,_T,31556
2013,NUMBER,federation_of_bih,35,_T,31528
2013,NUMBER,federation_of_bih,36,_T,31538
2013,NUMBER,federation_of_bih,37,_T,32341
