Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,banovici,_T,_T,1839
2013,NUMBER,bihac,_T,_T,4952
2013,NUMBER,bosanska_krupa,_T,_T,2373
2013,NUMBER,bosanski_petrovac,_T,_T,654
2013,NUMBER,bosansko_grahovo,_T,_T,319
2013,NUMBER,breza,_T,_T,1289
2013,NUMBER,bugojno,_T,_T,2436
2013,NUMBER,busovaca,_T,_T,1274
2013,NUMBER,buzim,_T,_T,1064
2013,NUMBER,cazin,_T,_T,4563
2013,NUMBER,centar_sarajevo,_T,_T,4800
2013,NUMBER,capljina,_T,_T,1736
2013,NUMBER,celic,_T,_T,1132
2013,NUMBER,citluk,_T,_T,1078
2013,NUMBER,doboj-istok,_T,_T,1056
2013,NUMBER,doboj-jug,_T,_T,321
2013,NUMBER,dobretici,_T,_T,201
2013,NUMBER,domaljevac-samac,_T,_T,452
2013,NUMBER,donji_vakuf,_T,_T,1218
2013,NUMBER,drvar,_T,_T,1017
2013,NUMBER,foca-fbih,_T,_T,211
2013,NUMBER,fojnica,_T,_T,1742
2013,NUMBER,glamoc,_T,_T,479
2013,NUMBER,gorazde,_T,_T,2279
2013,NUMBER,gornji_vakuf-uskoplje,_T,_T,1439
2013,NUMBER,gracanica,_T,_T,3618
2013,NUMBER,gradacac,_T,_T,3077
2013,NUMBER,grude,_T,_T,867
2013,NUMBER,hadzici,_T,_T,2264
2013,NUMBER,ilidza,_T,_T,5142
2013,NUMBER,ilijas,_T,_T,1733
2013,NUMBER,jablanica,_T,_T,735
2013,NUMBER,jajce,_T,_T,2171
2013,NUMBER,kakanj,_T,_T,2591
2013,NUMBER,kalesija,_T,_T,3029
2013,NUMBER,kiseljak,_T,_T,1602
2013,NUMBER,kladanj,_T,_T,1007
2013,NUMBER,kljuc,_T,_T,1079
2013,NUMBER,konjic,_T,_T,2071
2013,NUMBER,kresevo,_T,_T,463
2013,NUMBER,kupres-fbih,_T,_T,305
2013,NUMBER,livno,_T,_T,1776
2013,NUMBER,lukavac,_T,_T,5056
2013,NUMBER,ljubuski,_T,_T,1740
2013,NUMBER,maglaj,_T,_T,2138
2013,NUMBER,mostar,_T,_T,7239
2013,NUMBER,neum,_T,_T,272
2013,NUMBER,novi_grad_sarajevo,_T,_T,10183
2013,NUMBER,novi_travnik,_T,_T,1819
2013,NUMBER,novo_sarajevo,_T,_T,5230
2013,NUMBER,odzak,_T,_T,1164
2013,NUMBER,olovo,_T,_T,1119
2013,NUMBER,orasje,_T,_T,1771
2013,NUMBER,pale-fbih,_T,_T,129
2013,NUMBER,posusje,_T,_T,1131
2013,NUMBER,prozor,_T,_T,666
2013,NUMBER,ravno,_T,_T,135
2013,NUMBER,sanski_most,_T,_T,2236
2013,NUMBER,sapna,_T,_T,642
2013,NUMBER,srebrenik,_T,_T,3768
2013,NUMBER,stari_grad_sarajevo,_T,_T,3785
2013,NUMBER,stolac,_T,_T,1016
2013,NUMBER,siroki_brijeg,_T,_T,1356
2013,NUMBER,teocak,_T,_T,531
2013,NUMBER,tesanj,_T,_T,3254
2013,NUMBER,tomislavgrad,_T,_T,1129
2013,NUMBER,travnik,_T,_T,4081
2013,NUMBER,trnovo-fbih,_T,_T,195
2013,NUMBER,tuzla,_T,_T,12780
2013,NUMBER,usora,_T,_T,468
2013,NUMBER,vares,_T,_T,1180
2013,NUMBER,velika_kladusa,_T,_T,3785
2013,NUMBER,visoko,_T,_T,3073
2013,NUMBER,vitez,_T,_T,2188
2013,NUMBER,vogosca,_T,_T,2397
2013,NUMBER,zavidovici,_T,_T,3643
2013,NUMBER,zenica,_T,_T,8924
2013,NUMBER,zepce,_T,_T,2367
2013,NUMBER,zivinice,_T,_T,5883
2013,NUMBER,banovici,M,_T,762
2013,NUMBER,bihac,M,_T,2313
2013,NUMBER,bosanska_krupa,M,_T,1176
2013,NUMBER,bosanski_petrovac,M,_T,298
2013,NUMBER,bosansko_grahovo,M,_T,136
2013,NUMBER,breza,M,_T,586
2013,NUMBER,bugojno,M,_T,1130
2013,NUMBER,busovaca,M,_T,622
2013,NUMBER,buzim,M,_T,596
2013,NUMBER,cazin,M,_T,2340
2013,NUMBER,centar_sarajevo,M,_T,1914
2013,NUMBER,capljina,M,_T,863
2013,NUMBER,celic,M,_T,499
2013,NUMBER,citluk,M,_T,493
2013,NUMBER,doboj-istok,M,_T,477
2013,NUMBER,doboj-jug,M,_T,157
2013,NUMBER,dobretici,M,_T,122
2013,NUMBER,domaljevac-samac,M,_T,213
2013,NUMBER,donji_vakuf,M,_T,598
2013,NUMBER,drvar,M,_T,434
2013,NUMBER,foca-fbih,M,_T,97
2013,NUMBER,fojnica,M,_T,879
2013,NUMBER,glamoc,M,_T,198
2013,NUMBER,gorazde,M,_T,993
2013,NUMBER,gornji_vakuf-uskoplje,M,_T,706
2013,NUMBER,gracanica,M,_T,1600
2013,NUMBER,gradacac,M,_T,1362
2013,NUMBER,grude,M,_T,368
2013,NUMBER,hadzici,M,_T,1055
2013,NUMBER,ilidza,M,_T,2257
2013,NUMBER,ilijas,M,_T,756
2013,NUMBER,jablanica,M,_T,327
2013,NUMBER,jajce,M,_T,1028
2013,NUMBER,kakanj,M,_T,1161
2013,NUMBER,kalesija,M,_T,1375
2013,NUMBER,kiseljak,M,_T,748
2013,NUMBER,kladanj,M,_T,456
2013,NUMBER,kljuc,M,_T,477
2013,NUMBER,konjic,M,_T,927
2013,NUMBER,kresevo,M,_T,189
2013,NUMBER,kupres-fbih,M,_T,138
2013,NUMBER,livno,M,_T,821
2013,NUMBER,lukavac,M,_T,2125
2013,NUMBER,ljubuski,M,_T,782
2013,NUMBER,maglaj,M,_T,938
2013,NUMBER,mostar,M,_T,3314
2013,NUMBER,neum,M,_T,120
