Year,UNIT_MEASURE,Admin_Area,SEX,Value
1998,NUMBER,federation_of_bih,_T,483426.0
1998,NUMBER,una-sana_canton,_T,19062.0
1998,NUMBER,posavina_canton,_T,400.0
1998,NUMBER,tuzla_canton,_T,52338.0
1998,NUMBER,zenica-doboj_canton,_T,166900.0
1998,NUMBER,bosnian-podrinje_canton,_T,
1998,NUMBER,central_bosnia_canton,_T,19686.0
1998,NUMBER,herzegovina-neretva_canton,_T,18032.0
1998,NUMBER,west_herzegovina_canton,_T,
1998,NUMBER,sarajevo_canton,_T,205599.0
1998,NUMBER,canton_10,_T,1409.0
1998,NUMBER,federation_of_bih,M,256508.0
1998,NUMBER,una-sana_canton,M,8518.0
1998,NUMBER,posavina_canton,M,167.0
1998,NUMBER,tuzla_canton,M,25383.0
1998,NUMBER,zenica-doboj_canton,M,93367.0
1998,NUMBER,bosnian-podrinje_canton,M,
1998,NUMBER,central_bosnia_canton,M,8634.0
1998,NUMBER,herzegovina-neretva_canton,M,7469.0
1998,NUMBER,west_herzegovina_canton,M,
1998,NUMBER,sarajevo_canton,M,112504.0
1998,NUMBER,canton_10,M,466.0
1998,NUMBER,federation_of_bih,F,226918.0
1998,NUMBER,una-sana_canton,F,10544.0
1998,NUMBER,posavina_canton,F,233.0
1998,NUMBER,tuzla_canton,F,26955.0
1998,NUMBER,zenica-doboj_canton,F,73533.0
1998,NUMBER,bosnian-podrinje_canton,F,
1998,NUMBER,central_bosnia_canton,F,11052.0
1998,NUMBER,herzegovina-neretva_canton,F,10563.0
1998,NUMBER,west_herzegovina_canton,F,
1998,NUMBER,sarajevo_canton,F,93095.0
1998,NUMBER,canton_10,F,943.0
1999,NUMBER,federation_of_bih,_T,316644.0
1999,NUMBER,una-sana_canton,_T,8787.0
1999,NUMBER,posavina_canton,_T,911.0
1999,NUMBER,tuzla_canton,_T,49938.0
1999,NUMBER,zenica-doboj_canton,_T,122126.0
1999,NUMBER,bosnian-podrinje_canton,_T,
1999,NUMBER,central_bosnia_canton,_T,25288.0
1999,NUMBER,herzegovina-neretva_canton,_T,33768.0
1999,NUMBER,west_herzegovina_canton,_T,1198.0
1999,NUMBER,sarajevo_canton,_T,71624.0
1999,NUMBER,canton_10,_T,3004.0
1999,NUMBER,federation_of_bih,M,158297.0
1999,NUMBER,una-sana_canton,M,4056.0
1999,NUMBER,posavina_canton,M,459.0
1999,NUMBER,tuzla_canton,M,24031.0
1999,NUMBER,zenica-doboj_canton,M,52694.0
1999,NUMBER,bosnian-podrinje_canton,M,
1999,NUMBER,central_bosnia_canton,M,11153.0
1999,NUMBER,herzegovina-neretva_canton,M,18834.0
1999,NUMBER,west_herzegovina_canton,M,830.0
1999,NUMBER,sarajevo_canton,M,45340.0
1999,NUMBER,canton_10,M,901.0
1999,NUMBER,federation_of_bih,F,158347.0
1999,NUMBER,una-sana_canton,F,4731.0
1999,NUMBER,posavina_canton,F,452.0
1999,NUMBER,tuzla_canton,F,25907.0
1999,NUMBER,zenica-doboj_canton,F,69432.0
1999,NUMBER,bosnian-podrinje_canton,F,
1999,NUMBER,central_bosnia_canton,F,14135.0
1999,NUMBER,herzegovina-neretva_canton,F,14934.0
1999,NUMBER,west_herzegovina_canton,F,368.0
1999,NUMBER,sarajevo_canton,F,26284.0
1999,NUMBER,canton_10,F,2103.0
2000,NUMBER,federation_of_bih,_T,283785.0
2000,NUMBER,una-sana_canton,_T,11514.0
2000,NUMBER,posavina_canton,_T,1759.0
2000,NUMBER,tuzla_canton,_T,51918.0
2000,NUMBER,zenica-doboj_canton,_T,84090.0
2000,NUMBER,bosnian-podrinje_canton,_T,
2000,NUMBER,central_bosnia_canton,_T,28632.0
2000,NUMBER,herzegovina-neretva_canton,_T,25754.0
2000,NUMBER,west_herzegovina_canton,_T,1198.0
2000,NUMBER,sarajevo_canton,_T,76363.0
2000,NUMBER,canton_10,_T,2557.0
2000,NUMBER,federation_of_bih,M,150741.0
2000,NUMBER,una-sana_canton,M,3628.0
2000,NUMBER,posavina_canton,M,900.0
2000,NUMBER,tuzla_canton,M,25809.0
2000,NUMBER,zenica-doboj_canton,M,45290.0
2000,NUMBER,bosnian-podrinje_canton,M,
2000,NUMBER,central_bosnia_canton,M,11909.0
2000,NUMBER,herzegovina-neretva_canton,M,10760.0
2000,NUMBER,west_herzegovina_canton,M,830.0
2000,NUMBER,sarajevo_canton,M,50388.0
2000,NUMBER,canton_10,M,1227.0
2000,NUMBER,federation_of_bih,F,133044.0
2000,NUMBER,una-sana_canton,F,7886.0
2000,NUMBER,posavina_canton,F,859.0
2000,NUMBER,tuzla_canton,F,26109.0
2000,NUMBER,zenica-doboj_canton,F,38800.0
2000,NUMBER,bosnian-podrinje_canton,F,
2000,NUMBER,central_bosnia_canton,F,16723.0
2000,NUMBER,herzegovina-neretva_canton,F,14994.0
2000,NUMBER,west_herzegovina_canton,F,368.0
2000,NUMBER,sarajevo_canton,F,25975.0
2000,NUMBER,canton_10,F,1330.0
2001,NUMBER,federation_of_bih,_T,290612.0
2001,NUMBER,una-sana_canton,_T,11912.0
2001,NUMBER,posavina_canton,_T,1156.0
2001,NUMBER,tuzla_canton,_T,28365.0
2001,NUMBER,zenica-doboj_canton,_T,94505.0
2001,NUMBER,bosnian-podrinje_canton,_T,
2001,NUMBER,central_bosnia_canton,_T,21221.0
2001,NUMBER,herzegovina-neretva_canton,_T,27091.0
2001,NUMBER,west_herzegovina_canton,_T,627.0
2001,NUMBER,sarajevo_canton,_T,103226.0
2001,NUMBER,canton_10,_T,2509.0
2001,NUMBER,federation_of_bih,M,174528.0
2001,NUMBER,una-sana_canton,M,6205.0
2001,NUMBER,posavina_canton,M,481.0
2001,NUMBER,tuzla_canton,M,11941.0
2001,NUMBER,zenica-doboj_canton,M,51720.0
2001,NUMBER,bosnian-podrinje_canton,M,
2001,NUMBER,central_bosnia_canton,M,9183.0
2001,NUMBER,herzegovina-neretva_canton,M,12154.0
2001,NUMBER,west_herzegovina_canton,M,304.0
2001,NUMBER,sarajevo_canton,M,81369.0
2001,NUMBER,canton_10,M,1171.0
2001,NUMBER,federation_of_bih,F,116084.0
2001,NUMBER,una-sana_canton,F,5707.0
2001,NUMBER,posavina_canton,F,675.0
2001,NUMBER,tuzla_canton,F,16424.0
2001,NUMBER,zenica-doboj_canton,F,42785.0
2001,NUMBER,bosnian-podrinje_canton,F,
2001,NUMBER,central_bosnia_canton,F,12038.0
2001,NUMBER,herzegovina-neretva_canton,F,14937.0
2001,NUMBER,west_herzegovina_canton,F,323.0
2001,NUMBER,sarajevo_canton,F,21857.0
2001,NUMBER,canton_10,F,1338.0
2002,NUMBER,federation_of_bih,_T,278769.0
2002,NUMBER,una-sana_canton,_T,13413.0
2002,NUMBER,posavina_canton,_T,445.0
2002,NUMBER,tuzla_canton,_T,27426.0
2002,NUMBER,zenica-doboj_canton,_T,90861.0
2002,NUMBER,bosnian-podrinje_canton,_T,
2002,NUMBER,central_bosnia_canton,_T,25509.0
2002,NUMBER,herzegovina-neretva_canton,_T,33238.0
2002,NUMBER,west_herzegovina_canton,_T,1435.0
2002,NUMBER,sarajevo_canton,_T,84101.0
2002,NUMBER,canton_10,_T,2341.0
2002,NUMBER,federation_of_bih,M,149039.0
2002,NUMBER,una-sana_canton,M,6158.0
2002,NUMBER,posavina_canton,M,209.0
2002,NUMBER,tuzla_canton,M,11177.0
2002,NUMBER,zenica-doboj_canton,M,47241.0
2002,NUMBER,bosnian-podrinje_canton,M,
2002,NUMBER,central_bosnia_canton,M,12470.0
2002,NUMBER,herzegovina-neretva_canton,M,14442.0
2002,NUMBER,west_herzegovina_canton,M,799.0
2002,NUMBER,sarajevo_canton,M,55462.0
