Year,UNIT_MEASURE,Admin_Area,Sex,Value
2010,NUMBER,federation_of_bih,_T,222707
2011,NUMBER,federation_of_bih,_T,207896
2012,NUMBER,federation_of_bih,_T,199038
2013,NUMBER,federation_of_bih,_T,198328
2014,NUMBER,federation_of_bih,_T,194343
2015,NUMBER,federation_of_bih,_T,191210
2016,NUMBER,federation_of_bih,_T,189019
2017,NUMBER,federation_of_bih,_T,185605
2018,NUMBER,federation_of_bih,_T,184053
2019,NUMBER,federation_of_bih,_T,179781
2020,NUMBER,federation_of_bih,_T,175316
2021,NUMBER,federation_of_bih,_T,173065
2022,NUMBER,federation_of_bih,_T,169786
2023,NUMBER,federation_of_bih,_T,166817
2010,NUMBER,federation_of_bih,M,114334
2011,NUMBER,federation_of_bih,M,106642
2012,NUMBER,federation_of_bih,M,101893
2013,NUMBER,federation_of_bih,M,101621
2014,NUMBER,federation_of_bih,M,99688
2015,NUMBER,federation_of_bih,M,98504
2016,NUMBER,federation_of_bih,M,97635
2017,NUMBER,federation_of_bih,M,95408
2018,NUMBER,federation_of_bih,M,94664
2019,NUMBER,federation_of_bih,M,92243
2020,NUMBER,federation_of_bih,M,89950
2021,NUMBER,federation_of_bih,M,88871
2022,NUMBER,federation_of_bih,M,86891
2023,NUMBER,federation_of_bih,M,85467
2010,NUMBER,federation_of_bih,F,108373
2011,NUMBER,federation_of_bih,F,101254
2012,NUMBER,federation_of_bih,F,97145
2013,NUMBER,federation_of_bih,F,96707
2014,NUMBER,federation_of_bih,F,94655
2015,NUMBER,federation_of_bih,F,92706
2016,NUMBER,federation_of_bih,F,91384
2017,NUMBER,federation_of_bih,F,90197
2018,NUMBER,federation_of_bih,F,89389
2019,NUMBER,federation_of_bih,F,87538
2020,NUMBER,federation_of_bih,F,85366
2021,NUMBER,federation_of_bih,F,84194
2022,NUMBER,federation_of_bih,F,82895
2023,NUMBER,federation_of_bih,F,81350
2010,NUMBER,una-sana_canton,_T,29511
2011,NUMBER,una-sana_canton,_T,27197
2012,NUMBER,una-sana_canton,_T,25618
2013,NUMBER,una-sana_canton,_T,25741
2014,NUMBER,una-sana_canton,_T,24586
2015,NUMBER,una-sana_canton,_T,23618
2016,NUMBER,una-sana_canton,_T,22764
2017,NUMBER,una-sana_canton,_T,21862
2018,NUMBER,una-sana_canton,_T,20716
2019,NUMBER,una-sana_canton,_T,19176
2020,NUMBER,una-sana_canton,_T,18034
2021,NUMBER,una-sana_canton,_T,17049
2022,NUMBER,una-sana_canton,_T,16491
2023,NUMBER,una-sana_canton,_T,15503
2010,NUMBER,una-sana_canton,M,15161
2011,NUMBER,una-sana_canton,M,13927
2012,NUMBER,una-sana_canton,M,13048
2013,NUMBER,una-sana_canton,M,13189
2014,NUMBER,una-sana_canton,M,12550
2015,NUMBER,una-sana_canton,M,11989
2016,NUMBER,una-sana_canton,M,11656
2017,NUMBER,una-sana_canton,M,11147
2018,NUMBER,una-sana_canton,M,10608
2019,NUMBER,una-sana_canton,M,9746
2020,NUMBER,una-sana_canton,M,9194
2021,NUMBER,una-sana_canton,M,8664
2022,NUMBER,una-sana_canton,M,8375
2023,NUMBER,una-sana_canton,M,7903
2010,NUMBER,una-sana_canton,F,14350
2011,NUMBER,una-sana_canton,F,13270
2012,NUMBER,una-sana_canton,F,12570
2013,NUMBER,una-sana_canton,F,12552
2014,NUMBER,una-sana_canton,F,12036
2015,NUMBER,una-sana_canton,F,11629
2016,NUMBER,una-sana_canton,F,11108
2017,NUMBER,una-sana_canton,F,10715
2018,NUMBER,una-sana_canton,F,10108
2019,NUMBER,una-sana_canton,F,9430
2020,NUMBER,una-sana_canton,F,8840
2021,NUMBER,una-sana_canton,F,8385
2022,NUMBER,una-sana_canton,F,8116
2023,NUMBER,una-sana_canton,F,7600
2010,NUMBER,posavina_canton,_T,3597
2011,NUMBER,posavina_canton,_T,3418
2012,NUMBER,posavina_canton,_T,3180
2013,NUMBER,posavina_canton,_T,3054
2014,NUMBER,posavina_canton,_T,2781
2015,NUMBER,posavina_canton,_T,2621
2016,NUMBER,posavina_canton,_T,2431
2017,NUMBER,posavina_canton,_T,2259
2018,NUMBER,posavina_canton,_T,2071
2019,NUMBER,posavina_canton,_T,1877
2020,NUMBER,posavina_canton,_T,1762
2021,NUMBER,posavina_canton,_T,1662
2022,NUMBER,posavina_canton,_T,1575
2023,NUMBER,posavina_canton,_T,1483
2010,NUMBER,posavina_canton,M,1841
2011,NUMBER,posavina_canton,M,1736
2012,NUMBER,posavina_canton,M,1647
2013,NUMBER,posavina_canton,M,1591
2014,NUMBER,posavina_canton,M,1446
2015,NUMBER,posavina_canton,M,1343
2016,NUMBER,posavina_canton,M,1244
2017,NUMBER,posavina_canton,M,1151
2018,NUMBER,posavina_canton,M,1062
2019,NUMBER,posavina_canton,M,959
2020,NUMBER,posavina_canton,M,907
2021,NUMBER,posavina_canton,M,852
2022,NUMBER,posavina_canton,M,797
2023,NUMBER,posavina_canton,M,741
2010,NUMBER,posavina_canton,F,1756
2011,NUMBER,posavina_canton,F,1682
2012,NUMBER,posavina_canton,F,1533
2013,NUMBER,posavina_canton,F,1463
2014,NUMBER,posavina_canton,F,1335
2015,NUMBER,posavina_canton,F,1278
2016,NUMBER,posavina_canton,F,1187
2017,NUMBER,posavina_canton,F,1108
2018,NUMBER,posavina_canton,F,1009
2019,NUMBER,posavina_canton,F,918
2020,NUMBER,posavina_canton,F,855
2021,NUMBER,posavina_canton,F,810
2022,NUMBER,posavina_canton,F,778
2023,NUMBER,posavina_canton,F,742
2010,NUMBER,tuzla_canton,_T,45521
2011,NUMBER,tuzla_canton,_T,42090
2012,NUMBER,tuzla_canton,_T,39990
2013,NUMBER,tuzla_canton,_T,39936
2014,NUMBER,tuzla_canton,_T,39753
2015,NUMBER,tuzla_canton,_T,39416
2016,NUMBER,tuzla_canton,_T,38927
