Year,UNIT_MEASURE,ADMIN_AREA,SEX,Value
2016,NUMBER,federation_of_bih,_T,
2016,NUMBER,federation_of_bih,M,
2016,NUMBER,federation_of_bih,F,
2017,NUMBER,federation_of_bih,_T,
2017,NUMBER,federation_of_bih,M,
2017,NUMBER,federation_of_bih,F,
2018,NUMBER,federation_of_bih,_T,
2018,NUMBER,federation_of_bih,M,
2018,NUMBER,federation_of_bih,F,
2019,NUMBER,federation_of_bih,_T,
2019,NUMBER,federation_of_bih,M,
2019,NUMBER,federation_of_bih,F,
2020,NUMBER,federation_of_bih,_T,
2020,NUMBER,federation_of_bih,M,
2020,NUMBER,federation_of_bih,F,
2016,NUMBER,una-sana_canton,_T,
2016,NUMBER,una-sana_canton,M,
2016,NUMBER,una-sana_canton,F,
2017,NUMBER,una-sana_canton,_T,
2017,NUMBER,una-sana_canton,M,
2017,NUMBER,una-sana_canton,F,
2018,NUMBER,una-sana_canton,_T,
2018,NUMBER,una-sana_canton,M,
2018,NUMBER,una-sana_canton,F,
2019,NUMBER,una-sana_canton,_T,
2019,NUMBER,una-sana_canton,M,
2019,NUMBER,una-sana_canton,F,
2020,NUMBER,una-sana_canton,_T,
2020,NUMBER,una-sana_canton,M,
2020,NUMBER,una-sana_canton,F,
2016,NUMBER,posavina_canton,_T,
2016,NUMBER,posavina_canton,M,
2016,NUMBER,posavina_canton,F,
2017,NUMBER,posavina_canton,_T,
2017,NUMBER,posavina_canton,M,
2017,NUMBER,posavina_canton,F,
2018,NUMBER,posavina_canton,_T,
2018,NUMBER,posavina_canton,M,
2018,NUMBER,posavina_canton,F,
2019,NUMBER,posavina_canton,_T,
2019,NUMBER,posavina_canton,M,
2019,NUMBER,posavina_canton,F,
2020,NUMBER,posavina_canton,_T,
2020,NUMBER,posavina_canton,M,
2020,NUMBER,posavina_canton,F,
2016,NUMBER,tuzla_canton,_T,
2016,NUMBER,tuzla_canton,M,
2016,NUMBER,tuzla_canton,F,
2017,NUMBER,tuzla_canton,_T,
2017,NUMBER,tuzla_canton,M,
2017,NUMBER,tuzla_canton,F,
2018,NUMBER,tuzla_canton,_T,
2018,NUMBER,tuzla_canton,M,
2018,NUMBER,tuzla_canton,F,
2019,NUMBER,tuzla_canton,_T,
2019,NUMBER,tuzla_canton,M,
2019,NUMBER,tuzla_canton,F,
2020,NUMBER,tuzla_canton,_T,
2020,NUMBER,tuzla_canton,M,
2020,NUMBER,tuzla_canton,F,
2016,NUMBER,zenica-doboj_canton,_T,
2016,NUMBER,zenica-doboj_canton,M,
2016,NUMBER,zenica-doboj_canton,F,
2017,NUMBER,zenica-doboj_canton,_T,
2017,NUMBER,zenica-doboj_canton,M,
2017,NUMBER,zenica-doboj_canton,F,
2018,NUMBER,zenica-doboj_canton,_T,
2018,NUMBER,zenica-doboj_canton,M,
2018,NUMBER,zenica-doboj_canton,F,
2019,NUMBER,zenica-doboj_canton,_T,
2019,NUMBER,zenica-doboj_canton,M,
2019,NUMBER,zenica-doboj_canton,F,
2020,NUMBER,zenica-doboj_canton,_T,
2020,NUMBER,zenica-doboj_canton,M,
2020,NUMBER,zenica-doboj_canton,F,
2016,NUMBER,bosnian-podrinje_canton,_T,
2016,NUMBER,bosnian-podrinje_canton,M,
2016,NUMBER,bosnian-podrinje_canton,F,
2017,NUMBER,bosnian-podrinje_canton,_T,
2017,NUMBER,bosnian-podrinje_canton,M,
2017,NUMBER,bosnian-podrinje_canton,F,
2018,NUMBER,bosnian-podrinje_canton,_T,
2018,NUMBER,bosnian-podrinje_canton,M,
2018,NUMBER,bosnian-podrinje_canton,F,
2019,NUMBER,bosnian-podrinje_canton,_T,
2019,NUMBER,bosnian-podrinje_canton,M,
2019,NUMBER,bosnian-podrinje_canton,F,
2020,NUMBER,bosnian-podrinje_canton,_T,
2020,NUMBER,bosnian-podrinje_canton,M,
2020,NUMBER,bosnian-podrinje_canton,F,
2016,NUMBER,central_bosnia_canton,_T,
2016,NUMBER,central_bosnia_canton,M,
2016,NUMBER,central_bosnia_canton,F,
2017,NUMBER,central_bosnia_canton,_T,
2017,NUMBER,central_bosnia_canton,M,
2017,NUMBER,central_bosnia_canton,F,
2018,NUMBER,central_bosnia_canton,_T,
2018,NUMBER,central_bosnia_canton,M,
2018,NUMBER,central_bosnia_canton,F,
2019,NUMBER,central_bosnia_canton,_T,
2019,NUMBER,central_bosnia_canton,M,
2019,NUMBER,central_bosnia_canton,F,
2020,NUMBER,central_bosnia_canton,_T,
2020,NUMBER,central_bosnia_canton,M,
2020,NUMBER,central_bosnia_canton,F,
2016,NUMBER,herzegovina-neretva_canton,_T,
2016,NUMBER,herzegovina-neretva_canton,M,
2016,NUMBER,herzegovina-neretva_canton,F,
2017,NUMBER,herzegovina-neretva_canton,_T,
2017,NUMBER,herzegovina-neretva_canton,M,
2017,NUMBER,herzegovina-neretva_canton,F,
2018,NUMBER,herzegovina-neretva_canton,_T,
2018,NUMBER,herzegovina-neretva_canton,M,
2018,NUMBER,herzegovina-neretva_canton,F,
2019,NUMBER,herzegovina-neretva_canton,_T,
2019,NUMBER,herzegovina-neretva_canton,M,
2019,NUMBER,herzegovina-neretva_canton,F,
2020,NUMBER,herzegovina-neretva_canton,_T,
2020,NUMBER,herzegovina-neretva_canton,M,
2020,NUMBER,herzegovina-neretva_canton,F,
2016,NUMBER,west_herzegovina_canton,_T,
2016,NUMBER,west_herzegovina_canton,M,
2016,NUMBER,west_herzegovina_canton,F,
2017,NUMBER,west_herzegovina_canton,_T,
2017,NUMBER,west_herzegovina_canton,M,
2017,NUMBER,west_herzegovina_canton,F,
2018,NUMBER,west_herzegovina_canton,_T,
2018,NUMBER,west_herzegovina_canton,M,
2018,NUMBER,west_herzegovina_canton,F,
2019,NUMBER,west_herzegovina_canton,_T,
2019,NUMBER,west_herzegovina_canton,M,
2019,NUMBER,west_herzegovina_canton,F,
2020,NUMBER,west_herzegovina_canton,_T,
2020,NUMBER,west_herzegovina_canton,M,
2020,NUMBER,west_herzegovina_canton,F,
2016,NUMBER,sarajevo_canton,_T,
2016,NUMBER,sarajevo_canton,M,
2016,NUMBER,sarajevo_canton,F,
2017,NUMBER,sarajevo_canton,_T,
2017,NUMBER,sarajevo_canton,M,
2017,NUMBER,sarajevo_canton,F,
2018,NUMBER,sarajevo_canton,_T,
2018,NUMBER,sarajevo_canton,M,
2018,NUMBER,sarajevo_canton,F,
2019,NUMBER,sarajevo_canton,_T,
2019,NUMBER,sarajevo_canton,M,
2019,NUMBER,sarajevo_canton,F,
2020,NUMBER,sarajevo_canton,_T,
2020,NUMBER,sarajevo_canton,M,
2020,NUMBER,sarajevo_canton,F,
2016,NUMBER,canton_10,_T,
2016,NUMBER,canton_10,M,
2016,NUMBER,canton_10,F,
2017,NUMBER,canton_10,_T,
2017,NUMBER,canton_10,M,
2017,NUMBER,canton_10,F,
2018,NUMBER,canton_10,_T,
2018,NUMBER,canton_10,M,
2018,NUMBER,canton_10,F,
2019,NUMBER,canton_10,_T,
2019,NUMBER,canton_10,M,
2019,NUMBER,canton_10,F,
2020,NUMBER,canton_10,_T,
2020,NUMBER,canton_10,M,
2020,NUMBER,canton_10,F,
