Year,UNIT_MEASURE,Admin_Area,type_of_school,Sex,Value
2016,NUMBER,federation_of_bih,art_schools,_T,218
2017,NUMBER,federation_of_bih,art_schools,_T,136
2018,NUMBER,federation_of_bih,art_schools,_T,232
2019,NUMBER,federation_of_bih,art_schools,_T,217
2020,NUMBER,federation_of_bih,art_schools,_T,181
2021,NUMBER,federation_of_bih,art_schools,_T,169
2022,NUMBER,federation_of_bih,art_schools,_T,162
2016,NUMBER,una-sana_canton,art_schools,_T,28
2017,NUMBER,una-sana_canton,art_schools,_T,23
2018,NUMBER,una-sana_canton,art_schools,_T,18
2019,NUMBER,una-sana_canton,art_schools,_T,16
2020,NUMBER,una-sana_canton,art_schools,_T,8
2021,NUMBER,una-sana_canton,art_schools,_T,11
2022,NUMBER,una-sana_canton,art_schools,_T,14
2016,NUMBER,tuzla_canton,art_schools,_T,26
2017,NUMBER,tuzla_canton,art_schools,_T,15
2018,NUMBER,tuzla_canton,art_schools,_T,38
2019,NUMBER,tuzla_canton,art_schools,_T,43
2020,NUMBER,tuzla_canton,art_schools,_T,47
2021,NUMBER,tuzla_canton,art_schools,_T,33
2022,NUMBER,tuzla_canton,art_schools,_T,38
2016,NUMBER,zenica-doboj_canton,art_schools,_T,24
2017,NUMBER,zenica-doboj_canton,art_schools,_T,16
2018,NUMBER,zenica-doboj_canton,art_schools,_T,29
2019,NUMBER,zenica-doboj_canton,art_schools,_T,6
2020,NUMBER,zenica-doboj_canton,art_schools,_T,18
2021,NUMBER,zenica-doboj_canton,art_schools,_T,8
2022,NUMBER,zenica-doboj_canton,art_schools,_T,8
2016,NUMBER,central_bosnia_canton,art_schools,_T,27
2017,NUMBER,central_bosnia_canton,art_schools,_T,19
2018,NUMBER,central_bosnia_canton,art_schools,_T,29
2019,NUMBER,central_bosnia_canton,art_schools,_T,23
2020,NUMBER,central_bosnia_canton,art_schools,_T,17
2021,NUMBER,central_bosnia_canton,art_schools,_T,8
2022,NUMBER,central_bosnia_canton,art_schools,_T,18
2016,NUMBER,herzegovina-neretva_canton,art_schools,_T,37
2017,NUMBER,herzegovina-neretva_canton,art_schools,_T,16
2018,NUMBER,herzegovina-neretva_canton,art_schools,_T,38
2019,NUMBER,herzegovina-neretva_canton,art_schools,_T,42
2020,NUMBER,herzegovina-neretva_canton,art_schools,_T,29
2021,NUMBER,herzegovina-neretva_canton,art_schools,_T,16
2022,NUMBER,herzegovina-neretva_canton,art_schools,_T,14
2016,NUMBER,west_herzegovina_canton,art_schools,_T,8
2017,NUMBER,west_herzegovina_canton,art_schools,_T,5
2018,NUMBER,west_herzegovina_canton,art_schools,_T,2
2019,NUMBER,west_herzegovina_canton,art_schools,_T,5
2021,NUMBER,west_herzegovina_canton,art_schools,_T,12
2022,NUMBER,west_herzegovina_canton,art_schools,_T,1
2016,NUMBER,sarajevo_canton,art_schools,_T,68
2017,NUMBER,sarajevo_canton,art_schools,_T,42
2018,NUMBER,sarajevo_canton,art_schools,_T,78
2019,NUMBER,sarajevo_canton,art_schools,_T,82
2020,NUMBER,sarajevo_canton,art_schools,_T,62
2021,NUMBER,sarajevo_canton,art_schools,_T,81
2022,NUMBER,sarajevo_canton,art_schools,_T,69
2016,NUMBER,federation_of_bih,art_schools,M,79
2017,NUMBER,federation_of_bih,art_schools,M,48
2018,NUMBER,federation_of_bih,art_schools,M,87
2019,NUMBER,federation_of_bih,art_schools,M,85
2020,NUMBER,federation_of_bih,art_schools,M,54
2021,NUMBER,federation_of_bih,art_schools,M,58
2022,NUMBER,federation_of_bih,art_schools,M,66
2016,NUMBER,una-sana_canton,art_schools,M,13
2017,NUMBER,una-sana_canton,art_schools,M,10
2018,NUMBER,una-sana_canton,art_schools,M,4
2019,NUMBER,una-sana_canton,art_schools,M,6
2020,NUMBER,una-sana_canton,art_schools,M,2
2021,NUMBER,una-sana_canton,art_schools,M,6
2022,NUMBER,una-sana_canton,art_schools,M,5
2016,NUMBER,tuzla_canton,art_schools,M,9
2017,NUMBER,tuzla_canton,art_schools,M,5
2018,NUMBER,tuzla_canton,art_schools,M,15
2019,NUMBER,tuzla_canton,art_schools,M,22
2020,NUMBER,tuzla_canton,art_schools,M,14
2021,NUMBER,tuzla_canton,art_schools,M,10
2022,NUMBER,tuzla_canton,art_schools,M,17
2016,NUMBER,zenica-doboj_canton,art_schools,M,12
2017,NUMBER,zenica-doboj_canton,art_schools,M,9
2018,NUMBER,zenica-doboj_canton,art_schools,M,16
2019,NUMBER,zenica-doboj_canton,art_schools,M,3
2020,NUMBER,zenica-doboj_canton,art_schools,M,5
2021,NUMBER,zenica-doboj_canton,art_schools,M,1
2022,NUMBER,zenica-doboj_canton,art_schools,M,1
2016,NUMBER,central_bosnia_canton,art_schools,M,5
2017,NUMBER,central_bosnia_canton,art_schools,M,6
2018,NUMBER,central_bosnia_canton,art_schools,M,9
2019,NUMBER,central_bosnia_canton,art_schools,M,9
2020,NUMBER,central_bosnia_canton,art_schools,M,7
2021,NUMBER,central_bosnia_canton,art_schools,M,5
2022,NUMBER,central_bosnia_canton,art_schools,M,4
2016,NUMBER,herzegovina-neretva_canton,art_schools,M,8
2017,NUMBER,herzegovina-neretva_canton,art_schools,M,6
2018,NUMBER,herzegovina-neretva_canton,art_schools,M,15
2019,NUMBER,herzegovina-neretva_canton,art_schools,M,13
2020,NUMBER,herzegovina-neretva_canton,art_schools,M,9
2021,NUMBER,herzegovina-neretva_canton,art_schools,M,3
2022,NUMBER,herzegovina-neretva_canton,art_schools,M,6
2016,NUMBER,west_herzegovina_canton,art_schools,M,2
2017,NUMBER,west_herzegovina_canton,art_schools,M,1
2018,NUMBER,west_herzegovina_canton,art_schools,M,0
2019,NUMBER,west_herzegovina_canton,art_schools,M,4
2021,NUMBER,west_herzegovina_canton,art_schools,M,4
2022,NUMBER,west_herzegovina_canton,art_schools,M,1
2016,NUMBER,sarajevo_canton,art_schools,M,30
2017,NUMBER,sarajevo_canton,art_schools,M,11
2018,NUMBER,sarajevo_canton,art_schools,M,28
2019,NUMBER,sarajevo_canton,art_schools,M,28
2020,NUMBER,sarajevo_canton,art_schools,M,17
2021,NUMBER,sarajevo_canton,art_schools,M,29
2022,NUMBER,sarajevo_canton,art_schools,M,32
2016,NUMBER,federation_of_bih,art_schools,F,139
2017,NUMBER,federation_of_bih,art_schools,F,88
2018,NUMBER,federation_of_bih,art_schools,F,145
2019,NUMBER,federation_of_bih,art_schools,F,132
2020,NUMBER,federation_of_bih,art_schools,F,127
2021,NUMBER,federation_of_bih,art_schools,F,111
2022,NUMBER,federation_of_bih,art_schools,F,96
2016,NUMBER,una-sana_canton,art_schools,F,15
2017,NUMBER,una-sana_canton,art_schools,F,13
2018,NUMBER,una-sana_canton,art_schools,F,14
2019,NUMBER,una-sana_canton,art_schools,F,10
2020,NUMBER,una-sana_canton,art_schools,F,6
2021,NUMBER,una-sana_canton,art_schools,F,5
2022,NUMBER,una-sana_canton,art_schools,F,9
2016,NUMBER,tuzla_canton,art_schools,F,17
2017,NUMBER,tuzla_canton,art_schools,F,10
2018,NUMBER,tuzla_canton,art_schools,F,23
2019,NUMBER,tuzla_canton,art_schools,F,21
2020,NUMBER,tuzla_canton,art_schools,F,33
2021,NUMBER,tuzla_canton,art_schools,F,23
2022,NUMBER,tuzla_canton,art_schools,F,21
2016,NUMBER,zenica-doboj_canton,art_schools,F,12
2017,NUMBER,zenica-doboj_canton,art_schools,F,7
2018,NUMBER,zenica-doboj_canton,art_schools,F,13
