Year,UNIT_MEASURE,type_of_education,Unnamed: 4,Value
2018,NUMBER,total,13394,_T
2018,NUMBER,education,1629,_T
2018,NUMBER,arts_and_humanities,1104,_T
2018,NUMBER,social_sciences_journalism_and_information,1279,_T
2018,NUMBER,business_administration_and_the_law_of_everything,3286,_T
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,604,_T
2018,NUMBER,information and communication technologies,731,_T
2018,NUMBER,engineering_manufacturing_and_construction,1999,_T
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,585,_T
2018,NUMBER,health_and_social_protection,1352,_T
2018,NUMBER,services,740,_T
2018,NUMBER,unknown,85,_T
2018,NUMBER,total,5571,M
2018,NUMBER,education,384,M
2018,NUMBER,arts_and_humanities,327,M
2018,NUMBER,social_sciences_journalism_and_information,507,M
2018,NUMBER,business_administration_and_the_law_of_everything,1336,M
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,174,M
2018,NUMBER,information and communication technologies,486,M
2018,NUMBER,engineering_manufacturing_and_construction,1250,M
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,286,M
2018,NUMBER,health_and_social_protection,314,M
2018,NUMBER,services,468,M
2018,NUMBER,unknown,39,M
2018,NUMBER,total,7823,F
2018,NUMBER,education,1245,F
2018,NUMBER,arts_and_humanities,777,F
2018,NUMBER,social_sciences_journalism_and_information,772,F
2018,NUMBER,business_administration_and_the_law_of_everything,1950,F
2018,NUMBER,natural_sciences_mathematics_and_statistics_of_all,430,F
2018,NUMBER,information and communication technologies,245,F
2018,NUMBER,engineering_manufacturing_and_construction,749,F
2018,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,299,F
2018,NUMBER,health_and_social_protection,1038,F
2018,NUMBER,services,272,F
2018,NUMBER,unknown,46,F
2019,NUMBER,total,13053,_T
2019,NUMBER,education,1452,_T
2019,NUMBER,arts_and_humanities,1018,_T
2019,NUMBER,social_sciences_journalism_and_information,1075,_T
2019,NUMBER,business_administration_and_the_law_of_everything,3174,_T
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,625,_T
2019,NUMBER,information and communication technologies,674,_T
2019,NUMBER,engineering_manufacturing_and_construction,1896,_T
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,616,_T
2019,NUMBER,health_and_social_protection,1466,_T
2019,NUMBER,services,1044,_T
2019,NUMBER,unknown,13,_T
2019,NUMBER,total,5302,M
2019,NUMBER,education,361,M
2019,NUMBER,arts_and_humanities,356,M
2019,NUMBER,social_sciences_journalism_and_information,397,M
2019,NUMBER,business_administration_and_the_law_of_everything,1255,M
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,158,M
2019,NUMBER,information and communication technologies,481,M
2019,NUMBER,engineering_manufacturing_and_construction,1104,M
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,235,M
2019,NUMBER,health_and_social_protection,332,M
2019,NUMBER,services,610,M
2019,NUMBER,unknown,13,M
2019,NUMBER,total,7751,F
2019,NUMBER,education,1091,F
2019,NUMBER,arts_and_humanities,662,F
2019,NUMBER,social_sciences_journalism_and_information,678,F
2019,NUMBER,business_administration_and_the_law_of_everything,1919,F
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,467,F
2019,NUMBER,information and communication technologies,193,F
2019,NUMBER,engineering_manufacturing_and_construction,792,F
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,381,F
2019,NUMBER,health_and_social_protection,1134,F
2019,NUMBER,services,434,F
2019,NUMBER,unknown,0,F
2020,NUMBER,total,12288,_T
2020,NUMBER,education,1285,_T
2020,NUMBER,arts_and_humanities,990,_T
2020,NUMBER,social_sciences_journalism_and_information,2247,_T
2020,NUMBER,business_administration_and_the_law_of_everything,1829,_T
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,485,_T
2020,NUMBER,information and communication technologies,747,_T
2020,NUMBER,engineering_manufacturing_and_construction,1860,_T
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,612,_T
2020,NUMBER,health_and_social_protection,1330,_T
2020,NUMBER,services,887,_T
2020,NUMBER,unknown,16,_T
2020,NUMBER,total,4977,M
2020,NUMBER,education,269,M
2020,NUMBER,arts_and_humanities,339,M
2020,NUMBER,social_sciences_journalism_and_information,899,M
2020,NUMBER,business_administration_and_the_law_of_everything,738,M
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,122,M
2020,NUMBER,information and communication technologies,500,M
2020,NUMBER,engineering_manufacturing_and_construction,1067,M
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,251,M
2020,NUMBER,health_and_social_protection,268,M
2020,NUMBER,services,514,M
2020,NUMBER,unknown,10,M
2020,NUMBER,total,7311,F
2020,NUMBER,education,1016,F
2020,NUMBER,arts_and_humanities,651,F
2020,NUMBER,social_sciences_journalism_and_information,1363,F
2020,NUMBER,business_administration_and_the_law_of_everything,1091,F
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,363,F
2020,NUMBER,information and communication technologies,247,F
2020,NUMBER,engineering_manufacturing_and_construction,778,F
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,361,F
2020,NUMBER,health_and_social_protection,1062,F
2020,NUMBER,services,373,F
2020,NUMBER,unknown,6,F
