Year,UNIT_MEASURE,ADMIN_AREA,type_of_education,SEX,Value
2016,NUMBER,federation_of_bih,masters_of_science,_T,
2016,NUMBER,federation_of_bih,masters_of_science,M,
2016,NUMBER,federation_of_bih,masters_of_science,F,
2017,NUMBER,federation_of_bih,masters_of_science,_T,
2017,NUMBER,federation_of_bih,masters_of_science,M,
2017,NUMBER,federation_of_bih,masters_of_science,F,
2018,NUMBER,federation_of_bih,masters_of_science,_T,
2018,NUMBER,federation_of_bih,masters_of_science,M,
2018,NUMBER,federation_of_bih,masters_of_science,F,
2019,NUMBER,federation_of_bih,masters_of_science,_T,
2019,NUMBER,federation_of_bih,masters_of_science,M,
2019,NUMBER,federation_of_bih,masters_of_science,F,
2020,NUMBER,federation_of_bih,masters_of_science,_T,
2020,NUMBER,federation_of_bih,masters_of_science,M,
2020,NUMBER,federation_of_bih,masters_of_science,F,
2016,NUMBER,federation_of_bih,masters,_T,
2016,NUMBER,federation_of_bih,masters,M,
2016,NUMBER,federation_of_bih,masters,F,
2017,NUMBER,federation_of_bih,masters,_T,
2017,NUMBER,federation_of_bih,masters,M,
2017,NUMBER,federation_of_bih,masters,F,
2018,NUMBER,federation_of_bih,masters,_T,
2018,NUMBER,federation_of_bih,masters,M,
2018,NUMBER,federation_of_bih,masters,F,
2019,NUMBER,federation_of_bih,masters,_T,
2019,NUMBER,federation_of_bih,masters,M,
2019,NUMBER,federation_of_bih,masters,F,
2020,NUMBER,federation_of_bih,masters,_T,
2020,NUMBER,federation_of_bih,masters,M,
2020,NUMBER,federation_of_bih,masters,F,
2016,NUMBER,federation_of_bih,specialists,_T,
2016,NUMBER,federation_of_bih,specialists,M,
2016,NUMBER,federation_of_bih,specialists,F,
2017,NUMBER,federation_of_bih,specialists,_T,
2017,NUMBER,federation_of_bih,specialists,M,
2017,NUMBER,federation_of_bih,specialists,F,
2018,NUMBER,federation_of_bih,specialists,_T,
2018,NUMBER,federation_of_bih,specialists,M,
2018,NUMBER,federation_of_bih,specialists,F,
2019,NUMBER,federation_of_bih,specialists,_T,
2019,NUMBER,federation_of_bih,specialists,M,
2019,NUMBER,federation_of_bih,specialists,F,
2020,NUMBER,federation_of_bih,specialists,_T,
2020,NUMBER,federation_of_bih,specialists,M,
2020,NUMBER,federation_of_bih,specialists,F,
2016,NUMBER,tuzla_canton,masters_of_science,_T,
2016,NUMBER,tuzla_canton,masters_of_science,M,
2016,NUMBER,tuzla_canton,masters_of_science,F,
2017,NUMBER,tuzla_canton,masters_of_science,_T,
2017,NUMBER,tuzla_canton,masters_of_science,M,
2017,NUMBER,tuzla_canton,masters_of_science,F,
2018,NUMBER,tuzla_canton,masters_of_science,_T,
2018,NUMBER,tuzla_canton,masters_of_science,M,
2018,NUMBER,tuzla_canton,masters_of_science,F,
2019,NUMBER,tuzla_canton,masters_of_science,_T,
2019,NUMBER,tuzla_canton,masters_of_science,M,
2019,NUMBER,tuzla_canton,masters_of_science,F,
2020,NUMBER,tuzla_canton,masters_of_science,_T,
2020,NUMBER,tuzla_canton,masters_of_science,M,
2020,NUMBER,tuzla_canton,masters_of_science,F,
2016,NUMBER,tuzla_canton,masters,_T,
2016,NUMBER,tuzla_canton,masters,M,
2016,NUMBER,tuzla_canton,masters,F,
2017,NUMBER,tuzla_canton,masters,_T,
2017,NUMBER,tuzla_canton,masters,M,
2017,NUMBER,tuzla_canton,masters,F,
2018,NUMBER,tuzla_canton,masters,_T,
2018,NUMBER,tuzla_canton,masters,M,
