Year,UNIT_MEASURE,Value
2005,BAM,11506.25
2006,BAM,13036.63
2007,BAM,14629.12
2008,BAM,16426.24
2009,BAM,15986.73
2010,BAM,16460.55
2011,BAM,16927.41
2012,BAM,17012.8
2013,BAM,17378.78
2014,BAM,17827.46
2015,BAM,18688.3
2016,BAM,19540.12
2017,BAM,20539.7
2018,BAM,21983.51
2019,BAM,23179.13
2020,BAM,22255.01
2021,BAM,25229.77
2022,BAM,29462.75
2005,EUR,5883.14
2006,EUR,6665.63
2007,EUR,7479.87
2008,EUR,8398.73
2009,EUR,8174.01
2010,EUR,8416.28
2011,EUR,8654.98
2012,EUR,8698.64
2013,EUR,8885.77
2014,EUR,9115.17
2015,EUR,9555.32
2016,EUR,9990.86
2017,EUR,10501.94
2018,EUR,11240.16
2019,EUR,11851.48
2020,EUR,11378.98
2021,EUR,12899.97
2022,EUR,15064.3
2005,USD,7315.78
2006,USD,8360.03
2007,USD,10233.73
2008,USD,12289.57
2009,USD,11363.9
2010,USD,11145.34
2011,USD,12038.55
2012,USD,11172.78
2013,USD,11793.42
2014,USD,12094.61
2015,USD,10602.69
2016,USD,11052.1
2017,USD,11835.03
2018,USD,13263.05
2019,USD,13266.44
2020,USD,12964.59
2021,USD,15254.71
2022,USD,15780.54
